assists_x,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
0,0,0,4,1,0,13.0,4,485,0.03,0.58,0.55,0.2,2,0,0,5.9,5.4,2025-08-16,90,False,2,0,0,0,4,0,1,0,151396,1,0,0,0,41.0,3,0,0,0,75,False,0,485,,,Anthony Gordon,0,7,0.6037954092025757,90,FW,Aston Villa,Newcastle United,0,0,28779,2025,731718,0.0266072824597358,0,1,0,0.6037954092025757,0.5713272094726562,0.0,28779,Newcastle United,Anthony Gordon,Anthony Gordon,MID
1,0,0,-6,0,0,11.2,3,485,0.02,0.5,0.48,0.07,19,3,0,5.4,0.0,2025-08-25,47,False,12,0,0,0,3,1,2,0,216592,1,0,3,2,45.0,-2,7191,37958,30767,75,True,0,485,,,Anthony Gordon,0,3,1.0966068506240845,47,FW,Newcastle United,Liverpool,2,3,28797,2025,734523,0.0348853506147861,0,1,0,1.0966068506240845,1.131492257118225,0.0,28797,Newcastle United,Anthony Gordon,Anthony Gordon,MID
