h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.37653,1.3304,1.37653,1.3304,"{'att': 166, 'def': 21}","{'att': 259, 'def': 23}",7,3,0,1,1.3298,l,2025-08-17 15:30:00,0,0,1,0,0.046130000000000004
a,1.54603,1.65333,0.784858,1.65333,"{'att': 196, 'def': 18}","{'att': 218, 'def': 22}",11,11,1,1,1.2692,d,2025-08-24 15:30:00,0,1,0,1,-0.868472
h,4.02237,1.32618,3.2612,1.32618,"{'att': 167, 'def': 11}","{'att': 272, 'def': 17}",8,3,3,2,2.7985,w,2025-08-30 14:00:00,1,0,0,3,1.9350200000000002
a,1.51915,1.99725,1.51915,1.99725,"{'att': 240, 'def': 26}","{'att': 269, 'def': 14}",8,8,0,3,1.0457,l,2025-09-14 15:30:00,0,0,1,0,-0.47809999999999997
h,1.34458,0.469843,1.34458,0.469843,"{'att': 337, 'def': 26}","{'att': 184, 'def': 14}",4,5,2,1,2.163,w,2025-09-20 16:30:00,1,0,0,3,0.8747370000000001
