h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.724368,0.558948,0.724368,0.558948,"{'att': 291, 'def': 14}","{'att': 165, 'def': 15}",2,8,3,0,1.48,w,2025-08-16 14:00:00,1,0,0,3,0.16542
a,1.12127,1.00381,1.12127,1.00381,"{'att': 247, 'def': 12}","{'att': 324, 'def': 21}",4,4,0,2,1.448,l,2025-08-23 14:00:00,0,0,1,0,0.1174599999999999
h,1.57127,1.44604,0.810099,0.684874,"{'att': 197, 'def': 38}","{'att': 237, 'def': 11}",2,4,2,1,1.4156,w,2025-08-30 14:00:00,1,0,0,3,0.12522500000000003
a,0.354129,1.75805,0.354129,1.75805,"{'att': 320, 'def': 18}","{'att': 244, 'def': 18}",4,8,0,0,0.31589999999999996,d,2025-09-13 14:00:00,0,1,0,1,-1.403921
h,0.938312,0.939354,0.938312,0.939354,"{'att': 227, 'def': 23}","{'att': 112, 'def': 16}",4,16,1,1,1.3236999999999999,d,2025-09-21 13:00:00,0,1,0,1,-0.0010419999999999874
