h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.29903,0.519436,2.29903,0.519436,"{'att': 236, 'def': 20}","{'att': 351, 'def': 29}",8,4,4,0,2.6430000000000002,w,2025-08-16 16:30:00,1,0,0,3,1.7795940000000001
h,1.2475,1.28015,1.2475,1.28015,"{'att': 188, 'def': 18}","{'att': 292, 'def': 22}",8,4,0,2,1.3467,l,2025-08-23 11:30:00,0,0,1,0,-0.032649999999999846
a,2.13418,2.20864,2.13418,1.44747,"{'att': 179, 'def': 15}","{'att': 319, 'def': 27}",9,4,1,2,1.3064,l,2025-08-31 13:00:00,0,0,1,0,0.6867100000000002
h,1.99725,1.51915,1.99725,1.51915,"{'att': 269, 'def': 14}","{'att': 240, 'def': 26}",8,8,3,0,1.697,w,2025-09-14 15:30:00,1,0,0,3,0.47809999999999997
a,1.1227,0.718575,1.1227,0.718575,"{'att': 323, 'def': 19}","{'att': 150, 'def': 22}",3,10,1,1,1.7474,d,2025-09-21 15:30:00,0,1,0,1,0.40412500000000007
