h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.558948,0.724368,0.558948,0.724368,"{'att': 165, 'def': 15}","{'att': 291, 'def': 14}",8,2,0,3,1.129,l,2025-08-16 14:00:00,0,0,1,0,-0.16542
h,0.978572,3.94997,0.978572,3.94997,"{'att': 342, 'def': 13}","{'att': 227, 'def': 19}",6,5,1,5,0.0944,l,2025-08-22 19:00:00,0,0,1,0,-2.9713979999999998
a,2.236,0.716018,1.47483,0.716018,"{'att': 279, 'def': 13}","{'att': 256, 'def': 26}",5,6,3,0,2.5114,w,2025-08-31 13:00:00,1,0,0,3,0.758812
h,0.793248,1.51402,0.793248,1.51402,"{'att': 316, 'def': 18}","{'att': 152, 'def': 14}",2,8,0,3,0.7895000000000001,l,2025-09-13 16:30:00,0,0,1,0,-0.720772
h,0.466365,2.33565,0.466365,2.33565,"{'att': 197, 'def': 23}","{'att': 262, 'def': 11}",5,7,1,2,0.22110000000000002,l,2025-09-20 14:00:00,0,0,1,0,-1.8692849999999999
