h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.36793,1.03414,1.36793,1.03414,"{'att': 135, 'def': 23}","{'att': 335, 'def': 19}",7,2,0,0,1.6141,d,2025-08-17 13:00:00,0,1,0,1,0.33379000000000003
a,3.94997,0.978572,3.94997,0.978572,"{'att': 227, 'def': 19}","{'att': 342, 'def': 13}",5,6,5,1,2.8571000000000004,w,2025-08-22 19:00:00,1,0,0,3,2.9713979999999998
h,2.4324,0.736228,1.67123,0.736228,"{'att': 233, 'def': 25}","{'att': 293, 'def': 27}",4,9,2,0,2.5668,w,2025-08-30 11:30:00,1,0,0,3,0.935002
a,0.755999,1.17533,0.755999,1.17533,"{'att': 151, 'def': 29}","{'att': 323, 'def': 16}",12,8,2,2,0.9162,d,2025-09-13 19:00:00,0,1,0,1,-0.419331
a,0.469843,1.34458,0.469843,1.34458,"{'att': 184, 'def': 14}","{'att': 337, 'def': 26}",5,4,1,2,0.5622,l,2025-09-20 16:30:00,0,0,1,0,-0.8747370000000001
