assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,210,0,0,0.0,0.0,2024-01-21T14:00:00Z,0,17,0,0,0,0,21,0,0,0,2,2,0.0,0,0,0,0,45,False,0
1,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,217,0,0,0.0,0.0,2024-02-01T19:30:00Z,0,3,0,0,0,0,22,0,84,0,1,1,0.0,0,41,51,10,45,True,0
2,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,228,0,0,0.0,0.0,2024-02-04T14:00:00Z,0,14,0,0,0,0,23,0,67,0,0,3,0.0,0,-16,0,16,45,False,0
3,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,239,0,0,0.0,0.0,2024-02-11T14:00:00Z,0,1,0,0,0,0,24,0,58,0,6,0,0.0,0,-9,0,9,45,True,0
4,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,248,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,16,0,0,0,0,25,0,54,0,0,2,0.0,0,-4,0,4,45,False,0
5,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,259,0,0,0.0,0.0,2024-02-26T20:00:00Z,0,4,0,0,0,0,26,0,52,0,2,4,0.0,0,-1,0,1,45,True,0
6,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,263,0,0,0.0,0.0,2024-03-02T15:00:00Z,0,9,0,0,0,0,27,0,52,0,3,1,0.0,0,-1,0,1,45,False,0
7,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,279,0,0,0.0,0.0,2024-03-10T14:00:00Z,0,6,0,0,0,0,28,0,52,0,2,2,0.0,0,0,0,0,45,True,0
8,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2024-03-17T14:00:00Z,0,2,0,0,0,0,29,0,51,0,1,1,0.0,0,0,0,0,45,True,0
9,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,297,0,0,0.0,0.0,2024-03-30T12:30:00Z,0,15,0,0,0,0,30,0,51,0,3,4,0.0,0,-1,0,1,45,False,0
10,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,306,0,0,0.0,0.0,2024-04-02T19:15:00Z,0,18,0,0,0,0,31,0,51,0,1,1,0.0,0,0,0,0,45,True,0
11,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,320,0,0,0.0,0.0,2024-04-06T14:00:00Z,0,20,0,0,0,0,32,0,51,0,2,1,0.0,0,0,0,0,45,False,0
12,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,330,0,0,0.0,0.0,2024-04-14T13:00:00Z,0,10,0,0,0,0,33,0,51,0,2,0,0.0,0,0,0,0,45,True,0
13,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2024-04-21T14:00:00Z,0,8,0,0,0,0,34,0,50,0,2,5,0.0,0,0,0,0,45,False,0
14,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,349,0,0,0.0,0.0,2024-04-27T11:30:00Z,0,11,0,0,0,0,35,0,51,0,2,2,0.0,0,0,0,0,45,True,0
15,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,355,0,0,0.0,0.0,2024-05-05T13:00:00Z,0,7,0,0,0,0,36,0,50,0,0,5,0.0,0,-1,0,1,45,False,0
16,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,369,0,0,0.0,0.0,2024-05-11T14:00:00Z,0,12,0,0,0,0,37,0,50,0,1,3,0.0,0,0,0,0,45,True,0
17,0,0,0,0,0.0,785,0.0,0.0,0.0,0.0,379,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,13,0,0,0,0,38,0,50,0,1,3,0.0,0,0,0,0,45,False,0
