,FPL_ID,FPL_Name,Understat_ID,Understat_Name
83,629,Boubacar Traoré,8119,Boubacar Traore
84,269,Boubakary Soumaré,6310,Boubakary Soumare
85,396,Braian Ojeda Rodríguez,,
86,451,Brandon Austin,,
87,343,Brandon Williams,,
88,246,Brenden Aaronson,10751,Brenden Aaronson
89,394,Brennan Johnson,10760,Brennan Johnson
90,382,Brice Samba,,
91,333,Bruno Borges Fernandes,1228,Bruno Fernandes
92,374,Bruno Guimarães Rodriguez Moura,8327,Bruno Guimarães
93,554,Bryan Gil Salvatierra,7338,Bryan Gil Salvatierra
94,95,Bryan Mbeumo,6552,Bryan Mbeumo
95,13,Bukayo Saka,7322,Bukayo Saka
96,144,Callum Hudson-Odoi,,
97,356,Callum Wilson,468,Callum Wilson
98,32,Calum Chambers,508,Calum Chambers
99,298,Calvin Ramsay,,
100,54,Cameron Archer,9912,Cameron Archer
101,762,Cameron Peupion,11544,Cameron Peupion
102,649,Cameron Plain,,
103,289,Caoimhin Kelleher,7904,Caoimhin Kelleher
104,593,Carlos Henrique Casimiro,2248,Casemiro
105,618,Carlos Vinícius Alves Morais,7395,Carlos Vinicius
106,693,Carlos Alcaraz,11297,Carlos Alcaraz
107,383,Carlos Ribeiro Dias,,
108,48,Carney Chukwuemeka,9356,Carney Chukwuemeka
109,96,Charlie Goode,,
110,750,Charlie Robinson,,
111,514,Cheick Doucouré,,
112,583,Cheikhou Kouyaté,532,Cheikhou Kouyaté
113,568,Chem Campbell,9741,Chem Campbell
114,411,Che Adams,7700,Che Adams
115,155,Christian Benteke,,
116,519,Christian Eriksen,646,Christian Eriksen
117,79,Christian Nørgaard,7083,Christian Nørgaard
118,140,Christian Pulisic,2662,Christian Pulisic
119,597,Christian Saydee,,
120,71,Chris Mepham,7384,Chris Mepham
121,530,Chris Richards,8430,Chris Richards
122,354,Chris Wood,4456,Chris Wood
123,352,Ciaran Clark,,
124,599,Claudio Gomes,,
125,513,Clément Lenglet,,
126,547,Cody Drameh,9499,Cody Drameh
127,680,Cody Gakpo,11296,Cody Gakpo
128,316,Cole Palmer,8497,Cole Palmer
129,567,Connor Ronan,10753,Connor Ronan
130,475,Conor Coady,6851,Conor Coady
131,556,Conor Coventry,7239,Conor Coventry
132,148,Conor Gallagher,9040,Conor Gallagher
133,459,Craig Dawson,804,Craig Dawson
134,326,Cristiano Ronaldo dos Santos Aveiro,,
135,443,Cristian Romero,7218,Cristian Romero
136,240,Crysencio Summerville,9492,Crysencio Summerville
137,291,Curtis Jones,6665,Curtis Jones
138,1,Cédric Alves Soares,,
139,127,César Azpilicueta,681,César Azpilicueta
140,666,Dale Taylor,,
141,447,Dane Scarlett,,
142,705,Dango Ouattara,9662,Dango Ouattara
143,695,Daniel Adu-Adjei,,
144,257,Daniel Amartey,759,Daniel Amartey
145,717,Daniel Bentley,11361,Daniel Bentley
146,483,Daniel Castelo Podence,,
147,548,Daniel Iversen,10808,Daniel Iversen
148,231,Daniel James,5595,Daniel James
149,703,Danilo dos Santos de Oliveira,,
