,Unnamed: 0,FPL_ID,FPL_Name,Understat_ID,Understat_Name
232,232,337,Elliot Thorpe,,
234,234,497,Emerson Leite de Souza Junior,7430,Emerson
235,235,532,Emerson Palmieri dos Santos,1245,Emerson
236,236,22,Emile Smith Rowe,7230,Emile Smith-Rowe
237,237,35,Emiliano Buendía Stati,2203,Emiliano Buendía
239,239,49,Emiliano Martínez Romero,4401,Emiliano Martinez
243,243,156,Enock Agyei,,
246,246,375,Eric Bailly,,
249,249,185,Ethan Ampadu,,
250,250,684,Ethan Brierley,,
251,251,449,Ethan Horvath,,
257,257,813,Fabian Mrozek,,
259,259,296,Fabio Henrique Tavares,3420,Fabinho
261,261,394,Facundo Pellistri Rebollo,9324,Facundo Pellistri
262,262,445,Felipe Augusto de Almeida Monteiro,7921,Felipe
263,263,653,Femi Seriki,,
264,264,670,Filip Marschall,,
266,266,840,Fletcher Holman,,
268,268,707,Fodé Ballo-Touré,5803,Fode Toure
269,269,1,Folarin Balogun,,
270,270,549,Francisco Jorge Tomás Oliveira,,
271,271,821,Franco Umeh-Chibueze,,
274,274,381,Frederico Rodrigues de Paula Santos,6817,Fred
276,276,4,Fábio Ferreira Vieira,,
277,277,552,Fábio Silva,,
278,278,5,Gabriel dos Santos Magalhães,5613,Gabriel
279,279,8,Gabriel Fernando de Jesus,5543,Gabriel Jesus
280,280,12,Gabriel Martinelli Silva,7752,Gabriel Martinelli
282,282,215,Gabriel Słonina,,
283,283,418,Garang Kuol,,
284,284,71,Gavin Kilkenny,,
287,287,636,George Shelvey,,
292,292,334,Glen Rea,,
294,294,554,Gonçalo Manuel Ganchinho Guedes,5682,Gonçalo Guedes
297,297,462,Gustavo Henrique Furtado Scarpa,11284,Gustavo Scarpa
299,299,833,Habeeb Ogunneye,,
301,301,100,Halil Dervişoğlu,9686,Halil Dervisoglu
302,302,87,Hamed Traorè,6986,Hamed Junior Traore
306,306,404,Harrison Ashby,,
308,308,846,Harry Amass,,
309,309,435,Harry Arter,,
316,316,787,Harvey Griffiths,,
318,318,548,Hugo Bueno López,10140,Hugo Bueno
320,320,557,Hwang Hee-chan,8845,Hee-Chan Hwang
321,321,466,Hwang Ui-jo,,
322,322,789,Hákon Valdimarsson,,
325,325,713,Ibrahim Sangaré,5722,Ibrahim Sangare
