,Unnamed: 0,FPL_ID,FPL_Name,Understat_ID,Understat_Name
5,5,491,Adama Traoré Diarra,900,Adama Traoré
11,11,497,Adrián San Miguel del Castillo,,
15,15,210,Aleksandar Mitrović,773,Aleksandar Mitrovic
17,17,694,Alexandre Moreno Lopera,,
23,23,772,Alex Robertson,,
24,24,581,Alex Smithies,,
25,25,334,Alex Telles,,
26,26,452,Alfie Devine,,
27,27,775,Alfie Gilchrist,,
28,28,281,Alisson Ramses Becker,,
29,29,183,Allan Marques Loureiro,,
33,33,550,Amad Diallo,,
34,34,668,Amario Cozier-Duberry,,
35,35,346,Andreas Hoelgebaum Pereira,922,Andreas Pereira
38,38,702,Andrey Nascimento dos Santos,,
39,39,179,Andros Townsend,,
41,41,184,André Tavares Gomes,,
42,42,760,Andy Lonergan,,
46,46,202,Anthony Knockaert,,
50,50,609,Antony Matheus dos Santos,11094,Antony
51,51,51,Anwar El Ghazi,,
52,52,565,Archie Gray,,
54,54,423,Armel Bella-Kotchap,9710,Armel Bella Kotchap
55,55,572,Armstrong Oko-Flex,,
56,56,713,Arnaut Danjuma,8066,Arnaut Danjuma Groeneveld
57,57,620,Arthur Henrique Ramos de Oliveira Melo,,
58,58,462,Arthur Masuaku,,
60,60,176,Asmir Begović,694,Asmir Begovic
63,63,673,Bashir Humphreys,,
64,64,10,Benjamin White,7298,Ben White
65,65,689,Benoît Badiashile,7240,Benoit Badiashile Mukinayi
71,71,737,Ben Greenwood,,
73,73,600,Ben Knight,,
76,76,311,Bernardo Veiga de Carvalho e Silva,3635,Bernardo Silva
81,81,205,Bobby De Cordova-Reid,6827,Bobby Reid
83,83,629,Boubacar Traoré,8119,Boubacar Traore
84,84,269,Boubakary Soumaré,6310,Boubakary Soumare
85,85,396,Braian Ojeda Rodríguez,,
86,86,451,Brandon Austin,,
87,87,343,Brandon Williams,,
90,90,382,Brice Samba,,
91,91,333,Bruno Borges Fernandes,1228,Bruno Fernandes
92,92,374,Bruno Guimarães Rodriguez Moura,8327,Bruno Guimarães
96,96,144,Callum Hudson-Odoi,,
99,99,298,Calvin Ramsay,,
102,102,649,Cameron Plain,,
104,104,593,Carlos Henrique Casimiro,2248,Casemiro
105,105,618,Carlos Vinícius Alves Morais,7395,Carlos Vinicius
107,107,383,Carlos Ribeiro Dias,,
109,109,96,Charlie Goode,,
110,110,750,Charlie Robinson,,
111,111,514,Cheick Doucouré,8666,Cheick Oumar Doucoure
115,115,155,Christian Benteke,,
119,119,597,Christian Saydee,,
123,123,352,Ciaran Clark,,
124,124,599,Claudio Gomes,,
125,125,513,Clément Lenglet,5050,Clement Lenglet
134,134,326,Cristiano Ronaldo dos Santos Aveiro,2371,Cristiano Ronaldo
138,138,1,Cédric Alves Soares,847,Cédric Soares
140,140,666,Dale Taylor,,
141,141,447,Dane Scarlett,,
143,143,695,Daniel Adu-Adjei,,
146,146,483,Daniel Castelo Podence,8291,Daniel Podence
149,149,703,Danilo dos Santos de Oliveira,11317,Danilo
155,155,571,Darren Randolph,,
156,156,297,Darwin Núñez Ribeiro,10720,Darwin Núñez
159,159,327,David De Gea Quintana,546,David de Gea
161,161,81,David Raya Martin,9676,David Raya
172,172,50,Diego Carlos Santos Silva,5712,Diego Carlos
173,173,625,Diego Da Silva Costa,802,Diego Costa
175,175,342,Diogo Dalot Teixeira,7281,Diogo Dalot
176,176,743,Diogo Pinheiro Monteiro,,
177,177,288,Diogo Teixeira da Silva,6854,Diogo Jota
182,182,697,Dominic Sadi,,
184,184,98,Dominic Thompson,,
186,186,46,Douglas Luiz Soares de Paulo,6122,Douglas Luiz
188,188,361,Dwight Gayle,,
192,192,307,Ederson Santana de Moraes,6054,Ederson
194,194,640,Ed Turns,,
195,195,627,Eldin Jakupovic,,
196,196,100,Ellery Balcombe,,
199,199,445,Emerson Leite de Souza Junior,1245,Emerson
200,200,545,Emerson Palmieri dos Santos,7430,Emerson
201,201,12,Emile Smith Rowe,7230,Emile Smith-Rowe
202,202,42,Emiliano Buendía Stati,2203,Emiliano Buendía
204,204,31,Emiliano Martínez Romero,4401,Emiliano Martinez
209,209,339,Eric Bailly,,
212,212,151,Ethan Ampadu,,
215,215,771,Ethan Wady,,
216,216,706,Euan Pollock,,
220,220,282,Fabio Henrique Tavares,3420,Fabinho
221,221,488,Fabio Silva,,
223,223,347,Facundo Pellistri Rebollo,9324,Facundo Pellistri
224,224,351,Federico Fernández,,
225,225,730,Felipe Augusto de Almeida Monteiro,7921,Felipe
226,226,670,Filip Marschall,,
227,227,540,Fin Stevens,,
229,229,490,Francisco Jorge Tomás Oliveira,,
232,232,331,Frederico Rodrigues de Paula Santos,6817,Fred
233,233,56,Frédéric Guilbert,,
234,234,25,Fábio Ferreira Vieira,11007,Fábio Vieira
235,235,296,Fábio Freitas Gouveia Carvalho,9501,Fabio Carvalho
236,236,16,Gabriel dos Santos Magalhães,5613,Gabriel
237,237,28,Gabriel Fernando de Jesus,5543,Gabriel Jesus
238,238,19,Gabriel Martinelli Silva,7752,Gabriel Martinelli
239,239,683,Garang Kuol,,
242,242,749,George Shelvey,,
243,243,747,George Wickens,,
247,247,579,Gonçalo Manuel Ganchinho Guedes,5682,Gonçalo Guedes
249,249,681,Gustavo Henrique Furtado Scarpa,11284,Gustavo Scarpa
251,251,541,Halil Dervişoğlu,9686,Halil Dervisoglu
252,252,723,Hamed Traorè,6986,Hamed Junior Traore
253,253,263,Hamza Choudhury,,
254,254,555,Harrison Ashby,,
256,256,378,Harry Arter,,
262,262,434,Harry Winks,,
264,264,592,Harvey Davies,,
266,266,658,Harvey Griffiths,,
267,267,606,Harvey Vale,,
269,269,122,Haydon Roberts,,
270,270,558,Hugo Bueno López,10140,Hugo Bueno
272,272,481,Hwang Hee-chan,8845,Hee-Chan Hwang
279,279,765,Imari Samuels,,
281,281,757,Ishé Samuels-Smith,,
283,283,214,Ivan Neves Abreu Cavaleiro,,
284,284,448,Ivan Perišić,448,Ivan Perisic
286,286,557,Jackson Smith,,
287,287,162,Jack Butland,,
294,294,654,Jack Wells-Morrison,,
297,297,55,Jaden Philogene-Bidace,,
302,302,117,Jakub Moder,,
307,307,652,James Furlong,,
309,309,539,James Hill,,
313,313,317,James McAtee,,
318,318,753,James Wright,,
319,319,234,Jamie Shackleton,,
322,322,253,Jannik Vestergaard,,
325,325,196,Jarrad Branthwaite,,
328,328,363,Javier Manquillo Gaitán,1719,Javier Manquillo
330,330,187,Jean-Philippe Gbamin,,
332,332,64,Jefferson Lerma Solís,2182,Jefferson Lerma
334,334,375,Jeff Hendrick,,
335,335,742,Jeremiah Chilokoa-Mullen,,
336,336,119,Jeremy Sarmiento Morante,,
338,338,172,Jesurun Rak-Sakyi,,
340,340,671,Jimmy Morgan,,
342,342,371,Joelinton Cássio Apolinário de Lira,87,Joelinton
347,347,206,Joe Bryan,,
349,349,384,Joe Lolley,,
350,350,442,Joe Rodon,,
353,353,645,Joe Wormleighton,,
355,355,634,John-Kymani Gordon,,
358,358,477,Jonathan Castro Otto,2280,Jonny
359,359,389,Jonathan Panzo,,
365,365,675,Jordan Smith,,
367,367,130,Jorge Luiz Frello Filho,1389,Jorginho
368,368,739,Joseph Anang,,
374,374,322,Josh Wilson-Esbrand,,
375,375,478,José Malheiro de Sá,,
376,376,503,João Filipe Iria Santos Moutinho,3422,João Moutinho
377,377,721,João Victor Gomes da Silva,11384,João Gomes
379,379,690,João Félix Sequeira,7892,João Félix
380,380,220,João Palhinha Gonçalves,10715,João Palhinha
382,382,622,Juan Larios López,11078,Juan Larios
385,385,239,Junior Firpo Adames,6485,Júnior Firpo
387,387,126,Kacper Kozłowski,,
