,Unnamed: 0,FPL_ID,FPL_Name,Understat_ID,Understat_Name
12,12,133,Adrian Mazilu,,
19,19,435,Alex Mighten,,
21,21,75,Alex Paulsen,,
23,23,485,Alfie Devine,,
27,27,510,Alfie Whiteman,,
28,28,310,Alisson Ramses Becker,1257,Alisson
31,31,367,Altay Bayindir,,
33,33,364,Amad Diallo,12200,Amadou Diallo
34,34,692,Amara Nallo,,
35,35,118,Amario Cozier-Duberry,,
36,36,240,Andreas Hoelgebaum Pereira,922,Andreas Pereira
37,37,601,Andrew Moran,,
40,40,150,Andrey Nascimento dos Santos,11808,Andrey Santos
42,42,642,André Trindade da Costa Neto,13022,André
48,48,365,Antony Matheus dos Santos,11094,Antony
50,50,702,Archie Harris,,
53,53,456,Armel Bella-Kotchap,,
55,55,478,Ashley Phillips,,
57,57,624,Asmir Begovic,,
60,60,658,Ayden Heaven,,
62,62,637,Bastien Meupiyou,,
64,64,705,Benjamin Arthur,,
65,65,24,Benjamin White,7298,Ben White
66,66,153,Benoît Badiashile,7240,Benoit Badiashile Mukinayi
68,68,679,Ben Broggio,,
74,74,616,Ben Nelson,,
76,76,342,Bernardo Veiga de Carvalho e Silva,3635,Bernardo Silva
81,81,290,Bobby De Cordova-Reid,6827,Bobby Reid
83,83,534,Boubacar Traoré,8119,Boubacar Traore
84,84,285,Boubakary Soumaré,6310,Boubakary Soumare
86,86,479,Brandon Austin,,
88,88,366,Bruno Borges Fernandes,1228,Bruno Fernandes
89,89,394,Bruno Guimarães Rodriguez Moura,8327,Bruno Guimarães
95,95,575,Caleb Wiley,,
96,96,678,Callum Bates,,
98,98,683,Callum Olusesi,,
103,103,273,Cameron Humphreys,,
104,104,140,Cameron Peupion,,
106,106,368,Carlos Henrique Casimiro,2248,Casemiro
107,107,427,Carlos Miguel dos Santos Pereira,,
108,108,655,Carlos Roberto Forbs Borges,13092,Carlos Forbs
109,109,258,Carlos Vinícius Alves Morais,7395,Carlos Vinicius
110,110,450,Carlos Alcaraz Durán,11297,Carlos Alcaraz
113,113,615,Carl Rushworth,,
116,116,195,Chadi Riad Dnanou,11167,Chadi Riad
118,118,193,Cheick Doucouré,8666,Cheick Oumar Doucoure
127,127,280,Cieran Slicker,,
135,135,279,Corrie Ndaba,,
144,144,562,Daniel Castelo Podence,8291,Daniel Podence
145,145,294,Daniel Iversen,,
148,148,429,Danilo dos Santos de Oliveira,11317,Danilo
153,153,630,Dara O'Shea,Dara O&#039;Shea
154,154,316,Darwin Núñez Ribeiro,10720,Darwin Núñez
158,158,15,David Raya Martin,9676,David Raya
162,162,165,Deivid Washington de Souza Eugênio,12033,Deivid Washington
164,164,143,Deniz Undav,,
165,165,505,Destiny Udogie,8831,Iyenoma Destiny Udogie
166,166,35,Diego Carlos Santos Silva,5712,Diego Carlos
167,167,369,Diogo Dalot Teixeira,7281,Diogo Dalot
168,168,317,Diogo Teixeira da Silva,6854,Diogo Jota
172,172,82,Dominic Solanke-Mitchell,1679,Dominic Solanke
177,177,347,Ederson Santana de Moraes,6054,Ederson
178,178,511,Edson Álvarez Velázquez,11926,Edson Álvarez
179,179,261,Elkan Baggott,,
181,181,487,Emerson Leite de Souza Junior,7430,Emerson
182,182,520,Emerson Palmieri dos Santos,1245,Emerson
183,183,19,Emile Smith Rowe,7230,Emile Smith-Rowe
184,184,31,Emiliano Buendía Stati,2203,Emiliano Buendía
185,185,47,Emiliano Martínez Romero,4401,Emiliano Martinez
187,187,430,Emmanuel Dennis,,
188,188,320,Endo Wataru,8808,Wataru Endo
191,191,30,Enzo Barrenechea,,
195,195,87,Ethan Brierley,,
200,200,686,Ezra Mayers,,
204,204,384,Facundo Pellistri Rebollo9324,Facundo Pellistri
206,206,653,Felipe Rodrigues da Silva,7921,Felipe
208,208,581,Filip Jørgensen,9272,Filip Jorgensen
209,209,46,Filip Marschall,,
211,211,617,Francisco Evanilson de Lima Barbosa,12963,Evanilson
212,212,537,Francisco Jorge Tomás Oliveira,10327,Chiquinho
213,213,644,Franco Umeh-Chibueze,,
216,216,276,Freddie Ladapo,,
217,217,1,Fábio Ferreira Vieira,11007,Fábio Vieira
218,218,314,Fábio Freitas Gouveia Carvalho,9501,Fabio Carvalho
219,219,545,Fábio Silva,8778,Fabio Silva
220,220,3,Gabriel dos Santos Magalhães,5613,Gabriel
221,221,2,Gabriel Fernando de Jesus,5543,Gabriel Jesus
222,222,9,Gabriel Martinelli Silva,7752,Gabriel Martinelli
223,223,406,Garang Kuol,,
224,224,454,Gavin Bazunu,,
230,230,691,Godwill Kukonki,,
231,231,548,Gonçalo Manuel Ganchinho Guedes,5682,Gonçalo Guedes
234,234,634,Gustavo Nunes Fernandes Gomes,,
235,235,67,Hamed Traorè,6986,Hamed Junior Traore
240,240,670,Harry Amass,,
243,243,303,Harry Souttar,,
248,248,669,Harvey Davies,,
250,250,694,Henry Cartwright,,
251,251,549,Hugo Bueno López,10140,Hugo Bueno
252,252,550,Hwang Hee-chan,8845,Hee-Chan Hwang
253,253,446,Hwang Ui-jo,,
257,257,127,Ibrahim Osman,,
258,258,442,Ibrahim Sangaré,5722,Ibrahim Sangare
260,260,128,Igor Julio dos Santos de Paulo,7943,Igor Julio
261,261,107,Igor Thiago Nascimento Rodrigues,13222,Thiago
265,265,663,Imari Samuels,,
266,266,400,Isaac Hayden,,
267,267,585,Ismaïla Sarr,5675,Ismaila Sarr
268,268,659,Ismeal Kabia,,
270,270,626,Issa Kaboré,,
273,273,667,Jack Fletcher,,
282,282,685,Jacob Slater,,
283,283,671,Jacob Wright,,
284,284,569,Jaden Philogene,9415,Jaden Philogene-Bidace
288,288,582,Jake O'Brien,12014,Jake O&#039;Brien
293,293,408,Jamal Lewis,,
312,312,673,Jayce Fitzgerald,,
319,319,206,Jefferson Lerma Solís,2182,Jefferson Lerma
321,321,614,Jenson Metcalfe,,
323,323,141,Jeremy Sarmiento Morante,10036,Jeremy Sarmiento
324,324,577,Jesper Lindstrøm,9752,Jesper Lindstrom
328,328,403,Joelinton Cássio Apolinário de Lira,87,Joelinton
330,330,452,Joe Aribo,10766,Joe Ayodele-Aribo
331,331,39,Joe Gauci,,
332,332,322,Joe Gomez,987,Joseph Gomez
333,333,551,Joe Hodge,,
339,339,414,John Ruddy,,
341,341,441,Jonathan Panzo,,
345,345,7,Jorge Luiz Frello Filho,1389,Jorginho
346,346,586,Jorge Cuenca Barreno,8489,Jorge Cuenca
347,347,693,Joseph O'Brien-Whitmarsh,,
350,350,426,Josh Bowler,,
352,352,604,Josh King,12410,Joshua King
353,353,662,Josh Nichols,,
354,354,675,Josh Wilson-Esbrand,,
355,355,554,José Malheiro de Sá,9740,José Sá
356,356,596,João Pedro Ferreira Silva,,
357,357,129,João Pedro Junqueira de Jesus,8272,João Pedro
358,358,553,João Victor Gomes da Silva,11384,João Gomes
359,359,353,João Cavaco Cancelo,,
360,360,621,João Félix Sequeira,7892,João Félix
361,361,227,João Neves Virgínia,,
363,363,350,Joško Gvardiol,9790,Josko Gvardiol
364,364,464,Juan Larios López,,
366,366,592,Julián Araujo Zúñiga,11745,Julián Araujo
371,371,346,Jérémy Doku,8981,Jéremy Doku
373,373,130,Kacper Kozłowski,,
374,374,656,Kadan Young,,
375,375,647,Kaden Rodney,,
377,377,43,Kaine Kesler-Hayden,9409,Kaine Hayden
381,381,5,Karl Hein,,
385,385,152,Kepa Arrizabalaga,5061,Kepa
387,387,250,Kevin Mbabu,,
389,389,552,Ki-Jana Hoever,,
390,390,21,Kieran Tierney,652,Kieran Trippier
393,393,668,Killian Cahill,,
394,394,96,Kim Ji-soo,12136,Kim Ji-Soo
398,398,40,Kortney Hause,,
399,399,50,Kosta Nedeljković,12775,Kosta Nedeljkovic
411,411,188,Lesley Ugochukwu,9451,Chimuanya Ugochukwu
418,418,439,Lewis O'Brien,,
419,419,701,Lewis Orford,,
421,421,56,Lino da Cruz Sousa,,
424,424,154,Lucas Bergström,,
427,427,527,Lucas Tolentino Coelho de Lima,,
428,428,689,Luca Williams-Barnett,,
429,429,526,Luis Guilherme Lira dos Santos,13026,Luis Guilherme
432,432,540,Luke Cundle,,
438,438,105,Mads Roerslev Rasmussen,9685,Mads Roerslev
439,439,700,Maeson King,,
441,441,684,Malachi Hardy,,
442,442,176,Malang Sarr,,
443,443,197,Malcolm Ebiowei,,
444,444,657,Maldini Kacurri,,
450,450,155,Marcus Bettinelli,,
451,451,271,Marcus Myers-Harness,,
454,454,163,Marc Cucurella Saseta,12753,Marcus Harness
455,455,178,Marc Guiu Paz,11633,Marc Guiu
456,456,200,Marc Guéhi,7603,Marc Guehi
462,462,396,Martin Dúbravka,6532,Martin Dubravka
463,463,13,Martin Ødegaard,2517,Martin Odegaard
467,467,354,Mateo Kovačić,2254,Mateo Kovacic
468,468,623,Mateus Gonçalo Espanha Fernandes,12948,Mateus Fernandes
469,469,465,Mateusz Lis,,
470,470,356,Matheus Luiz Nunes,11000,Matheus Nunes
471,471,208,Matheus França de Oliveira,12152,Matheus França
472,472,541,Matheus Santos Carneiro Da Cunha,7080,Matheus Cunha
474,474,112,Mathias Jorgensen,,
477,477,32,Matty Cash,8864,Matthew Cash
479,479,629,Matt O'Riley,13206,Matt O&#039;Riley
486,486,703,Max Alleyne,,
488,488,680,Max Kinsey,,
489,489,292,Michael Golding,,
493,493,391,Miguel Almirón Rejala,7420,Miguel Almirón
498,498,574,Miodrag Pivaš,,
499,499,136,Mitoma Kaoru,10806,Kaoru Mitoma
502,502,157,Moisés Caicedo Corozo,9453,Moisés Caicedo
506,506,436,Murillo Santiago Costa dos Santos,12123,Murillo
512,512,332,Nathaniel Phillips,,
515,515,665,Nathan Butler-Oyedeji,,
519,519,477,Nathan Wood-Gordon,12763,Nathan Wood
520,520,529,Nayef Aguerd,6935,Naif Aguerd
527,527,607,Nico O'Reilly,,
528,528,573,Nikola Milenković,6174,Nikola Milenkovic
530,530,218,Norberto Bercique Gomes Betuncal,9983,Beto
531,531,73,Norberto Murara Neto,1297,Neto
533,533,559,Nélson Cabral Semedo,6163,Nélson Semedo
536,536,412,Odysseas Vlachodimos,375,Odisseas Vlachodimos
540,540,641,Oliwier Zych,,
541,541,677,Ollie Scarles,12358,Oliver Scarles
543,543,274,Omari Giraud-Hutchinson,10348,Omari Hutchinson
545,545,438,Omar Richards,,
549,549,499,Pape Matar Sarr,9021,Pape Sarr
555,555,561,Pedro Cardoso de Lima,,
556,556,560,Pedro Lomba Neto,6382,Pedro Neto
558,558,122,Pervis Estupiñán,5136,Estupiñán
562,562,486,Radu Drăgușin,9105,Radu Dragusin
566,566,533,Rayan Aït-Nouri,6674,Rayan Ait Nouri
571,571,707,Remy Rees-Dottin,,
572,572,184,Renato Palma Veiga,11383,Renato Veiga
573,573,334,Rhys Williams,,
574,574,302,Ricardo Barbosa Pereira,3303,Ricardo Pereira
576,576,497,Richarlison de Andrade,6026,Richarlison
581,581,202,Rob Holding,,
582,582,360,Rodrigo 'Rodri' Hernandez,2496,Rodri
584,584,563,Rodrigo Martins Gomes,12756,Rodrigo Gomes
585,585,251,Rodrigo Muniz Carvalho,10717,Rodrigo Muniz
588,588,175,Romelu Lukaku Bolingoli,,
589,589,174,Roméo Lavia,10004,Romeo Lavia
593,593,681,Ruairi McConville,,
601,601,361,Rúben Gato Alves Dias,8961,Rúben Dias
602,602,638,Salah-Eddine Oulad M'hand,,
603,603,690,Samuel Amissah,,
606,606,41,Samuel Iling-Junior,,
607,607,695,Samuel Rak-Sakyi,,
610,610,611,Sam Szmodics,12752,Sammie Szmodics
614,614,555,Saša Kalajdžić,8812,Sasa Kalajdzic
615,615,249,Saša Lukić,1537,Sasa Lukic
616,616,344,Scott Carson,,
621,621,458,Shea Charles,,
622,622,640,Sil Swinkels,,
625,625,503,Son Heung-min,Son Heung-Min
626,626,704,Spike Brits,,
627,627,312,Stefan Bajčetić Maquieira,10723,Stefan Bajcetic
630,630,242,Steven Benda,,
631,631,474,Sugawara Yukinari,12761,Yukinari Sugawara
633,633,571,Sávio 'Savinho' Moreira de Oliveira,11735,Sávio
634,634,221,Séamus Coleman,585,Seamus Coleman
635,635,468,Sékou Mara,,
641,641,708,Thomas Wilson-Brown,,
646,646,409,Tino Livramento,9512,Valentino Livramento
648,648,22,Tomiyasu Takehiro,7931,Takehiro Tomiyasu
650,650,639,Tommy Setford,,
652,652,286,Tom Cannon,11232,Thomas Cannon
653,653,682,Tom Edozie,,
654,654,374,Tom Heaton,,
655,655,556,Tom Heaton,,
656,656,530,Tomáš Souček,8288,Tomas Soucek
657,657,661,Tony Yogane,,
659,659,567,Toti António Gomes,10293,Toti
662,662,688,Treymaurice Nyoni,,
665,665,331,Tyler Morton,,
668,668,696,Tyrique George,,
673,673,55,Viljami Sinisalo,,
677,677,516,Vladimír Coufal,8965,Vladimir Coufal
679,679,297,Wanya Marçal-Madivádua,,
688,688,599,Will Dennis,,
691,691,471,Will Smallbone,8224,William Smallbone
