assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,1,0,0.4,587,0.0,0.1,0.1,0.0,37,0,0,0.3,0.0,2022-08-27,6,7,0,0,0,0,4,0,3049,0,2,4,4.0,1,458,1176,718,4.5,True,0,587,0,1,0.0988503023982048,2,Manchester City,Crystal Palace,4,2,18237,2022,544441,0.0,0,0,0,0.0988503023982048,0.0988503023982048,0.0988503023982048,6656,Manchester City,Sergio Gómez,Sergio Gómez,2,5,4,1.5,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2418162618796198,1.0,0.801,0.126,0.073
0,0,4,0,2.3,587,0.02,0.02,0.0,0.29,49,0,0,1.5,8.6,2022-08-31,22,16,0,0,0,0,5,0,4264,0,0,6,4.0,1,317,1016,699,4.5,True,0,587,0,0,0.0,21,Manchester City,Nottingham Forest,6,0,18246,2022,546323,0.0,0,0,0,0.0,0.0,0.0,6656,Manchester City,Sergio Gómez,Sergio Gómez,2,5,5,2.2,DEF,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.4,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.5,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.1,0.0,0.13,1.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.33,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.5,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.06,0.0,0.08,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.2,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.3,1215.0,0.1848396501457725,1.0,0.894,0.073,0.033
0,0,4,0,0.8,587,0.0,0.0,0.0,0.0,80,0,0,0.5,3.8,2022-09-17,9,20,0,0,0,0,8,0,6405,0,3,0,0.0,1,444,1196,752,4.5,False,0,587,0,0,0.0,6,Wolverhampton Wanderers,Manchester City,0,3,18274,2022,550456,0.0,0,0,0,0.0,0.0,0.0,6656,Manchester City,Sergio Gómez,Sergio Gómez,5,2,8,1.8,DEF,0.0,0.02,0.02,0.0,0.29,0.0,0.0,1.5,8.6,2.3,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.01,0.04,0.03,0.1,0.0,0.0,0.6,2.87,0.9,2.67,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,3.33,0.67,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,1.23,0.0,0.0,0.02,0.02,0.06,0.0,0.0,0.36,1.72,0.54,1.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,0.4,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.74,2141.0,0.2279260780287474,1.0,0.1,0.189,0.711
1,0,15,0,28.5,587,0.17,0.17,0.0,1.59,88,3,0,6.4,31.0,2022-10-02,49,14,0,0,0,0,9,0,5846,0,3,6,4.0,3,-729,249,978,4.5,True,0,587,0,0,0.0,50,Manchester City,Manchester United,6,3,18289,2022,552928,0.1714150011539459,1,2,0,0.0,0.9686220288276672,0.8270789980888367,6656,Manchester City,Sergio Gómez,Sergio Gómez,3,5,9,3.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.8,0.8,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.01,0.04,0.03,0.1,0.0,0.0,0.77,4.13,1.17,2.67,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,3.33,1.0,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,1.83,0.0,0.0,0.02,0.02,0.06,0.0,0.0,0.46,2.48,0.7,1.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,1.1,-559.0,-0.5941320293398533,3.0,0.71,0.164,0.126
0,0,2,0,0.5,587,0.0,0.04,0.04,0.1,97,0,0,0.7,0.6,2022-10-08,20,17,0,0,0,0,10,0,31607,0,0,4,6.0,1,24467,26373,1906,4.5,True,0,587,0,1,0.0557961985468864,18,Manchester City,Southampton,4,0,18298,2022,554130,0.0,0,0,0,0.0557961985468864,0.0557961985468864,0.0,6656,Manchester City,Sergio Gómez,Sergio Gómez,2,5,10,2.7,DEF,0.0,0.17,0.17,0.0,1.59,3.0,0.0,6.4,31.0,28.5,4.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.17,1.0,1.0,2.0,0.0,0.0,0.97,0.83,3.0,0.0,0.06,0.06,0.0,0.63,1.0,0.0,2.8,14.47,10.53,2.67,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.67,0.0,0.0,0.0,0.06,0.33,0.33,0.67,0.0,0.0,0.32,0.28,2.33,0.0,0.04,0.06,0.02,0.38,0.6,0.0,1.74,8.68,6.4,2.4,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,3.2,1.2,0.0,0.2,0.02,0.03,0.2,0.2,0.4,0.0,0.02,0.21,0.19,1.7,25761.0,0.86520032532975,1.0,0.85,0.094,0.056
0,0,7,0,2.4,587,0.01,0.14,0.13,0.81,241,1,0,1.2,6.8,2023-02-25,35,3,0,0,0,0,25,0,8585,0,4,1,3.0,1,-62,124,186,4.5,False,0,587,0,2,0.0757163017988205,34,Bournemouth,Manchester City,1,4,18442,2022,578102,0.0,0,0,0,0.0757163017988205,0.0757163017988205,0.0,6656,Manchester City,Sergio Gómez,Sergio Gómez,5,2,25,1.7,DEF,0.0,0.0,0.04,0.04,0.1,0.0,0.0,0.7,0.6,0.5,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,2.7,0.0,0.06,0.07,0.01,0.56,1.0,0.0,2.53,11.8,9.93,3.33,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.33,1.67,0.0,0.33,0.02,0.06,0.33,0.33,0.67,0.0,0.02,0.34,0.28,2.5,0.0,0.04,0.07,0.03,0.4,0.6,0.0,1.88,8.8,6.5,3.6,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.0,1.4,0.0,0.4,0.03,0.03,0.2,0.2,0.4,0.0,0.03,0.22,0.19,2.24,-23022.0,-0.2,1.0,0.095,0.166,0.739
0,0,3,0,1.1,587,0.0,0.0,0.0,0.0,298,0,0,0.4,2.4,2023-04-08,9,17,0,0,0,0,30,0,8699,0,4,1,0.0,1,-39,60,99,4.4,False,0,587,0,0,0.0,7,Southampton,Manchester City,1,4,18499,2022,586985,0.0,0,0,0,0.0,0.0,0.0,6656,Manchester City,Sergio Gómez,Sergio Gómez,5,2,30,2.0,DEF,0.0,0.01,0.14,0.13,0.81,1.0,0.0,1.2,6.8,2.4,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,1.7,0.0,0.06,0.12,0.06,0.83,1.33,0.0,2.77,12.8,10.47,4.33,34.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,3.67,1.67,0.0,1.0,0.04,0.06,0.33,0.33,0.67,0.0,0.04,0.37,0.28,2.47,0.0,0.04,0.07,0.03,0.56,0.8,0.0,2.06,10.16,6.9,3.4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.4,1.4,0.0,0.6,0.03,0.03,0.2,0.2,0.4,0.0,0.03,0.22,0.17,2.28,114.0,-0.2452830188679245,1.0,0.086,0.158,0.756
0,0,4,0,0.7,587,0.0,0.0,0.0,1.62,305,1,0,0.8,7.2,2023-04-15,16,10,0,0,0,0,31,0,8690,0,1,3,0.0,1,-46,62,108,4.4,True,0,587,0,0,0.0,14,Manchester City,Leicester,3,1,18506,2022,588678,0.0,0,0,0,0.0,0.0,0.0,6656,Manchester City,Sergio Gómez,Sergio Gómez,3,5,31,1.7,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.4,1.1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.3,0.33,0.0,0.77,3.27,1.33,3.0,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,2.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,2.13,0.0,0.04,0.07,0.03,0.5,0.8,0.0,1.84,8.92,6.66,2.6,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.4,1.4,0.0,0.6,0.03,0.03,0.2,0.2,0.4,0.0,0.03,0.22,0.17,2.24,-9.0,-0.2705882352941176,1.0,0.826,0.111,0.063
0,0,2,0,0.2,587,0.0,0.0,0.0,0.0,356,0,0,0.0,0.2,2023-05-14,1,8,0,0,0,0,36,0,8870,0,3,0,0.0,1,-11,66,77,4.4,False,0,587,0,0,0.0,1,Everton,Manchester City,0,3,18557,2022,596950,0.0,0,0,0,0.0,0.0,0.0,6656,Manchester City,Sergio Gómez,Sergio Gómez,5,2,36,0.0,DEF,0.0,0.0,0.0,0.0,1.62,1.0,0.0,0.8,7.2,0.7,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.05,0.04,0.81,0.67,0.0,0.8,5.47,1.4,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.67,1.0,0.0,0.67,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,1.8,0.0,0.04,0.07,0.03,0.82,1.0,0.0,1.9,9.6,6.64,2.6,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.0,1.4,0.0,0.6,0.03,0.03,0.2,0.2,0.4,0.0,0.03,0.22,0.17,2.22,180.0,-0.0769230769230769,1.0,0.105,0.199,0.696
0,1,27,1,15.1,587,0.02,0.04,0.02,1.08,365,0,0,2.3,4.4,2023-05-21,77,6,0,0,0,0,37,0,8896,1,0,1,3.0,7,3,93,90,4.4,True,0,587,0,1,0.0209307018667459,80,Manchester City,Chelsea,1,0,18566,2022,598973,0.0201715920120477,0,1,0,0.0209307018667459,0.3050624430179596,0.3050624430179596,6656,Manchester City,Sergio Gómez,Sergio Gómez,3,5,37,5.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.33,0.0,0.4,3.27,0.67,0.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.04,0.03,0.51,0.4,0.0,0.62,3.44,0.98,1.8,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,1.0,0.0,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,1.62,26.0,0.0163934426229508,6.0,0.756,0.158,0.086
0,0,3,0,0.8,587,0.0,0.0,0.0,0.0,314,0,0,0.2,1.2,2023-05-24,6,5,0,0,0,0,37,0,8896,0,1,1,0.0,1,3,93,90,4.4,False,0,587,0,0,0.0,3,Brighton and Hove Albion,Manchester City,1,1,18515,2022,599612,0.0,0,0,0,0.0,0.0,0.0,6656,Manchester City,Sergio Gómez,Sergio Gómez,5,3,37,5.0,DEF,1.0,0.02,0.04,0.02,1.08,0.0,0.0,2.3,4.4,15.1,3.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.02,0.02,0.0,0.0,1.0,0.0,0.02,0.31,0.31,5.0,0.33,0.01,0.01,0.01,0.9,0.33,0.0,1.03,3.93,5.33,1.0,31.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,1.33,3.0,0.0,0.33,0.01,0.01,0.0,0.0,0.33,0.0,0.01,0.1,0.1,2.23,0.2,0.01,0.04,0.03,0.7,0.4,0.0,0.94,4.2,3.9,1.2,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.4,1.2,2.2,0.0,0.6,0.02,0.0,0.0,0.0,0.2,0.0,0.02,0.08,0.06,2.08,0.0,0.0163934426229508,1.0,0.238,0.219,0.543
0,0,11,0,0.0,587,0.83,0.91,0.08,0.41,373,1,0,0.0,0.0,2023-05-28,90,4,0,0,0,0,38,0,11545,1,0,1,0.0,2,2143,2431,288,4.4,False,0,587,0,2,0.0625663921236991,90,Brentford,Manchester City,1,0,18574,2022,600904,0.2542814314365387,0,2,0,0.0625663921236991,0.5618849396705627,0.4178615510463714,6656,Manchester City,Sergio Gómez,Sergio Gómez,5,3,38,2.6,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,0.8,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.33,0.01,0.01,0.01,0.36,0.0,0.0,0.83,1.93,5.37,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,0.67,3.0,0.0,0.33,0.01,0.01,0.0,0.0,0.33,0.0,0.01,0.1,0.1,3.33,0.2,0.0,0.01,0.0,0.54,0.2,0.0,0.74,3.08,3.58,0.6,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,1.2,2.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.06,0.06,2.74,2649.0,0.7881574108127988,2.0,0.248,0.236,0.516
