assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event
0,0,3,0,0.0,734,0.0,0.0,0.0,0.02,218,0,0,0.2,2.0,2023-02-05,1,11,0,0,0,0,22,0,52,0,0,1,0.0,1,48,50,2,50,True,0,734,0,0,0.0,1,MID,Nottingham Forest,Leeds,1,0,18419,2022,573838,0.0,0,0,0,0.0,0.0,0.0,713,Nottingham Forest,André Ayew,André Ayew,2,2,22
0,0,3,0,0.1,734,0.0,0.0,0.0,0.38,224,1,0,0.2,2.2,2023-02-11,27,9,0,0,0,0,23,0,288,0,0,2,0.0,1,185,231,46,50,False,0,734,0,0,0.0,24,MID,Fulham,Nottingham Forest,2,0,18425,2022,574898,0.0,0,0,0,0.0,0.0,0.0,713,Nottingham Forest,André Ayew,André Ayew,2,2,23
0,0,6,0,0.4,734,0.0,0.0,0.0,1.31,238,0,0,0.5,4.2,2023-02-18,32,13,0,0,0,0,24,0,363,0,1,1,0.0,1,29,101,72,50,True,0,734,0,0,0.0,31,MID,Nottingham Forest,Manchester City,1,1,18439,2022,576519,0.0,0,0,0,0.0,0.914002001285553,0.914002001285553,713,Nottingham Forest,André Ayew,André Ayew,5,2,24
0,0,1,0,0.7,734,0.0,0.15,0.15,1.8,250,4,0,1.4,2.2,2023-02-25,23,19,0,0,0,0,25,0,636,0,0,4,11.0,1,88,186,98,50,False,0,734,0,1,0.1358159929513931,22,MID,West Ham,Nottingham Forest,4,0,18451,2022,577913,0.0,0,0,0,0.1358159929513931,0.1358159929513931,0.0,713,Nottingham Forest,André Ayew,André Ayew,2,3,25
0,0,1,0,0.3,734,0.0,0.06,0.06,0.0,258,0,0,2.3,3.2,2023-03-05,19,8,0,0,0,0,26,0,536,0,2,2,19.0,1,-7,71,78,50,True,0,734,0,1,0.0563426986336708,17,MID,Nottingham Forest,Everton,2,2,18459,2022,580105,0.0,0,0,0,0.0563426986336708,0.0563426986336708,0.0,713,Nottingham Forest,André Ayew,André Ayew,2,2,26
0,0,-7,0,1.3,734,0.01,0.8,0.79,0.85,269,1,0,2.4,3.4,2023-03-11,45,18,0,1,0,0,27,0,575,0,1,3,19.0,-1,-21,73,94,50,False,0,734,0,1,0.7611690163612366,42,MID,Tottenham,Nottingham Forest,3,1,18470,2022,581252,0.0,0,0,0,0.0,0.0,0.0,713,Nottingham Forest,André Ayew,André Ayew,2,4,27
0,0,4,0,2.3,734,0.01,0.01,0.0,1.22,278,1,0,0.5,2.8,2023-03-17,78,15,0,0,0,0,28,0,840,1,2,1,0.0,2,140,219,79,50,True,0,734,0,0,0.0,82,MID,Nottingham Forest,Newcastle United,1,2,18479,2022,582679,0.0,0,0,0,0.0,0.0,0.0,713,Nottingham Forest,André Ayew,André Ayew,3,2,28
0,0,4,0,1.2,734,0.0,0.06,0.06,0.13,65,0,0,0.8,3.0,2023-04-04,19,11,0,0,0,0,29,0,686,0,1,2,4.0,1,-107,82,189,50,False,0,734,0,1,0.0350727997720241,17,MID,Leeds,Nottingham Forest,2,1,18271,2022,586059,0.0,0,0,0,0.0350727997720241,0.0350727997720241,0.0,713,Nottingham Forest,André Ayew,André Ayew,2,2,29
0,0,3,0,0.0,734,0.0,0.0,0.0,0.35,291,1,0,0.2,2.0,2023-04-08,12,2,0,0,0,0,30,0,728,0,0,2,0.0,1,12,88,76,50,False,0,734,0,0,0.0,9,MID,Aston Villa,Nottingham Forest,2,0,18492,2022,586772,0.0,0,0,0,0.0,0.0,0.0,713,Nottingham Forest,André Ayew,André Ayew,2,2,30
0,0,3,0,0.0,734,0.0,0.0,0.0,0.27,318,0,0,0.0,0.0,2023-04-22,3,12,0,0,0,0,32,0,834,0,2,3,0.0,1,20,77,57,50,False,0,734,0,0,0.0,1,MID,Liverpool,Nottingham Forest,3,2,18519,2022,590134,0.0,0,0,0,0.0,0.0,0.0,713,Nottingham Forest,André Ayew,André Ayew,2,4,32
