assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event
0,0,7,0,0.8,524,0.0,0.02,0.02,1.21,7,1,0,2.1,12.4,2022-08-06,74,15,0,0,0,0,1,0,4256,1,0,2,8.0,1,0,0,0,50,False,1,0,1,0.0164886992424726,77,MC,Newcastle United,Nottingham Forest,2,0,18206,2022,539476,0.0,0,0,0,0.0164886992424726,0.1342159956693649,0.1177269965410232,Nottingham Forest,2,4,1
0,0,9,1,2.0,524,0.01,0.01,0.0,2.29,18,0,0,1.6,13.8,2022-08-14,90,19,0,0,0,0,2,0,4639,1,0,1,0.0,3,-337,182,519,50,True,0,0,0,0.0,90,MC,Nottingham Forest,West Ham,1,0,18219,2022,541259,0.0,0,0,0,0.0,0.2026509940624237,0.2026509940624237,Nottingham Forest,2,2,2
0,0,4,0,11.4,524,0.05,0.12,0.07,1.51,23,1,0,1.8,2.4,2022-08-20,90,8,0,0,0,0,3,0,6212,1,1,1,4.0,2,831,1602,771,50,False,0,0,2,0.051256600767374,90,MC,Everton,Nottingham Forest,1,1,18224,2022,542360,0.0925851985812187,0,1,0,0.051256600767374,0.2371450066566467,0.0933033004403114,Nottingham Forest,2,2,3
0,0,12,0,15.8,524,0.05,0.07,0.02,1.56,38,1,0,3.4,8.8,2022-08-28,74,18,0,0,0,0,4,0,5641,1,2,0,9.0,1,-803,323,1126,50,True,1,0,1,0.0156054999679327,76,MC,Nottingham Forest,Tottenham,0,2,18241,2022,545393,0.0179025009274482,0,1,0,0.0156054999679327,0.249097004532814,0.2311950027942657,Nottingham Forest,3,2,4
0,0,12,0,21.3,524,0.03,0.03,0.0,3.32,49,6,0,3.6,15.0,2022-08-31,90,13,0,0,0,0,5,0,5476,1,0,6,0.0,2,-494,245,739,50,False,0,0,0,0.0,90,MC,Manchester City,Nottingham Forest,6,0,18246,2022,546334,0.0686174035072326,0,2,0,0.0,0.3269369900226593,0.2830730080604553,Nottingham Forest,2,5,5
0,0,23,0,0.8,524,0.0,0.16,0.16,0.43,78,0,1,5.8,40.4,2022-09-16,20,9,0,0,0,0,8,0,5663,0,3,2,17.0,6,-127,127,254,49,True,0,1,1,0.3017730116844177,19,Sub,Nottingham Forest,Fulham,2,3,18273,2022,550252,0.0,0,0,1,0.3017730116844177,0.3205249905586242,0.0187522992491722,Nottingham Forest,2,2,8
0,0,6,0,0.3,524,0.0,0.01,0.01,0.92,86,3,0,1.6,7.2,2022-10-03,45,10,0,0,0,0,9,0,6672,1,0,4,8.0,1,737,1198,461,49,False,0,0,1,0.0169079005718231,47,DMC,Leicester,Nottingham Forest,4,0,18287,2022,553620,0.0,0,0,0,0.0169079005718231,0.0,0.0,Nottingham Forest,2,3,9
0,0,3,0,0.0,524,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10,1,2,0,0,0,0,10,0,6234,0,1,1,0.0,1,-446,282,728,49,True,0,0,0,0.0,1,Sub,Nottingham Forest,Aston Villa,1,1,18300,2022,555425,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,2,10
0,0,3,0,0.1,524,0.0,0.0,0.0,0.22,131,0,0,0.5,5.0,2022-10-30,9,1,0,0,0,0,14,0,4676,0,0,5,0.0,1,-486,13,499,49,False,0,0,0,0.0,7,Sub,Arsenal,Nottingham Forest,5,0,18332,2022,560775,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,4,14
0,0,2,0,1.8,524,0.04,0.1,0.06,0.47,146,1,0,0.2,0.0,2022-11-05,24,4,0,0,0,0,15,0,4515,0,2,2,1.0,1,-192,28,220,49,True,0,0,1,0.0211606007069349,19,Sub,Nottingham Forest,Brentford,2,2,18347,2022,561924,0.0,0,0,0,0.0211606007069349,0.3731040060520172,0.3731040060520172,Nottingham Forest,3,2,15
0,0,3,0,0.0,524,0.0,0.0,0.0,0.26,157,0,0,0.0,0.0,2022-11-12,4,7,0,0,0,0,16,0,4467,0,0,1,0.0,1,-90,63,153,48,True,0,0,0,0.0,3,Sub,Nottingham Forest,Crystal Palace,1,0,18358,2022,564515,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,2,16
0,0,2,0,1.3,524,0.01,0.01,0.0,1.94,169,1,0,0.4,2.6,2022-12-27,37,14,0,0,0,0,17,0,4389,0,0,3,0.0,1,-153,142,295,48,False,0,0,0,0.0,34,Sub,Manchester United,Nottingham Forest,3,0,18370,2022,565713,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,4,17
0,0,2,0,0.8,524,0.0,0.0,0.0,0.0,198,0,0,0.1,0.2,2023-01-14,20,10,0,0,0,0,20,0,4284,0,0,2,0.0,1,-78,22,100,48,True,0,0,0,0.0,19,Sub,Nottingham Forest,Leicester,2,0,18399,2022,568786,0.0,0,0,0,0.0,0.6998460292816162,0.6998460292816162,Nottingham Forest,3,2,20
