assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
0,1,31,1,0.0,355,0.0,0.0,0.0,1.12,237,0,0,2.9,29.4,2023-02-18,66,12,0,0,0,0,24,5,41573,0,2,0,0.0,8,-119,383,502,41,True,0,355,,,0,0,0,67,Sub,Newcastle United,Liverpool,0,2,18438,2022,576610,0.0,0,0,0,0,0.0,0.0,6532,Newcastle United,Martin Dubravka,Martin Dubravka,GK,4,4,24
0,0,18,0,0.0,355,0.0,0.0,0.0,2.21,374,1,0,0.0,0.0,2023-05-28,90,6,0,0,0,0,38,5,51267,1,1,1,0.0,3,6209,6824,615,41,False,0,355,,,0,0,0,90,GK,Chelsea,Newcastle United,1,1,18575,2022,600923,0.0,0,0,0,0,0.6429070234298706,0.6429070234298706,6532,Newcastle United,Martin Dubravka,Martin Dubravka,GK,3,4,38
