assists_x,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0.0,0.0,10.0,0.0,0.0,11.6,4.0,712.0,0.01,0.03,0.02,0.28,21.0,0.0,0.0,1.7,3.6,2025-08-31,19.0,False,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,False,0.0,712.0,0.0,1.0,0.021616980433464,15.0,Aston Villa,Crystal Palace,0.0,3.0,28807.0,2025.0,736207.0,0.3195617496967315,0.0,1.0,0.0,0.021616980433464,0.3411787152290344,0.0,9024.0,Crystal Palace,Yéremy Pino Santos,Yeremi Pino,3.0,4.0,3.0,2.1,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0.0,0.0,-1.0,1.0,0.0,15.2,5.0,712.0,0.03,0.76,0.73,0.36,35.0,0.0,0.0,2.3,0.0,2025-09-13,83.0,False,17.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,18411.0,1.0,1.0,0.0,0.0,10.0,3.0,15677.0,20372.0,4695.0,6.0,True,0.0,712.0,0.0,3.0,0.7448294758796692,88.0,Crystal Palace,Sunderland,0.0,0.0,28811.0,2025.0,736944.0,0.0,0.0,0.0,0.0,0.7448294758796692,0.7604790925979614,0.0156496241688728,9024.0,Crystal Palace,Yéremy Pino Santos,Yeremi Pino,2.0,3.0,4.0,2.5,MID,0.0,0.01,0.03,0.02,0.28,0.0,0.0,1.7,3.6,11.6,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.02,0.32,0.0,0.0,1.0,0.0,0.02,0.34,0.0,2.1,0.0,0.0,0.01,0.01,0.09,0.0,0.0,0.57,1.2,3.87,0.67,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.01,0.11,0.0,0.0,0.33,0.0,0.01,0.11,0.0,0.7,0.0,0.0,0.01,0.0,0.06,0.0,0.0,0.34,0.72,2.32,0.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.06,0.0,0.0,0.2,0.0,0.0,0.07,0.0,0.42,18411.0,0.625403917501097
0.0,0.0,6.0,0.0,1.0,14.2,2.0,712.0,0.27,0.37,0.1,0.22,49.0,0.0,0.0,3.0,5.2,2025-09-20,45.0,False,19.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,28165.0,1.0,1.0,2.0,1.0,11.0,1.0,10126.0,13687.0,3561.0,6.0,False,0.0,712.0,0.0,2.0,0.1012516468763351,48.0,West Ham,Crystal Palace,1.0,2.0,28819.0,2025.0,738578.0,0.125072106719017,0.0,1.0,0.0,0.1012516468763351,0.2100630700588226,0.0,9024.0,Crystal Palace,Yéremy Pino Santos,Yeremi Pino,3.0,2.0,5.0,1.7,MID,1.0,0.03,0.76,0.73,0.36,0.0,0.0,2.3,0.0,15.2,10.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.74,0.0,0.0,0.0,0.0,0.0,0.74,0.76,0.02,2.5,0.33,0.01,0.26,0.25,0.21,0.0,0.0,1.33,1.2,8.93,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.0,1.33,0.0,1.33,0.26,0.11,0.0,0.0,0.33,0.0,0.26,0.37,0.01,1.53,0.2,0.01,0.16,0.15,0.13,0.0,0.0,0.8,0.72,5.36,2.4,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.8,0.0,0.8,0.15,0.06,0.0,0.0,0.2,0.0,0.15,0.22,0.0,0.92,9754.0,0.587082560296846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5900000000000001,,,712.0,,,,,,,,,,,,,,,,,,,9024.0,8,,,,,6.0,,3,0.0,0.27,0.37,0.1,0.22,0.0,0.0,3.0,5.2,14.2,11.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.1,0.13,0.0,0.0,1.0,0.0,0.1,0.21,0.0,1.7,0.33,0.1,0.39,0.28,0.29,0.0,0.0,2.33,2.93,13.67,7.67,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,0.33,1.67,0.0,2.0,0.29,0.15,0.0,0.0,0.67,0.0,0.29,0.44,0.01,2.1,0.2,0.06,0.23,0.17,0.17,0.0,0.0,1.4,1.76,8.2,4.6,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,1.0,0.0,1.2,0.17,0.09,0.0,0.0,0.4,0.0,0.17,0.26,0.0,1.26,0.0,-0.09464082098061574
