assists_x,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0.0,0.0,7.0,1.0,0.0,16.4,5.0,16.0,0.09,0.24,0.15,1.52,9.0,0.0,0.0,3.5,12.0,2025-08-17,90.0,False,14.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1602493.0,1.0,3.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,10.0,False,0.0,16.0,,,0.0,1.0,0.1351037770509719,90.0,FWR,Manchester United,Arsenal,0.0,1.0,28786.0,2025.0,732476.0,0.0585200823843479,0.0,1.0,0.0,0.1351037770509719,0.2805245518684387,0.0869006887078285,7322.0,Arsenal,Bukayo Saka,Bukayo Saka,4.0,3.0,1.0,3.5,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0.0,0.0,27.0,0.0,0.0,30.4,4.0,16.0,0.03,0.14,0.11,0.17,11.0,0.0,1.0,9.2,40.4,2025-08-23,52.0,False,11.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1870918.0,1.0,0.0,0.0,5.0,21.0,6.0,43708.0,152171.0,108463.0,10.0,True,0.0,16.0,,,1.0,1.0,0.2574816644191742,56.0,FWR,Arsenal,Leeds,5.0,0.0,28793.0,2025.0,733393.0,0.0804733261466026,0.0,2.0,1.0,0.2574816644191742,0.3379549980163574,0.0,7322.0,Arsenal,Bukayo Saka,Bukayo Saka,2.0,4.0,2.0,5.5,MID,1.0,0.09,0.24,0.15,1.52,0.0,0.0,3.5,12.0,16.4,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.14,0.06,0.0,0.0,1.0,0.0,0.14,0.28,0.09,3.5,0.33,0.03,0.08,0.05,0.51,0.0,0.0,1.17,4.0,5.47,2.33,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,1.0,0.0,0.33,0.05,0.02,0.0,0.0,0.33,0.0,0.05,0.09,0.03,1.17,0.2,0.02,0.05,0.03,0.3,0.0,0.0,0.7,2.4,3.28,1.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0,0.2,0.03,0.01,0.0,0.0,0.2,0.0,0.03,0.06,0.02,0.7,268425.0,0.16769876531841588
0.0,0.0,7.0,0.0,0.0,32.3,3.0,16.0,0.21,0.25,0.04,0.34,41.0,0.0,0.0,4.5,5.6,2025-09-21,45.0,False,13.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,415767.0,0.0,0.0,1.0,1.0,7.0,1.0,-95794.0,1687.0,97481.0,9.8,True,0.0,16.0,,,0.0,1.0,0.0468084216117858,39.0,Sub,Arsenal,Manchester City,1.0,1.0,28827.0,2025.0,739602.0,0.0720737800002098,0.0,2.0,0.0,0.0468084216117858,0.198150023818016,0.1236381381750106,7322.0,Arsenal,Bukayo Saka,Bukayo Saka,4.0,4.0,5.0,0.1,MID,0.0,0.03,0.14,0.11,0.17,0.0,1.0,9.2,40.4,30.4,21.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,1.0,1.0,0.26,0.08,0.0,0.0,2.0,1.0,0.26,0.34,0.0,5.5,0.33,0.04,0.13,0.09,0.56,0.0,0.33,4.23,17.47,15.6,9.33,47.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,1.67,3.0,0.33,0.67,0.13,0.05,0.0,0.0,1.0,0.33,0.13,0.21,0.03,3.0,0.2,0.02,0.08,0.05,0.34,0.0,0.2,2.54,10.48,9.36,5.6,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1.0,1.8,0.2,0.4,0.08,0.03,0.0,0.0,0.6,0.2,0.08,0.12,0.02,1.8,-1455151.0,-0.9659769280413036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,16.0,,,,,,,,,,,,,,,,,,,,,,7322.0,1,,,,,6.0,,3,0.0,0.21,0.25,0.04,0.34,0.0,0.0,4.5,5.6,32.3,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.05,0.07,0.0,0.0,2.0,0.0,0.05,0.2,0.12,0.1,0.33,0.11,0.21,0.1,0.68,0.0,0.33,5.73,19.33,26.37,11.67,62.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,2.0,3.33,0.33,1.0,0.15,0.07,0.0,0.0,1.67,0.33,0.15,0.27,0.07,3.03,0.2,0.07,0.13,0.06,0.41,0.0,0.2,3.44,11.6,15.82,7.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.2,2.0,0.2,0.6,0.09,0.04,0.0,0.0,1.0,0.2,0.09,0.16,0.04,1.82,0.0,0.8764561425602921
