assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,3,0,0,0.0,0,706,0.00,0.00,0.00,0.03,24,0,0,0.0,0.0,2025-08-30T16:30:00Z,10,False,15,0,0,0,0,0,3,0,21528,0,0,0,0,0.0,1,7619,8648,1029,40,True,0
0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,37,0,0,0.0,0.0,2025-09-13T14:00:00Z,0,False,10,0,0,0,0,0,4,0,29666,0,0,0,1,0.0,0,8269,11696,3427,40,False,0
0,0,4,0,2,0.0,2,706,0.00,0.00,0.00,0.28,50,0,0,0.4,4.0,2025-09-20T14:00:00Z,7,False,20,0,0,0,0,0,5,0,27533,0,0,3,1,0.0,1,-322,1985,2307,40,False,0
0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2025-09-27T14:00:00Z,0,False,4,0,0,0,0,0,6,0,29165,0,0,2,2,0.0,0,767,2709,1942,40,True,0
0,0,4,0,0,0.0,0,706,0.00,0.00,0.00,0.00,67,0,0,0.2,0.2,2025-10-04T11:30:00Z,1,False,18,0,0,0,3,0,7,0,28450,0,0,2,1,2.0,1,-824,980,1804,40,True,0
0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,72,0,0,0.0,0.0,2025-10-18T14:00:00Z,0,False,3,0,0,0,0,0,8,0,28766,0,0,0,2,0.0,0,-514,1109,1623,40,False,0
0,0,0,0,7,1.1,8,706,0.00,0.00,0.00,0.55,87,1,0,1.2,10.8,2025-10-24T19:00:00Z,46,False,19,0,0,0,4,0,9,0,28361,0,1,1,2,0.0,0,-803,547,1350,40,True,1
0,0,4,0,0,0.0,0,706,0.00,0.00,0.00,0.13,91,0,0,0.0,0.4,2025-11-01T15:00:00Z,13,False,6,0,0,0,0,0,10,0,28172,0,0,0,3,0.0,1,-675,642,1317,40,False,0
0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,107,0,0,0.0,0.0,2025-11-09T14:00:00Z,0,False,16,0,0,0,0,0,11,0,27875,0,0,1,3,0.0,0,-649,377,1026,40,False,0
0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,116,0,0,0.0,0.0,2025-11-23T14:00:00Z,0,False,2,0,0,0,0,0,12,0,29383,0,0,2,1,0.0,0,128,1001,873,39,True,0
0,0,3,0,5,0.4,5,706,0.00,0.00,0.00,2.73,126,2,0,1.8,15.8,2025-11-29T15:00:00Z,68,False,13,0,0,0,2,0,13,0,28839,1,0,2,3,2.0,1,-294,615,909,39,False,0
0,0,3,0,1,0.3,1,706,0.00,0.00,0.00,0.08,136,0,0,0.2,1.4,2025-12-03T20:15:00Z,3,False,7,0,0,0,2,0,14,0,29430,0,0,1,3,0.0,1,377,969,592,39,True,0
0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,146,0,0,0.0,0.0,2025-12-06T17:30:00Z,0,False,12,0,0,0,0,0,15,0,29717,0,0,3,3,0.0,0,214,928,714,39,True,0
0,0,3,0,1,0.0,1,706,0.00,0.00,0.00,0.09,152,0,0,0.2,2.0,2025-12-14T16:30:00Z,1,False,5,0,0,0,0,0,16,0,29122,0,0,1,1,0.0,1,-629,1274,1903,39,False,0
0,0,-2,0,1,0.1,1,706,0.00,0.00,0.00,1.22,166,1,0,0.3,2.4,2025-12-20T20:00:00Z,10,False,8,0,0,0,0,0,17,0,29558,0,0,1,4,0.0,1,230,1003,773,39,True,0
0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,179,0,0,0.0,0.0,2025-12-28T14:00:00Z,0,False,17,0,0,0,0,0,18,0,29746,0,0,1,1,0.0,0,-22,732,754,39,False,0
0,0,23,1,9,1.7,9,706,0.00,0.00,0.00,1.96,186,0,0,2.5,22.8,2026-01-01T17:30:00Z,90,False,12,0,0,0,0,0,19,0,29351,1,0,0,0,0.0,6,-390,375,765,39,False,0
0,0,0,0,0,0.0,0,706,0.00,0.00,0.00,0.00,196,0,0,0.0,0.0,2026-01-04T12:30:00Z,0,False,14,0,0,0,0,0,20,0,30004,0,0,,,0.0,0,508,1085,577,39,True,0
