card_names,card_odds,contest
Aaron Hickey CM,12 - 16,Brentford v Burnley
Nathan Collins CM,11 - 15,Brentford v Burnley
Jordan Henderson CM,11 - 15,Brentford v Burnley
Igor Thiago CM,10 - 14,Brentford v Burnley
Vitaly Janelt CM,10 - 14,Brentford v Burnley
Keane Lewis-Potter CM,10 - 14,Brentford v Burnley
Kristoffer Ajer CM,9 - 13,Brentford v Burnley
Mathias Jensen CM,9 - 13,Brentford v Burnley
Kevin Schade CM,8 - 12,Brentford v Burnley
Dango Ouattara CM,8 - 12,Brentford v Burnley
Michael Kayode CM,7 - 10,Brentford v Burnley
Sepp van den Berg CM,7 - 10,Brentford v Burnley
Mikkel Damsgaard CM,5 - 8,Brentford v Burnley
Caoimhin Kelleher CM,3 - 6,Brentford v Burnley
Florentino Luis CM,20 - 24,Brentford v Burnley
Lesley Ugochukwu CM,19 - 23,Brentford v Burnley
Josh Cullen CM,19 - 23,Brentford v Burnley
Josh Laurent CM,15 - 19,Brentford v Burnley
Axel Tuanzebe CM,14 - 18,Brentford v Burnley
Kyle Walker CM,14 - 18,Brentford v Burnley
Jaidon Anthony CM,10 - 14,Brentford v Burnley
Loum Tchaouna CM,10 - 14,Brentford v Burnley
Zian Flemming CM,9 - 13,Brentford v Burnley
Quilindschy Hartman CM,9 - 13,Brentford v Burnley
Maxime Esteve CM,8 - 12,Brentford v Burnley
Armando Broja CM,5 - 8,Brentford v Burnley
Jacob Bruun Larsen CM,3 - 6,Brentford v Burnley
Lyle Foster CM,9 - 13,Brentford v Burnley
Bernardo Silva CM,10 - 14,Man City v Leeds
Nico Gonzalez CM,9 - 13,Man City v Leeds
Abdukodir Khusanov CM,8 - 12,Man City v Leeds
Ruben Dias CM,7 - 11,Man City v Leeds
Matheus Nunes CM,7 - 10,Man City v Leeds
Savinho CM,7 - 10,Man City v Leeds
Rayan Ait-Nouri CM,7 - 10,Man City v Leeds
Nico O'Reilly CM,5 - 8,Man City v Leeds
Gianluigi Donnarumma CM,7 - 10,Man City v Leeds
Tijjani Reijnders CM,5 - 8,Man City v Leeds
Josko Gvardiol CM,4 - 7,Man City v Leeds
Phil Foden CM,4 - 7,Man City v Leeds
Rayan Cherki CM,3 - 6,Man City v Leeds
Omar Marmoush CM,3 - 6,Man City v Leeds
Oscar Bobb CM,2.5 - 5,Man City v Leeds
Nathan Ake CM,2.5 - 5,Man City v Leeds
John Stones CM,2.5 - 5,Man City v Leeds
Rico Lewis CM,2.5 - 5,Man City v Leeds
Jeremy Doku CM,2.5 - 5,Man City v Leeds
Erling Haaland CM,2.5 - 5,Man City v Leeds
Wilfried Gnonto CM,18 - 22,Man City v Leeds
Jayden Bogle CM,18 - 22,Man City v Leeds
Ethan Ampadu CM,18 - 22,Man City v Leeds
Anton Stach CM,13 - 17,Man City v Leeds
Ao Tanaka CM,10 - 14,Man City v Leeds
Lukas Nmecha CM,10 - 14,Man City v Leeds
Joe Rodon CM,9 - 13,Man City v Leeds
Dominic Calvert-Lewin CM,9 - 13,Man City v Leeds
Noah Okafor CM,9 - 13,Man City v Leeds
Pascal Struijk CM,9 - 13,Man City v Leeds
Sean Longstaff CM,9 - 13,Man City v Leeds
Daniel James CM,8 - 12,Man City v Leeds
Joel Piroe CM,7 - 10,Man City v Leeds
Gabriel Gudmundsson CM,7 - 10,Man City v Leeds
Brenden Aaronson CM,6 - 9,Man City v Leeds
Lucas Perri CM,6 - 9,Man City v Leeds
Granit Xhaka CM,15 - 19,Sunderland v Bournemouth
Reinildo Mandava CM,14 - 18,Sunderland v Bournemouth
