card_names,card_odds,contest
Moises Caicedo CM,13 - 17,Chelsea v Sunderland
Facundo Buonanotte CM,13 - 17,Chelsea v Sunderland
Enzo Fernandez CM,12 - 16,Chelsea v Sunderland
Romeo Lavia CM,9 - 13,Chelsea v Sunderland
Jorrel Hato CM,8 - 12,Chelsea v Sunderland
Tosin Adarabioyo CM,8 - 12,Chelsea v Sunderland
Marc Cucurella CM,8 - 12,Chelsea v Sunderland
Estevao CM,7 - 10,Chelsea v Sunderland
Josh Acheampong CM,7 - 10,Chelsea v Sunderland
Pedro Neto CM,6 - 9,Chelsea v Sunderland
Trevoh Chalobah CM,6 - 9,Chelsea v Sunderland
Reece James CM,6 - 9,Chelsea v Sunderland
Joao Pedro CM,6 - 9,Chelsea v Sunderland
Robert Sanchez CM,8 - 12,Chelsea v Sunderland
Alejandro Garnacho CM,5 - 8,Chelsea v Sunderland
Tyrique George CM,3 - 6,Chelsea v Sunderland
Marc Guiu CM,3 - 6,Chelsea v Sunderland
Jamie Gittens CM,3 - 6,Chelsea v Sunderland
Arthur Masuaku CM,17 - 21,Chelsea v Sunderland
Daniel Ballard CM,16 - 20,Chelsea v Sunderland
Granit Xhaka CM,16 - 20,Chelsea v Sunderland
Nordi Mukiele CM,16 - 20,Chelsea v Sunderland
Noah Sadiki CM,15 - 19,Chelsea v Sunderland
Trai Hume CM,13 - 17,Chelsea v Sunderland
Wilson Isidor CM,13 - 17,Chelsea v Sunderland
Brian Brobbey CM,13 - 17,Chelsea v Sunderland
Bertrand Traore CM,11 - 15,Chelsea v Sunderland
Omar Alderete CM,11 - 15,Chelsea v Sunderland
Dan Neil CM,9 - 13,Chelsea v Sunderland
Enzo Le Fee CM,8 - 12,Chelsea v Sunderland
Chris Rigg CM,7 - 11,Chelsea v Sunderland
Lutsharel Geertruida CM,7 - 11,Chelsea v Sunderland
Chemsdine Talbi CM,6 - 9,Chelsea v Sunderland
Simon Adingra CM,6 - 9,Chelsea v Sunderland
Eliezer Mayenda CM,6 - 9,Chelsea v Sunderland
Robin Roefs CM,5 - 8,Chelsea v Sunderland
Joelinton CM,12 - 16,Newcastle v Fulham
Bruno Guimaraes CM,11 - 15,Newcastle v Fulham
Fabian Schar CM,10 - 14,Newcastle v Fulham
Anthony Gordon CM,9 - 13,Newcastle v Fulham
Dan Burn CM,9 - 13,Newcastle v Fulham
Sandro Tonali CM,7 - 11,Newcastle v Fulham
Jacob Ramsey CM,7 - 10,Newcastle v Fulham
Malick Thiaw CM,6 - 9,Newcastle v Fulham
Nick Woltemade CM,6 - 9,Newcastle v Fulham
Sven Botman CM,5 - 8,Newcastle v Fulham
Kieran Trippier CM,5 - 8,Newcastle v Fulham
Joe Willock CM,4 - 7,Newcastle v Fulham
Lewis Miley CM,4 - 7,Newcastle v Fulham
Nick Pope CM,6 - 9,Newcastle v Fulham
Jacob Murphy CM,3 - 6,Newcastle v Fulham
William Osula CM,3 - 6,Newcastle v Fulham
Anthony Elanga CM,2.5 - 5,Newcastle v Fulham
Harvey Barnes CM,2.5 - 5,Newcastle v Fulham
Sasa Lukic CM,26 - 30,Newcastle v Fulham
Joachim Andersen CM,19 - 23,Newcastle v Fulham
Sander Berge CM,15 - 19,Newcastle v Fulham
Calvin Bassey CM,13 - 17,Newcastle v Fulham
Jorge Cuenca CM,13 - 17,Newcastle v Fulham
Harrison Reed CM,13 - 17,Newcastle v Fulham
Issa Diop CM,13 - 17,Newcastle v Fulham
Harry Wilson CM,11 - 15,Newcastle v Fulham
Kevin CM,10 - 14,Newcastle v Fulham
Kenny Tete CM,10 - 14,Newcastle v Fulham
Timothy Castagne CM,10 - 14,Newcastle v Fulham
Tom Cairney CM,9 - 13,Newcastle v Fulham
Raul Jimenez CM,9 - 13,Newcastle v Fulham
Joshua King CM,9 - 13,Newcastle v Fulham
Ryan Sessegnon CM,8 - 12,Newcastle v Fulham
Adama Traore CM,7 - 11,Newcastle v Fulham
Bernd Leno CM,9 - 13,Newcastle v Fulham
Samuel Chukwueze CM,6 - 9,Newcastle v Fulham
Emile Smith Rowe CM,6 - 9,Newcastle v Fulham
Jonah Kusi Asare CM,6 - 9,Newcastle v Fulham
Alex Iwobi CM,5 - 8,Newcastle v Fulham
Casemiro CM,16 - 20,Man Utd v Brighton
Manuel Ugarte CM,13 - 17,Man Utd v Brighton
Bruno Fernandes CM,11 - 15,Man Utd v Brighton
Harry Maguire CM,10 - 14,Man Utd v Brighton
Amad Diallo CM,10 - 14,Man Utd v Brighton
Luke Shaw CM,9 - 13,Man Utd v Brighton
Patrick Dorgu CM,9 - 13,Man Utd v Brighton
Leny Yoro CM,9 - 13,Man Utd v Brighton
Matheus Cunha CM,7 - 11,Man Utd v Brighton
Matthijs de Ligt CM,7 - 11,Man Utd v Brighton
Mason Mount CM,7 - 10,Man Utd v Brighton
Kobbie Mainoo CM,7 - 10,Man Utd v Brighton
Diogo Dalot CM,7 - 10,Man Utd v Brighton
Noussair Mazraoui CM,7 - 10,Man Utd v Brighton
Bryan Mbeumo CM,3 - 6,Man Utd v Brighton
Benjamin Sesko CM,3 - 6,Man Utd v Brighton
Altay Bayindir CM,3 - 6,Man Utd v Brighton
Senne Lammens CM,3 - 6,Man Utd v Brighton
Carlos Baleba CM,19 - 23,Man Utd v Brighton
Mats Wieffer CM,16 - 20,Man Utd v Brighton
Stefanos Tzimas CM,15 - 19,Man Utd v Brighton
Jan Paul van Hecke CM,15 - 19,Man Utd v Brighton
James Milner CM,13 - 17,Man Utd v Brighton
Maxime De Cuyper CM,12 - 16,Man Utd v Brighton
Lewis Dunk CM,12 - 16,Man Utd v Brighton
Ferdi Kadioglu CM,10 - 14,Man Utd v Brighton
Diego Gomez CM,9 - 13,Man Utd v Brighton
Yasin Ayari CM,9 - 13,Man Utd v Brighton
Danny Welbeck CM,8 - 12,Man Utd v Brighton
Yankuba Minteh CM,9 - 13,Man Utd v Brighton
Georginio Rutter CM,7 - 11,Man Utd v Brighton
Kaoru Mitoma CM,6 - 9,Man Utd v Brighton
Bart Verbruggen CM,7 - 11,Man Utd v Brighton
Jason Steele CM,2.5 - 5,Man Utd v Brighton
Aaron Hickey CM,16 - 20,Brentford v Liverpool
Frank Onyeka CM,15 - 19,Brentford v Liverpool
Yehor Yarmolyuk CM,12 - 16,Brentford v Liverpool
Jordan Henderson CM,12 - 16,Brentford v Liverpool
Kristoffer Ajer CM,12 - 16,Brentford v Liverpool
Nathan Collins CM,11 - 15,Brentford v Liverpool
Vitaly Janelt CM,11 - 15,Brentford v Liverpool
Igor Thiago CM,11 - 15,Brentford v Liverpool
Fabio Carvalho CM,11 - 15,Brentford v Liverpool
Keane Lewis-Potter CM,11 - 15,Brentford v Liverpool
Mathias Jensen CM,9 - 13,Brentford v Liverpool
Michael Kayode CM,9 - 13,Brentford v Liverpool
Sepp van den Berg CM,8 - 12,Brentford v Liverpool
Mikkel Damsgaard CM,7 - 10,Brentford v Liverpool
Rico Henry CM,7 - 10,Brentford v Liverpool
Dango Ouattara CM,7 - 10,Brentford v Liverpool
Kevin Schade CM,7 - 10,Brentford v Liverpool
Ethan Pinnock CM,5 - 8,Brentford v Liverpool
Reiss Nelson CM,3 - 6,Brentford v Liverpool
Caoimhin Kelleher CM,5 - 8,Brentford v Liverpool
Conor Bradley CM,16 - 20,Brentford v Liverpool
Ryan Gravenberch CM,16 - 20,Brentford v Liverpool
Alexis MacAllister CM,15 - 19,Brentford v Liverpool
Ibrahima Konate CM,13 - 17,Brentford v Liverpool
Milos Kerkez CM,12 - 16,Brentford v Liverpool
Florian Wirtz CM,11 - 15,Brentford v Liverpool
Joe Gomez CM,11 - 15,Brentford v Liverpool
Virgil van Dijk CM,11 - 15,Brentford v Liverpool
Dominik Szoboszlai CM,10 - 14,Brentford v Liverpool
Jeremie Frimpong CM,Suspended,Brentford v Liverpool
Andrew Robertson CM,8 - 12,Brentford v Liverpool
Cody Gakpo CM,7 - 11,Brentford v Liverpool
Rio Ngumoha CM,7 - 11,Brentford v Liverpool
Curtis Jones CM,7 - 11,Brentford v Liverpool
Mohamed Salah CM,6 - 9,Brentford v Liverpool
Hugo Ekitike CM,6 - 9,Brentford v Liverpool
Alexander Isak CM,5 - 8,Brentford v Liverpool
Federico Chiesa CM,3 - 6,Brentford v Liverpool
Giorgi Mamardashvili CM,6 - 9,Brentford v Liverpool
Christian Norgaard CM,14 - 18,Arsenal v Crystal Palace
Myles Lewis-Skelly CM,12 - 16,Arsenal v Crystal Palace
Riccardo Calafiori CM,11 - 15,Arsenal v Crystal Palace
Martin Zubimendi CM,10 - 14,Arsenal v Crystal Palace
Declan Rice CM,10 - 14,Arsenal v Crystal Palace
Jurrien Timber CM,9 - 13,Arsenal v Crystal Palace
Mikel Merino CM,9 - 13,Arsenal v Crystal Palace
Gabriel Magalhaes CM,8 - 12,Arsenal v Crystal Palace
William Saliba CM,7 - 11,Arsenal v Crystal Palace
Bukayo Saka CM,7 - 10,Arsenal v Crystal Palace
Cristhian Mosquera CM,7 - 10,Arsenal v Crystal Palace
Viktor Gyokeres CM,6 - 9,Arsenal v Crystal Palace
Leandro Trossard CM,6 - 9,Arsenal v Crystal Palace
Eberechi Eze CM,5 - 8,Arsenal v Crystal Palace
Gabriel Martinelli CM,4 - 7,Arsenal v Crystal Palace
Ethan Nwaneri CM,3 - 6,Arsenal v Crystal Palace
David Raya CM,5 - 8,Arsenal v Crystal Palace
Will Hughes CM,21 - 25,Arsenal v Crystal Palace
Daniel Munoz CM,20 - 24,Arsenal v Crystal Palace
Yeremy Pino CM,19 - 23,Arsenal v Crystal Palace
Jefferson Lerma CM,17 - 21,Arsenal v Crystal Palace
Christantus Uche CM,16 - 20,Arsenal v Crystal Palace
Chris Richards CM,13 - 17,Arsenal v Crystal Palace
Daichi Kamada CM,12 - 16,Arsenal v Crystal Palace
Maxence Lacroix CM,12 - 16,Arsenal v Crystal Palace
Marc Guehi CM,12 - 16,Arsenal v Crystal Palace
Eddie Nketiah CM,11 - 15,Arsenal v Crystal Palace
Borna Sosa CM,11 - 15,Arsenal v Crystal Palace
Adam Wharton CM,10 - 14,Arsenal v Crystal Palace
Jaydee Canvot CM,9 - 13,Arsenal v Crystal Palace
Nathaniel Clyne CM,9 - 13,Arsenal v Crystal Palace
Justin Devenny CM,8 - 12,Arsenal v Crystal Palace
Tyrick Mitchell CM,7 - 11,Arsenal v Crystal Palace
Jean-Philippe Mateta CM,7 - 11,Arsenal v Crystal Palace
Romaine Esse CM,7 - 10,Arsenal v Crystal Palace
Ismaila Sarr CM,7 - 10,Arsenal v Crystal Palace
Dean Henderson CM,7 - 10,Arsenal v Crystal Palace
Morgan Rogers CM,12 - 16,Aston Villa v Man City
Amadou Onana CM,11 - 15,Aston Villa v Man City
John McGinn CM,11 - 15,Aston Villa v Man City
