card_names,card_odds,contest
Jacob Bruun Larsen CM,19 - 23,Burnley v Chelsea
Lesley Ugochukwu CM,19 - 23,Burnley v Chelsea
Hannibal Mejbri CM,17 - 21,Burnley v Chelsea
Josh Cullen CM,17 - 21,Burnley v Chelsea
Josh Laurent CM,15 - 19,Burnley v Chelsea
Florentino Luis CM,15 - 19,Burnley v Chelsea
Axel Tuanzebe CM,13 - 17,Burnley v Chelsea
Lucas Pires CM,12 - 16,Burnley v Chelsea
Jaidon Anthony CM,10 - 14,Burnley v Chelsea
Hjalmar Ekdal CM,10 - 14,Burnley v Chelsea
Quilindschy Hartman CM,9 - 13,Burnley v Chelsea
Zian Flemming CM,9 - 13,Burnley v Chelsea
Lyle Foster CM,9 - 13,Burnley v Chelsea
Kyle Walker CM,9 - 13,Burnley v Chelsea
Loum Tchaouna CM,8 - 12,Burnley v Chelsea
Maxime Esteve CM,8 - 12,Burnley v Chelsea
Marcus Edwards CM,7 - 10,Burnley v Chelsea
Armando Broja CM,4 - 7,Burnley v Chelsea
Martin Dubravka CM,6 - 9,Burnley v Chelsea
Liam Delap CM,17 - 21,Burnley v Chelsea
Moises Caicedo CM,17 - 21,Burnley v Chelsea
Enzo Fernandez CM,15 - 19,Burnley v Chelsea
Wesley Fofana CM,14 - 18,Burnley v Chelsea
Facundo Buonanotte CM,12 - 16,Burnley v Chelsea
Jorrel Hato CM,11 - 15,Burnley v Chelsea
Marc Cucurella CM,11 - 15,Burnley v Chelsea
Andrey Santos CM,11 - 15,Burnley v Chelsea
Pedro Neto CM,10 - 14,Burnley v Chelsea
Estevao CM,10 - 14,Burnley v Chelsea
Trevoh Chalobah CM,10 - 14,Burnley v Chelsea
Tosin Adarabioyo CM,10 - 14,Burnley v Chelsea
Malo Gusto CM,10 - 14,Burnley v Chelsea
Reece James CM,9 - 13,Burnley v Chelsea
Joao Pedro CM,9 - 13,Burnley v Chelsea
Josh Acheampong CM,9 - 13,Burnley v Chelsea
Alejandro Garnacho CM,7 - 11,Burnley v Chelsea
Marc Guiu CM,7 - 10,Burnley v Chelsea
Jamie Gittens CM,5 - 8,Burnley v Chelsea
Tyrique George CM,5 - 8,Burnley v Chelsea
Robert Sanchez CM,7 - 10,Burnley v Chelsea
Marcos Senesi CM,15 - 19,Bournemouth v West Ham
Ryan Christie CM,13 - 17,Bournemouth v West Ham
Lewis Cook CM,12 - 16,Bournemouth v West Ham
