card_names,card_odds,contest
Rodrigo Bentancur CM,19 - 23,Tottenham v Man Utd
Cristian Romero CM,18 - 22,Tottenham v Man Utd
Joao Palhinha CM,17 - 21,Tottenham v Man Utd
Xavi Simons CM,12 - 16,Tottenham v Man Utd
Lucas Bergvall CM,12 - 16,Tottenham v Man Utd
Richarlison CM,12 - 16,Tottenham v Man Utd
Pape Sarr CM,12 - 16,Tottenham v Man Utd
Micky van de Ven CM,11 - 15,Tottenham v Man Utd
Mohammed Kudus CM,10 - 14,Tottenham v Man Utd
Kevin Danso CM,10 - 14,Tottenham v Man Utd
Pedro Porro CM,10 - 14,Tottenham v Man Utd
Destiny Udogie CM,9 - 13,Tottenham v Man Utd
Djed Spence CM,8 - 12,Tottenham v Man Utd
Brennan Johnson CM,8 - 12,Tottenham v Man Utd
Randal Kolo Muani CM,7 - 11,Tottenham v Man Utd
Mathys Tel CM,7 - 11,Tottenham v Man Utd
Wilson Odobert CM,4 - 7,Tottenham v Man Utd
Guglielmo Vicario CM,4 - 7,Tottenham v Man Utd
Benjamin Sesko CM,70 - 74,Tottenham v Man Utd
Manuel Ugarte CM,21 - 25,Tottenham v Man Utd
Casemiro CM,21 - 25,Tottenham v Man Utd
Bruno Fernandes CM,15 - 19,Tottenham v Man Utd
Harry Maguire CM,15 - 19,Tottenham v Man Utd
Patrick Dorgu CM,15 - 19,Tottenham v Man Utd
Luke Shaw CM,15 - 19,Tottenham v Man Utd
Leny Yoro CM,14 - 18,Tottenham v Man Utd
Amad Diallo CM,13 - 17,Tottenham v Man Utd
Mason Mount CM,12 - 16,Tottenham v Man Utd
Diogo Dalot CM,11 - 15,Tottenham v Man Utd
Kobbie Mainoo CM,11 - 15,Tottenham v Man Utd
Matthijs De Ligt CM,10 - 14,Tottenham v Man Utd
Matheus Cunha CM,9 - 13,Tottenham v Man Utd
Noussair Mazraoui CM,9 - 13,Tottenham v Man Utd
Bryan Mbeumo CM,5 - 8,Tottenham v Man Utd
Senne Lammens CM,5 - 8,Tottenham v Man Utd
Jack Grealish CM,11 - 15,Everton v Fulham
Tim Iroegbunam CM,11 - 15,Everton v Fulham
James Garner CM,11 - 15,Everton v Fulham
Idrissa Gueye CM,9 - 13,Everton v Fulham
James Tarkowski CM,9 - 13,Everton v Fulham
Jake O'Brien CM,9 - 13,Everton v Fulham
Kiernan Dewsbury-Hall CM,9 - 13,Everton v Fulham
Thierno Barry CM,7 - 11,Everton v Fulham
Vitaliy Mykolenko CM,7 - 11,Everton v Fulham
Michael Keane CM,7 - 11,Everton v Fulham
Tyler Dibling CM,7 - 11,Everton v Fulham
Carlos Alcaraz CM,7 - 11,Everton v Fulham
Adam Aznou CM,5 - 8,Everton v Fulham
Iliman Ndiaye CM,5 - 8,Everton v Fulham
