card_names,card_odds,contest
Nicolas Dominguez CM,Suspended,Nottingham Forest v Chelsea
Neco Williams CM,Suspended,Nottingham Forest v Chelsea
Morgan Gibbs-White CM,Suspended,Nottingham Forest v Chelsea
Morato CM,Suspended,Nottingham Forest v Chelsea
Ryan Yates CM,Suspended,Nottingham Forest v Chelsea
Ibrahim Sangare CM,Suspended,Nottingham Forest v Chelsea
Elliot Anderson CM,Suspended,Nottingham Forest v Chelsea
Douglas Luiz CM,Suspended,Nottingham Forest v Chelsea
Nicolo Savona CM,Suspended,Nottingham Forest v Chelsea
Nikola Milenkovic CM,Suspended,Nottingham Forest v Chelsea
Murillo CM,Suspended,Nottingham Forest v Chelsea
Jair Cunha CM,Suspended,Nottingham Forest v Chelsea
Igor Jesus CM,Suspended,Nottingham Forest v Chelsea
James McAtee CM,Suspended,Nottingham Forest v Chelsea
Dan Ndoye CM,Suspended,Nottingham Forest v Chelsea
Dilane Bakwa CM,Suspended,Nottingham Forest v Chelsea
Oleksandr Zinchenko CM,Suspended,Nottingham Forest v Chelsea
Matz Sels CM,Suspended,Nottingham Forest v Chelsea
Callum Hudson-Odoi CM,Suspended,Nottingham Forest v Chelsea
Chris Wood CM,Suspended,Nottingham Forest v Chelsea
Moises Caicedo CM,Suspended,Nottingham Forest v Chelsea
Enzo Fernandez CM,Suspended,Nottingham Forest v Chelsea
Romeo Lavia CM,Suspended,Nottingham Forest v Chelsea
Facundo Buonanotte CM,Suspended,Nottingham Forest v Chelsea
Marc Cucurella CM,Suspended,Nottingham Forest v Chelsea
Wesley Fofana CM,Suspended,Nottingham Forest v Chelsea
Pedro Neto CM,Suspended,Nottingham Forest v Chelsea
Andrey Santos CM,Suspended,Nottingham Forest v Chelsea
Jorrel Hato CM,Suspended,Nottingham Forest v Chelsea
Benoit Badiashile CM,Suspended,Nottingham Forest v Chelsea
Tosin Adarabioyo CM,Suspended,Nottingham Forest v Chelsea
Joao Pedro CM,Suspended,Nottingham Forest v Chelsea
Estevao CM,Suspended,Nottingham Forest v Chelsea
Axel Disasi CM,Suspended,Nottingham Forest v Chelsea
Trevoh Chalobah CM,Suspended,Nottingham Forest v Chelsea
Reece James CM,Suspended,Nottingham Forest v Chelsea
Cole Palmer CM,Suspended,Nottingham Forest v Chelsea
