card_names,card_odds,contest
Jayden Bogle CM,18 - 22,Leeds v Tottenham
Anton Stach CM,14 - 18,Leeds v Tottenham
Ethan Ampadu CM,14 - 18,Leeds v Tottenham
Ilia Gruev CM,12 - 16,Leeds v Tottenham
Jaka Bijol CM,12 - 16,Leeds v Tottenham
James Justin CM,10 - 14,Leeds v Tottenham
Ao Tanaka CM,9 - 13,Leeds v Tottenham
Sebastiaan Bornauw CM,9 - 13,Leeds v Tottenham
Pascal Struijk CM,8 - 12,Leeds v Tottenham
Joe Rodon CM,8 - 12,Leeds v Tottenham
Dominic Calvert-Lewin CM,8 - 12,Leeds v Tottenham
Lukas Nmecha CM,8 - 12,Leeds v Tottenham
Sean Longstaff CM,7 - 11,Leeds v Tottenham
Gabriel Gudmundsson CM,7 - 11,Leeds v Tottenham
Joel Piroe CM,5 - 8,Leeds v Tottenham
Brenden Aaronson CM,3 - 6,Leeds v Tottenham
Noah Okafor CM,3 - 6,Leeds v Tottenham
Karl Darlow CM,4 - 7,Leeds v Tottenham
Jack Harrison CM,2.5 - 5,Leeds v Tottenham
Rodrigo Bentancur CM,21 - 25,Leeds v Tottenham
Cristian Romero CM,16 - 20,Leeds v Tottenham
Joao Palhinha CM,15 - 19,Leeds v Tottenham
Xavi Simons CM,12 - 16,Leeds v Tottenham
Richarlison CM,10 - 14,Leeds v Tottenham
Kevin Danso CM,10 - 14,Leeds v Tottenham
Pape Matar Sarr CM,10 - 14,Leeds v Tottenham
Micky van de Ven CM,9 - 13,Leeds v Tottenham
Lucas Bergvall CM,7 - 11,Leeds v Tottenham
Mohammed Kudus CM,7 - 11,Leeds v Tottenham
Brennan Johnson CM,7 - 10,Leeds v Tottenham
Pedro Porro CM,7 - 10,Leeds v Tottenham
Mathys Tel CM,7 - 10,Leeds v Tottenham
Djed Spence CM,6 - 9,Leeds v Tottenham
Destiny Udogie CM,6 - 9,Leeds v Tottenham
Wilson Odobert CM,5 - 8,Leeds v Tottenham
Archie Gray CM,3 - 6,Leeds v Tottenham
Guglielmo Vicario CM,3 - 6,Leeds v Tottenham
Christian Norgaard CM,12 - 16,Arsenal v West Ham
Myles Lewis-Skelly CM,10 - 14,Arsenal v West Ham
Mikel Merino CM,9 - 13,Arsenal v West Ham
Riccardo Calafiori CM,9 - 13,Arsenal v West Ham
Martin Zubimendi CM,9 - 13,Arsenal v West Ham
Ben White CM,8 - 12,Arsenal v West Ham
Jurrien Timber CM,8 - 12,Arsenal v West Ham
Declan Rice CM,8 - 12,Arsenal v West Ham
Gabriel Magalhaes0 CM,7 - 10,Arsenal v West Ham
William Saliba CM,6 - 9,Arsenal v West Ham
Cristhian Mosquera CM,6 - 9,Arsenal v West Ham
Bukayo Saka CM,6 - 9,Arsenal v West Ham
Viktor Gyokeres CM,5 - 8,Arsenal v West Ham
Gabriel Martinelli CM,5 - 8,Arsenal v West Ham
Leandro Trossard CM,5 - 8,Arsenal v West Ham
Martin Odegaard CM,3 - 6,Arsenal v West Ham
Eberechi Eze CM,3 - 6,Arsenal v West Ham
David Raya CM,5 - 8,Arsenal v West Ham
Lucas Paqueta CM,24 - 28,Arsenal v West Ham
Oliver Scarles CM,17 - 21,Arsenal v West Ham
Guido Rodriguez CM,19 - 23,Arsenal v West Ham
Soungoutou Magassa CM,17 - 21,Arsenal v West Ham
El Hadji Malick Diouf CM,13 - 17,Arsenal v West Ham
Konstantinos Mavropanos CM,17 - 21,Arsenal v West Ham
Mateus Fernandes CM,15 - 19,Arsenal v West Ham
Crysencio Summerville CM,10 - 14,Arsenal v West Ham
Kyle Walker-Peters CM,10 - 14,Arsenal v West Ham
Callum Wilson CM,9 - 13,Arsenal v West Ham
Max Kilman CM,9 - 13,Arsenal v West Ham
Jarrod Bowen CM,6 - 9,Arsenal v West Ham
Niclas Fullkrug CM,6 - 9,Arsenal v West Ham
Alphonse Areola CM,8 - 12,Arsenal v West Ham
Manuel Ugarte CM,19 - 23,Man Utd v Sunderland
Casemiro CM,15 - 19,Man Utd v Sunderland
Patrick Dorgu CM,12 - 16,Man Utd v Sunderland
Harry Maguire CM,10 - 14,Man Utd v Sunderland
Leny Yoro CM,10 - 14,Man Utd v Sunderland
Bruno Fernandes CM,8 - 12,Man Utd v Sunderland
Matheus Cunha CM,8 - 12,Man Utd v Sunderland
Mason Mount CM,8 - 12,Man Utd v Sunderland
Kobbie Mainoo CM,8 - 12,Man Utd v Sunderland
Luke Shaw CM,10 - 14,Man Utd v Sunderland
Amad Diallo CM,7 - 10,Man Utd v Sunderland
Matthijs de Ligt CM,7 - 10,Man Utd v Sunderland
Diogo Dalot CM,7 - 10,Man Utd v Sunderland
Benjamin Sesko CM,2.5 - 5,Man Utd v Sunderland
