card_names,card_odds,contest
Joao Gomes CM,22 - 26,Wolves v Newcastle
Andre CM,19 - 23,Wolves v Newcastle
Yerson Mosquera CM,19 - 23,Wolves v Newcastle
Ladislav Krejci CM,16 - 20,Wolves v Newcastle
Matt Doherty CM,14 - 18,Wolves v Newcastle
Mateus Mane CM,11 - 15,Wolves v Newcastle
Pedro Lima CM,11 - 15,Wolves v Newcastle
Jackson Tchatchoua CM,10 - 14,Wolves v Newcastle
David Moller Wolfe CM,10 - 14,Wolves v Newcastle
Santiago Bueno CM,10 - 14,Wolves v Newcastle
Jorgen Strand Larsen CM,9 - 13,Wolves v Newcastle
Jhon Arias CM,9 - 13,Wolves v Newcastle
Hwang Hee-chan CM,8 - 12,Wolves v Newcastle
Jean-Ricner Bellegarde CM,7 - 10,Wolves v Newcastle
Fer Lopez CM,7 - 10,Wolves v Newcastle
Tawanda Chirewa CM,6 - 9,Wolves v Newcastle
Rodrigo Gomes CM,6 - 9,Wolves v Newcastle
Tolu Arokodare CM,6 - 9,Wolves v Newcastle
Hugo Bueno CM,6 - 9,Wolves v Newcastle
Jose Sa CM,4 - 7,Wolves v Newcastle
Joelinton CM,15 - 19,Wolves v Newcastle
Anthony Gordon CM,12 - 16,Wolves v Newcastle
Bruno Guimaraes CM,12 - 16,Wolves v Newcastle
Yoane Wissa CM,9 - 13,Wolves v Newcastle
Malick Thiaw CM,9 - 13,Wolves v Newcastle
Jacob Ramsey CM,8 - 12,Wolves v Newcastle
Lewis Hall CM,7 - 11,Wolves v Newcastle
Sandro Tonali CM,7 - 11,Wolves v Newcastle
Joe Willock CM,7 - 11,Wolves v Newcastle
Sven Botman CM,7 - 10,Wolves v Newcastle
Nick Woltemade CM,7 - 10,Wolves v Newcastle
Kieran Trippier CM,5 - 8,Wolves v Newcastle
Lewis Miley CM,5 - 8,Wolves v Newcastle
Tino Livramento CM,5 - 8,Wolves v Newcastle
Anthony Elanga CM,4 - 7,Wolves v Newcastle
Jacob Murphy CM,4 - 7,Wolves v Newcastle
Harvey Barnes CM,4 - 7,Wolves v Newcastle
Nick Pope CM,6 - 9,Wolves v Newcastle
Morgan Rogers CM,11 - 15,Aston Villa v Everton
Boubacar Kamara CM,11 - 15,Aston Villa v Everton
Ian Maatsen CM,9 - 13,Aston Villa v Everton
John McGinn CM,8 - 12,Aston Villa v Everton
Matty Cash CM,8 - 12,Aston Villa v Everton
Tyrone Mings CM,8 - 12,Aston Villa v Everton
Lamare Bogarde CM,7 - 11,Aston Villa v Everton
Ezri Konsa CM,7 - 11,Aston Villa v Everton
Pau Torres CM,7 - 10,Aston Villa v Everton
Lucas Digne CM,7 - 10,Aston Villa v Everton
Victor Lindelof CM,6 - 9,Aston Villa v Everton
Youri Tielemans CM,6 - 9,Aston Villa v Everton
Andres Garcia CM,6 - 9,Aston Villa v Everton
Emiliano Buendia CM,5 - 8,Aston Villa v Everton
Emiliano Martinez CM,6 - 9,Aston Villa v Everton
Jadon Sancho CM,3 - 6,Aston Villa v Everton
Ollie Watkins CM,3 - 6,Aston Villa v Everton
Tim Iroegbunam CM,23 - 27,Aston Villa v Everton
Merlin Rohl CM,16 - 20,Aston Villa v Everton
James Tarkowski CM,16 - 20,Aston Villa v Everton
James Garner CM,16 - 20,Aston Villa v Everton
Elijah Campbell CM,15 - 19,Aston Villa v Everton
Jack Grealish CM,15 - 19,Aston Villa v Everton
Thierno Barry CM,13 - 17,Aston Villa v Everton
Nathan Patterson CM,13 - 17,Aston Villa v Everton
Adam Aznou CM,13 - 17,Aston Villa v Everton
Vitaliy Mykolenko CM,11 - 15,Aston Villa v Everton
Reece Welch CM,10 - 14,Aston Villa v Everton
Harrison Armstrong CM,10 - 14,Aston Villa v Everton
Jake O'Brien CM,8 - 12,Aston Villa v Everton
Tyler Dibling CM,7 - 11,Aston Villa v Everton
Beto CM,6 - 9,Aston Villa v Everton
Dwight McNeil CM,6 - 9,Aston Villa v Everton
Jordan Pickford CM,7 - 10,Aston Villa v Everton
James Milner CM,12 - 16,Brighton v Bournemouth
Lewis Dunk CM,12 - 16,Brighton v Bournemouth
Jan Paul van Hecke CM,12 - 16,Brighton v Bournemouth
Joel Veltman CM,12 - 16,Brighton v Bournemouth
Diego Coppola CM,11 - 15,Brighton v Bournemouth
Yankuba Minteh CM,10 - 14,Brighton v Bournemouth
Diego Gomez CM,10 - 14,Brighton v Bournemouth
Pascal Gross CM,10 - 14,Brighton v Bournemouth
Georginio Rutter CM,8 - 12,Brighton v Bournemouth
Olivier Boscagli CM,8 - 12,Brighton v Bournemouth
Maxime De Cuyper CM,8 - 12,Brighton v Bournemouth
Jack Hinshelwood CM,8 - 12,Brighton v Bournemouth
Yasin Ayari CM,8 - 12,Brighton v Bournemouth
Danny Welbeck CM,7 - 10,Brighton v Bournemouth
Brajan Gruda CM,7 - 10,Brighton v Bournemouth
Ferdi Kadioglu CM,7 - 10,Brighton v Bournemouth
Bart Verbruggen CM,9 - 13,Brighton v Bournemouth
Kaoru Mitoma CM,6 - 9,Brighton v Bournemouth
Tom Watson CM,5 - 8,Brighton v Bournemouth
Charalampos Kostoulas CM,5 - 8,Brighton v Bournemouth
Marcos Senesi CM,23 - 27,Brighton v Bournemouth
Lewis Cook CM,20 - 24,Brighton v Bournemouth
David Brooks CM,15 - 19,Brighton v Bournemouth
Alex Scott CM,15 - 19,Brighton v Bournemouth
Adam Smith CM,15 - 19,Brighton v Bournemouth
Alejandro Jimenez CM,13 - 17,Brighton v Bournemouth
Veljko Milosavljevic CM,13 - 17,Brighton v Bournemouth
Amine Adli CM,12 - 16,Brighton v Bournemouth
Bafode Diakite CM,12 - 16,Brighton v Bournemouth
Adrien Truffert CM,10 - 14,Brighton v Bournemouth
James Hill CM,10 - 14,Brighton v Bournemouth
Enes Unal CM,9 - 13,Brighton v Bournemouth
Evanilson CM,9 - 13,Brighton v Bournemouth
Marcus Tavernier CM,9 - 13,Brighton v Bournemouth
Julio Soler CM,9 - 13,Brighton v Bournemouth
Eli Junior Kroupi CM,6 - 9,Brighton v Bournemouth
Djordje Petrovic CM,7 - 10,Brighton v Bournemouth
