card_names,card_odds,contest
John McGinn CM,12 - 16,Aston Villa v Nottingham Forest
Boubacar Kamara CM,12 - 16,Aston Villa v Nottingham Forest
Morgan Rogers CM,11 - 15,Aston Villa v Nottingham Forest
Matty Cash CM,11 - 15,Aston Villa v Nottingham Forest
Ian Maatsen CM,9 - 13,Aston Villa v Nottingham Forest
Ezri Konsa CM,7 - 10,Aston Villa v Nottingham Forest
Youri Tielemans CM,7 - 10,Aston Villa v Nottingham Forest
Victor Lindelof CM,6 - 9,Aston Villa v Nottingham Forest
Emiliano Martinez CM,8 - 12,Aston Villa v Nottingham Forest
Emiliano Buendia CM,5 - 8,Aston Villa v Nottingham Forest
Ollie Watkins CM,5 - 8,Aston Villa v Nottingham Forest
Card Hotshots,24 - 28,Aston Villa v Nottingham Forest
Card Hotshots (A.V),19 - 23,Aston Villa v Nottingham Forest
Morgan Gibbs-White CM,18 - 22,Aston Villa v Nottingham Forest
Elliot Anderson CM,18 - 22,Aston Villa v Nottingham Forest
Nicolas Dominguez CM,17 - 21,Aston Villa v Nottingham Forest
Neco Williams CM,17 - 21,Aston Villa v Nottingham Forest
Murillo CM,13 - 17,Aston Villa v Nottingham Forest
Nikola Milenkovic CM,12 - 16,Aston Villa v Nottingham Forest
Igor Jesus CM,8 - 12,Aston Villa v Nottingham Forest
Omari Hutchinson CM,7 - 11,Aston Villa v Nottingham Forest
John Victor CM,7 - 11,Aston Villa v Nottingham Forest
Ola Aina CM,11 - 15,Aston Villa v Nottingham Forest
Dilane Bakwa CM,9 - 13,Aston Villa v Nottingham Forest
Card Hotshots,24 - 28,Aston Villa v Nottingham Forest
Card Hotshots (NFo),28 - 32,Aston Villa v Nottingham Forest
Lewis Dunk CM,12 - 16,Brighton v Burnley
Joel Veltman CM,11 - 15,Brighton v Burnley
Jan Paul van Hecke CM,10 - 14,Brighton v Burnley
James Milner CM,9 - 13,Brighton v Burnley
Yankuba Minteh CM,8 - 12,Brighton v Burnley
Diego Gomez CM,8 - 12,Brighton v Burnley
Diego Coppola CM,7 - 10,Brighton v Burnley
Danny Welbeck CM,7 - 10,Brighton v Burnley
Maxime De Cuyper CM,7 - 10,Brighton v Burnley
Olivier Boscagli CM,6 - 9,Brighton v Burnley
Ferdi Kadioglu CM,6 - 9,Brighton v Burnley
Bart Verbruggen CM,7 - 11,Brighton v Burnley
Georginio Rutter CM,5 - 8,Brighton v Burnley
Jack Hinshelwood CM,5 - 8,Brighton v Burnley
Yasin Ayari CM,5 - 8,Brighton v Burnley
Brajan Gruda CM,4 - 7,Brighton v Burnley
Kaoru Mitoma CM,2.5 - 5,Brighton v Burnley
Florentino Luis CM,17 - 21,Brighton v Burnley
Lesley Ugochukwu CM,16 - 20,Brighton v Burnley
Lucas Pires CM,15 - 19,Brighton v Burnley
Kyle Walker CM,15 - 19,Brighton v Burnley
Josh Laurent CM,13 - 17,Brighton v Burnley
Hjalmar Ekdal CM,11 - 15,Brighton v Burnley
Jaidon Anthony CM,10 - 14,Brighton v Burnley
Zian Flemming CM,9 - 13,Brighton v Burnley
Marcus Edwards CM,9 - 13,Brighton v Burnley
Loum Tchaouna CM,9 - 13,Brighton v Burnley
Bashir Humphreys CM,8 - 12,Brighton v Burnley
Armando Broja CM,5 - 8,Brighton v Burnley
Martin Dubravka CM,6 - 9,Brighton v Burnley
Jacob Bruun Larsen CM,3 - 6,Brighton v Burnley
