card_names,card_odds,contest
Aaron Hickey CM,16 - 20,Brentford v Man Utd
Frank Onyeka CM,13 - 17,Brentford v Man Utd
Jordan Henderson CM,12 - 16,Brentford v Man Utd
Yehor Yarmolyuk CM,11 - 15,Brentford v Man Utd
Igor Thiago CM,9 - 13,Brentford v Man Utd
Michael Kayode CM,10 - 14,Brentford v Man Utd
Kristoffer Ajer CM,10 - 14,Brentford v Man Utd
Nathan Collins CM,10 - 14,Brentford v Man Utd
Vitaly Janelt CM,7 - 11,Brentford v Man Utd
Rico Henry CM,7 - 11,Brentford v Man Utd
Mathias Jensen CM,7 - 11,Brentford v Man Utd
Keane Lewis-Potter CM,7 - 11,Brentford v Man Utd
Sepp van den Berg CM,7 - 10,Brentford v Man Utd
Antoni Milambo CM,6 - 9,Brentford v Man Utd
Fabio Carvalho CM,6 - 9,Brentford v Man Utd
Mikkel Damsgaard CM,6 - 9,Brentford v Man Utd
Ethan Pinnock CM,6 - 9,Brentford v Man Utd
Reiss Nelson CM,5 - 8,Brentford v Man Utd
Dango Ouattara CM,5 - 8,Brentford v Man Utd
Kevin Schade CM,3 - 6,Brentford v Man Utd
Caoimhin Kelleher CM,7 - 10,Brentford v Man Utd
Manuel Ugarte CM,18 - 22,Brentford v Man Utd
Harry Maguire CM,17 - 21,Brentford v Man Utd
Patrick Dorgu CM,14 - 18,Brentford v Man Utd
Luke Shaw CM,14 - 18,Brentford v Man Utd
Ayden Heaven CM,11 - 15,Brentford v Man Utd
Leny Yoro CM,11 - 15,Brentford v Man Utd
Bruno Fernandes CM,12 - 16,Brentford v Man Utd
Amad Diallo CM,10 - 14,Brentford v Man Utd
Kobbie Mainoo CM,9 - 13,Brentford v Man Utd
Diogo Dalot CM,10 - 14,Brentford v Man Utd
Matheus Cunha CM,8 - 12,Brentford v Man Utd
Mason Mount CM,8 - 12,Brentford v Man Utd
Matthijs de Ligt CM,8 - 12,Brentford v Man Utd
Joshua Zirkzee CM,6 - 9,Brentford v Man Utd
Noussair Mazraoui CM,7 - 10,Brentford v Man Utd
Altay Bayindir CM,7 - 10,Brentford v Man Utd
Benjamin Sesko CM,3 - 6,Brentford v Man Utd
Bryan Mbeumo CM,3 - 6,Brentford v Man Utd
Wesley Fofana CM,18 - 22,Chelsea v Brighton
