card_names,card_odds,contest
Tim Iroegbunam CM,17 - 21,Everton v Brighton
Idrissa Gueye CM,16 - 20,Everton v Brighton
Carlos Alcaraz CM,13 - 17,Everton v Brighton
Jake O'Brien CM,13 - 17,Everton v Brighton
James Garner CM,13 - 17,Everton v Brighton
Jack Grealish CM,11 - 15,Everton v Brighton
James Tarkowski CM,11 - 15,Everton v Brighton
Michael Keane CM,10 - 14,Everton v Brighton
Kiernan Dewsbury-Hall CM,9 - 13,Everton v Brighton
Thierno Barry CM,7 - 10,Everton v Brighton
Iliman Ndiaye CM,7 - 10,Everton v Brighton
Vitaliy Mykolenko CM,7 - 10,Everton v Brighton
Seamus Coleman CM,7 - 10,Everton v Brighton
Jordan Pickford CM,9 - 13,Everton v Brighton
Beto CM,4 - 7,Everton v Brighton
Dwight McNeil CM,4 - 7,Everton v Brighton
Carlos Baleba CM,17 - 21,Everton v Brighton
Jan Paul van Hecke CM,12 - 16,Everton v Brighton
Tariq Lamptey CM,11 - 15,Everton v Brighton
Joel Veltman CM,11 - 15,Everton v Brighton
Mats Wieffer CM,10 - 14,Everton v Brighton
Diego Coppola CM,10 - 14,Everton v Brighton
Lewis Dunk CM,10 - 14,Everton v Brighton
Diego Gomez CM,9 - 13,Everton v Brighton
Olivier Boscagli CM,8 - 12,Everton v Brighton
Maxim De Cuyper CM,7 - 11,Everton v Brighton
Yankuba Minteh CM,7 - 11,Everton v Brighton
Yasin Ayari CM,7 - 11,Everton v Brighton
Danny Welbeck CM,7 - 10,Everton v Brighton
Jack Hinshelwood CM,6 - 9,Everton v Brighton
Georginio Rutter CM,6 - 9,Everton v Brighton
Matt O'Riley CM,6 - 9,Everton v Brighton
Brajan Gruda CM,5 - 8,Everton v Brighton
Kaoru Mitoma CM,5 - 8,Everton v Brighton
Ferdi Kadioglu CM,5 - 8,Everton v Brighton
Bart Verbruggen CM,7 - 10,Everton v Brighton
Sasa Lukic CM,19 - 23,Fulham v Man Utd
Joachim Andersen CM,19 - 23,Fulham v Man Utd
Andreas Pereira CM,15 - 19,Fulham v Man Utd
Kenny Tete CM,12 - 16,Fulham v Man Utd
Harrison Reed CM,12 - 16,Fulham v Man Utd
Calvin Bassey CM,12 - 16,Fulham v Man Utd
Sander Berge CM,12 - 16,Fulham v Man Utd
Issa Diop CM,10 - 14,Fulham v Man Utd
Harry Wilson CM,10 - 14,Fulham v Man Utd
Jorge Cuenca CM,8 - 12,Fulham v Man Utd
Timothy Castagne CM,7 - 10,Fulham v Man Utd
