card_names,card_odds,contest
Guido Rodriguez CM,18 - 22,West Ham v Nottingham Forest
Lucas Paqueta CM,17 - 21,West Ham v Nottingham Forest
Soungoutou Magassa CM,13 - 17,West Ham v Nottingham Forest
Pablo Felipe CM,13 - 17,West Ham v Nottingham Forest
Tomas Soucek CM,13 - 17,West Ham v Nottingham Forest
Mateus Fernandes CM,12 - 16,West Ham v Nottingham Forest
Jean-Clair Todibo CM,10 - 14,West Ham v Nottingham Forest
Konstantinos Mavropanos CM,10 - 14,West Ham v Nottingham Forest
Valentin Castellanos CM,10 - 14,West Ham v Nottingham Forest
Crysencio Summerville CM,10 - 14,West Ham v Nottingham Forest
Freddie Potts CM,9 - 13,West Ham v Nottingham Forest
Max Kilman CM,9 - 13,West Ham v Nottingham Forest
Oliver Scarles CM,8 - 12,West Ham v Nottingham Forest
Kyle Walker-Peters CM,6 - 9,West Ham v Nottingham Forest
Callum Wilson CM,6 - 9,West Ham v Nottingham Forest
Jarrod Bowen CM,3 - 6,West Ham v Nottingham Forest
Alphonse Areola CM,5 - 8,West Ham v Nottingham Forest
Nicolas Dominguez CM,18 - 22,West Ham v Nottingham Forest
Douglas Luiz CM,13 - 17,West Ham v Nottingham Forest
Murillo CM,13 - 17,West Ham v Nottingham Forest
Morgan Gibbs-White CM,13 - 17,West Ham v Nottingham Forest
Elliot Anderson CM,13 - 17,West Ham v Nottingham Forest
Neco Williams CM,8 - 12,West Ham v Nottingham Forest
Nikola Milenkovic CM,8 - 12,West Ham v Nottingham Forest
Igor Jesus CM,8 - 12,West Ham v Nottingham Forest
James McAtee CM,8 - 12,West Ham v Nottingham Forest
Ola Aina CM,8 - 12,West Ham v Nottingham Forest
Oleksandr Zinchenko CM,7 - 10,West Ham v Nottingham Forest
Dilane Bakwa CM,6 - 9,West Ham v Nottingham Forest
Omari Hutchinson CM,6 - 9,West Ham v Nottingham Forest
Dan Ndoye CM,6 - 9,West Ham v Nottingham Forest
Taiwo Awoniyi CM,5 - 8,West Ham v Nottingham Forest
Callum Hudson-Odoi CM,3 - 6,West Ham v Nottingham Forest
Matz Sels CM,5 - 8,West Ham v Nottingham Forest
Marcos Senesi CM,16 - 20,Bournemouth v Tottenham
Alex Jimenez CM,13 - 17,Bournemouth v Tottenham
Antoine Semenyo CM,10 - 14,Bournemouth v Tottenham
Amine Adli CM,10 - 14,Bournemouth v Tottenham
Alex Scott CM,10 - 14,Bournemouth v Tottenham
Lewis Cook CM,10 - 14,Bournemouth v Tottenham
Justin Kluivert CM,9 - 13,Bournemouth v Tottenham
Bafode Diakite CM,9 - 13,Bournemouth v Tottenham
David Brooks CM,8 - 12,Bournemouth v Tottenham
James Hill CM,8 - 12,Bournemouth v Tottenham
Enes Unal CM,7 - 10,Bournemouth v Tottenham
Marcus Tavernier CM,7 - 10,Bournemouth v Tottenham
Adrien Truffert CM,7 - 10,Bournemouth v Tottenham
Eli Junior Kroupi CM,5 - 8,Bournemouth v Tottenham
Evanilson CM,3 - 6,Bournemouth v Tottenham
Djordje Petrovic CM,5 - 8,Bournemouth v Tottenham
Rodrigo Bentancur CM,21 - 25,Bournemouth v Tottenham
Joao Palhinha CM,20 - 24,Bournemouth v Tottenham
Cristian Romero CM,20 - 24,Bournemouth v Tottenham
Micky van de Ven CM,13 - 17,Bournemouth v Tottenham
Kevin Danso CM,13 - 17,Bournemouth v Tottenham
Richarlison CM,10 - 14,Bournemouth v Tottenham
Xavi Simons CM,10 - 14,Bournemouth v Tottenham
Lucas Bergvall CM,10 - 14,Bournemouth v Tottenham
Ben Davies CM,9 - 13,Bournemouth v Tottenham
Djed Spence CM,9 - 13,Bournemouth v Tottenham
Archie Gray CM,8 - 12,Bournemouth v Tottenham
Pedro Porro CM,8 - 12,Bournemouth v Tottenham
Randal Kolo Muani CM,5 - 8,Bournemouth v Tottenham
Mathys Tel CM,5 - 8,Bournemouth v Tottenham
Wilson Odobert CM,4 - 7,Bournemouth v Tottenham
Guglielmo Vicario CM,4 - 7,Bournemouth v Tottenham
Yehor Yarmolyuk CM,12 - 16,Brentford v Sunderland
Jordan Henderson CM,10 - 14,Brentford v Sunderland
Aaron Hickey CM,9 - 13,Brentford v Sunderland
Michael Kayode CM,9 - 13,Brentford v Sunderland
Igor Thiago CM,8 - 12,Brentford v Sunderland
Kevin Schade CM,8 - 12,Brentford v Sunderland
Keane Lewis-Potter CM,8 - 12,Brentford v Sunderland
Kristoffer Ajer CM,8 - 12,Brentford v Sunderland
Mathias Jensen CM,7 - 11,Brentford v Sunderland
Nathan Collins CM,7 - 11,Brentford v Sunderland
Vitaly Janelt CM,7 - 11,Brentford v Sunderland
Sepp van den Berg CM,7 - 10,Brentford v Sunderland
Rico Henry CM,5 - 8,Brentford v Sunderland
Mikkel Damsgaard CM,3 - 6,Brentford v Sunderland
Caoimhin Kelleher CM,2.5 - 5,Brentford v Sunderland
Omar Alderete CM,16 - 20,Brentford v Sunderland
Granit Xhaka CM,15 - 19,Brentford v Sunderland
Nordi Mukiele CM,15 - 19,Brentford v Sunderland
Dennis Cirkin CM,14 - 18,Brentford v Sunderland
Trai Hume CM,13 - 17,Brentford v Sunderland
Enzo Le Fee CM,10 - 14,Brentford v Sunderland
Wilson Isidor CM,10 - 14,Brentford v Sunderland
Brian Brobbey CM,7 - 11,Brentford v Sunderland
Lutsharel Geertruida CM,7 - 10,Brentford v Sunderland
Eliezer Mayenda CM,4 - 7,Brentford v Sunderland
Simon Adingra CM,4 - 7,Brentford v Sunderland
Robin Roefs CM,6 - 9,Brentford v Sunderland
Will Hughes CM,19 - 23,Crystal Palace v Aston Villa
Yeremi Pino CM,13 - 17,Crystal Palace v Aston Villa
Marc Guehi CM,11 - 15,Crystal Palace v Aston Villa
Maxence Lacroix CM,11 - 15,Crystal Palace v Aston Villa
Adam Wharton CM,8 - 12,Crystal Palace v Aston Villa
Jaydee Canvot CM,8 - 12,Crystal Palace v Aston Villa
Nathaniel Clyne CM,8 - 12,Crystal Palace v Aston Villa
Tyrick Mitchell CM,8 - 12,Crystal Palace v Aston Villa
Justin Devenny CM,7 - 11,Crystal Palace v Aston Villa
Jean-Philippe Mateta CM,6 - 9,Crystal Palace v Aston Villa
Dean Henderson CM,6 - 9,Crystal Palace v Aston Villa
John McGinn CM,13 - 17,Crystal Palace v Aston Villa
Boubacar Kamara CM,13 - 17,Crystal Palace v Aston Villa
Morgan Rogers CM,12 - 16,Crystal Palace v Aston Villa
Matty Cash CM,12 - 16,Crystal Palace v Aston Villa
Ian Maatsen CM,10 - 14,Crystal Palace v Aston Villa
Ezri Konsa CM,7 - 11,Crystal Palace v Aston Villa
Emi Buendia CM,7 - 10,Crystal Palace v Aston Villa
Youri Tielemans CM,7 - 10,Crystal Palace v Aston Villa
Victor Lindelof CM,7 - 10,Crystal Palace v Aston Villa
Emiliano Martinez CM,9 - 13,Crystal Palace v Aston Villa
Ollie Watkins CM,5 - 8,Crystal Palace v Aston Villa
Sasa Lukic CM,21 - 25,Fulham v Chelsea
Joachim Andersen CM,18 - 22,Fulham v Chelsea
Harry Wilson CM,15 - 19,Fulham v Chelsea
Jorge Cuenca CM,11 - 15,Fulham v Chelsea
Harrison Reed CM,11 - 15,Fulham v Chelsea
Sander Berge CM,11 - 15,Fulham v Chelsea
Antonee Robinson CM,11 - 15,Fulham v Chelsea
Raul Jimenez CM,11 - 15,Fulham v Chelsea
Joshua King CM,10 - 14,Fulham v Chelsea
Issa Diop CM,10 - 14,Fulham v Chelsea
Kevin CM,10 - 14,Fulham v Chelsea
Tom Cairney CM,9 - 13,Fulham v Chelsea
Timothy Castagne CM,8 - 12,Fulham v Chelsea
Bernd Leno CM,10 - 14,Fulham v Chelsea
Jonah Kusi-Asare CM,7 - 11,Fulham v Chelsea
Adama Traore CM,5 - 8,Fulham v Chelsea
Emile Smith Rowe CM,5 - 8,Fulham v Chelsea
Benjamin Lecomte CM,3 - 6,Fulham v Chelsea
Moises Caicedo CM,22 - 26,Fulham v Chelsea
Liam Delap CM,18 - 22,Fulham v Chelsea
Enzo Fernandez CM,17 - 21,Fulham v Chelsea
Wesley Fofana CM,17 - 21,Fulham v Chelsea
