card_names,card_odds,contest
Piero Hincapie CM,14 - 18,Arsenal v Nottingham Forest
Myles Lewis-Skelly CM,13 - 17,Arsenal v Nottingham Forest
Martin Zubimendi CM,13 - 17,Arsenal v Nottingham Forest
Riccardo Calafiori CM,11 - 15,Arsenal v Nottingham Forest
Declan Rice CM,10 - 14,Arsenal v Nottingham Forest
Jurrien Timber CM,10 - 14,Arsenal v Nottingham Forest
Mikel Merino CM,10 - 14,Arsenal v Nottingham Forest
Cristhian Mosquera CM,7 - 10,Arsenal v Nottingham Forest
Viktor Gyokeres CM,7 - 10,Arsenal v Nottingham Forest
Bukayo Saka CM,7 - 10,Arsenal v Nottingham Forest
Leandro Trossard CM,6 - 9,Arsenal v Nottingham Forest
Martin Odegaard CM,5 - 8,Arsenal v Nottingham Forest
Gabriel Martinelli CM,5 - 8,Arsenal v Nottingham Forest
Noni Madueke CM,5 - 8,Arsenal v Nottingham Forest
Eberechi Eze CM,4 - 7,Arsenal v Nottingham Forest
Ethan Nwaneri CM,3 - 6,Arsenal v Nottingham Forest
David Raya CM,5 - 8,Arsenal v Nottingham Forest
Kepa Arrizabalaga CM,2 - 4,Arsenal v Nottingham Forest
Christian Norgaard CM,16 - 20,Arsenal v Nottingham Forest
Ben White CM,9 - 13,Arsenal v Nottingham Forest
Gabriel Magalhaes CM,8 - 12,Arsenal v Nottingham Forest
William Saliba CM,7 - 10,Arsenal v Nottingham Forest
Morgan Gibbs-White CM,20 - 24,Arsenal v Nottingham Forest
Douglas Luiz CM,17 - 21,Arsenal v Nottingham Forest
Ryan Yates CM,17 - 21,Arsenal v Nottingham Forest
Ibrahim Sangare CM,17 - 21,Arsenal v Nottingham Forest
Elliot Anderson CM,14 - 18,Arsenal v Nottingham Forest
Neco Williams CM,14 - 18,Arsenal v Nottingham Forest
Murillo CM,12 - 16,Arsenal v Nottingham Forest
Nikola Milenkovic CM,12 - 16,Arsenal v Nottingham Forest
Morato CM,11 - 15,Arsenal v Nottingham Forest
Igor Jesus CM,10 - 14,Arsenal v Nottingham Forest
Dan Ndoye CM,10 - 14,Arsenal v Nottingham Forest
Willy Boly CM,8 - 12,Arsenal v Nottingham Forest
Arnaud Kalimuendo CM,7 - 10,Arsenal v Nottingham Forest
James McAtee CM,7 - 10,Arsenal v Nottingham Forest
Matz Sels CM,8 - 12,Arsenal v Nottingham Forest
Omari Hutchinson CM,6 - 9,Arsenal v Nottingham Forest
Callum Hudson-Odoi CM,5 - 8,Arsenal v Nottingham Forest
Chris Wood CM,3 - 6,Arsenal v Nottingham Forest
Nicolo Savona CM,11 - 15,Arsenal v Nottingham Forest
Marcos Senesi CM,17 - 21,Bournemouth v Brighton
Tyler Adams CM,17 - 21,Bournemouth v Brighton
Julian Araujo CM,16 - 20,Bournemouth v Brighton
Ryan Christie CM,14 - 18,Bournemouth v Brighton
Veljko Milosavljevic CM,14 - 18,Bournemouth v Brighton
Justin Kluivert CM,12 - 16,Bournemouth v Brighton
Alex Scott CM,12 - 16,Bournemouth v Brighton
Julio Soler CM,12 - 16,Bournemouth v Brighton
Lewis Cook CM,12 - 16,Bournemouth v Brighton
Amine Adli CM,11 - 15,Bournemouth v Brighton
Ben Doak CM,11 - 15,Bournemouth v Brighton
Bafode Diakite CM,11 - 15,Bournemouth v Brighton
Alejandro Jimenez CM,11 - 15,Bournemouth v Brighton
James Hill CM,10 - 14,Bournemouth v Brighton
Antoine Semenyo CM,9 - 13,Bournemouth v Brighton
Marcus Tavernier CM,8 - 12,Bournemouth v Brighton
Evanilson CM,7 - 11,Bournemouth v Brighton
Adrien Truffert CM,7 - 10,Bournemouth v Brighton
David Brooks CM,7 - 10,Bournemouth v Brighton
Eli Junior Kroupi CM,7 - 10,Bournemouth v Brighton
Romain Faivre CM,6 - 9,Bournemouth v Brighton
Djordje Petrovic CM,6 - 9,Bournemouth v Brighton
Carlos Baleba CM,19 - 23,Bournemouth v Brighton
Joel Veltman CM,16 - 20,Bournemouth v Brighton
Mats Wieffer CM,15 - 19,Bournemouth v Brighton
Jan Paul van Hecke CM,15 - 19,Bournemouth v Brighton
James Milner CM,14 - 18,Bournemouth v Brighton
Diego Gomez CM,13 - 17,Bournemouth v Brighton
Stefanos Tzimas CM,12 - 16,Bournemouth v Brighton
Ferdi Kadioglu CM,12 - 16,Bournemouth v Brighton
Maxime De Cuyper CM,12 - 16,Bournemouth v Brighton
Diego Coppola CM,12 - 16,Bournemouth v Brighton
Lewis Dunk CM,11 - 15,Bournemouth v Brighton
Jack Hinshelwood CM,10 - 14,Bournemouth v Brighton
Yankuba Minteh CM,9 - 13,Bournemouth v Brighton
Yasin Ayari CM,9 - 13,Bournemouth v Brighton
Danny Welbeck CM,8 - 12,Bournemouth v Brighton
Brajan Gruda CM,8 - 12,Bournemouth v Brighton
Georginio Rutter CM,7 - 11,Bournemouth v Brighton
Tom Watson CM,7 - 10,Bournemouth v Brighton
Kaoru Mitoma CM,6 - 9,Bournemouth v Brighton
Bart Verbruggen CM,7 - 10,Bournemouth v Brighton
Will Hughes CM,18 - 22,Crystal Palace v Sunderland
Yeremy Pino CM,15 - 19,Crystal Palace v Sunderland
Daniel Munoz CM,15 - 19,Crystal Palace v Sunderland
Daichi Kamada CM,11 - 15,Crystal Palace v Sunderland
Jefferson Lerma CM,11 - 15,Crystal Palace v Sunderland
Chris Richards CM,10 - 14,Crystal Palace v Sunderland
Maxence Lacroix CM,9 - 13,Crystal Palace v Sunderland
Marc Guehi CM,9 - 13,Crystal Palace v Sunderland
Jean-Philippe Mateta CM,7 - 10,Crystal Palace v Sunderland
Adam Wharton CM,7 - 10,Crystal Palace v Sunderland
Nathaniel Clyne CM,7 - 10,Crystal Palace v Sunderland
Borna Sosa CM,6 - 9,Crystal Palace v Sunderland
Tyrick Mitchell CM,6 - 9,Crystal Palace v Sunderland
Romaine Esse CM,5 - 8,Crystal Palace v Sunderland
Justin Devenny CM,3 - 6,Crystal Palace v Sunderland
Dean Henderson CM,5 - 8,Crystal Palace v Sunderland
Nordi Mukiele CM,21 - 25,Crystal Palace v Sunderland
Granit Xhaka CM,20 - 24,Crystal Palace v Sunderland
Wilson Isidor CM,17 - 21,Crystal Palace v Sunderland
Habib Diarra CM,17 - 21,Crystal Palace v Sunderland
Arthur Masuaku CM,17 - 21,Crystal Palace v Sunderland
Trai Hume CM,17 - 21,Crystal Palace v Sunderland
Omar Alderete CM,15 - 19,Crystal Palace v Sunderland
Reinildo Mandava CM,15 - 19,Crystal Palace v Sunderland
Dennis Cirkin CM,13 - 17,Crystal Palace v Sunderland
Daniel Ballard CM,13 - 17,Crystal Palace v Sunderland
Noah Sadiki CM,10 - 14,Crystal Palace v Sunderland
Enzo Le Fee CM,9 - 13,Crystal Palace v Sunderland
Dan Neil CM,7 - 11,Crystal Palace v Sunderland
Chris Rigg CM,7 - 11,Crystal Palace v Sunderland
Chemsdine Talbi CM,6 - 9,Crystal Palace v Sunderland
Eliezer Mayenda CM,5 - 8,Crystal Palace v Sunderland
Simon Adingra CM,5 - 8,Crystal Palace v Sunderland
Robin Roefs CM,5 - 8,Crystal Palace v Sunderland
Anthony Patterson CM,3 - 6,Crystal Palace v Sunderland
Tim Iroegbunam CM,15 - 19,Everton v Aston Villa
Idrissa Gueye CM,13 - 17,Everton v Aston Villa
Carlos Alcaraz CM,12 - 16,Everton v Aston Villa
James Tarkowski CM,12 - 16,Everton v Aston Villa
Jake O'Brien CM,12 - 16,Everton v Aston Villa
Jack Grealish CM,11 - 15,Everton v Aston Villa
Adam Aznou CM,12 - 16,Everton v Aston Villa
James Garner CM,13 - 17,Everton v Aston Villa
Tyler Dibling CM,7 - 11,Everton v Aston Villa
Kiernan Dewsbury-Hall CM,10 - 14,Everton v Aston Villa
Michael Keane CM,12 - 16,Everton v Aston Villa
Jarrad Branthwaite CM,10 - 14,Everton v Aston Villa
Vitaliy Mykolenko CM,7 - 10,Everton v Aston Villa
Seamus Coleman CM,10 - 14,Everton v Aston Villa
Jordan Pickford CM,10 - 14,Everton v Aston Villa
Thierno Barry CM,7 - 11,Everton v Aston Villa
Iliman Ndiaye CM,5 - 8,Everton v Aston Villa
Dwight McNeil CM,5 - 8,Everton v Aston Villa
Beto CM,6 - 9,Everton v Aston Villa
Morgan Rogers CM,11 - 15,Everton v Aston Villa
Boubacar Kamara CM,12 - 16,Everton v Aston Villa
John McGinn CM,16 - 20,Everton v Aston Villa
Ian Maatsen CM,11 - 15,Everton v Aston Villa
Amadou Onana CM,12 - 16,Everton v Aston Villa
Tyrone Mings CM,11 - 15,Everton v Aston Villa
Lamare Bogarde CM,17 - 21,Everton v Aston Villa
Matty Cash CM,17 - 21,Everton v Aston Villa
Harvey Elliott CM,6 - 9,Everton v Aston Villa
Lucas Digne CM,11 - 15,Everton v Aston Villa
Ross Barkley CM,7 - 11,Everton v Aston Villa
Youri Tielemans CM,7 - 10,Everton v Aston Villa
Victor Lindelof CM,8 - 12,Everton v Aston Villa
Pau Torres CM,8 - 12,Everton v Aston Villa
Emiliano Martinez CM,11 - 15,Everton v Aston Villa
Donyell Malen CM,5 - 8,Everton v Aston Villa
Ezri Konsa CM,7 - 10,Everton v Aston Villa
Emiliano Buendia CM,7 - 11,Everton v Aston Villa
Evann Guessand CM,5 - 8,Everton v Aston Villa
Ollie Watkins CM,5 - 8,Everton v Aston Villa
Jadon Sancho CM,5 - 8,Everton v Aston Villa
Sasa Lukic CM,18 - 22,Fulham v Leeds
Joachim Andersen CM,12 - 16,Fulham v Leeds
Sander Berge CM,8 - 12,Fulham v Leeds
Kenny Tete CM,8 - 12,Fulham v Leeds
Calvin Bassey CM,7 - 11,Fulham v Leeds
Antonee Robinson CM,7 - 11,Fulham v Leeds
Harry Wilson CM,7 - 10,Fulham v Leeds
Timothy Castagne CM,7 - 10,Fulham v Leeds
Raul Jimenez CM,6 - 9,Fulham v Leeds
Ryan Sessegnon CM,6 - 9,Fulham v Leeds
Rodrigo Muniz CM,5 - 8,Fulham v Leeds
Adama Traore CM,5 - 8,Fulham v Leeds
Joshua King CM,4 - 7,Fulham v Leeds
Bernd Leno CM,6 - 9,Fulham v Leeds
Alex Iwobi CM,2.5 - 5,Fulham v Leeds
Emile Smith Rowe CM,2 - 4,Fulham v Leeds
Jayden Bogle CM,18 - 22,Fulham v Leeds
Jaka Bijol CM,15 - 19,Fulham v Leeds
Anton Stach CM,15 - 19,Fulham v Leeds
Wilfried Gnonto CM,13 - 17,Fulham v Leeds
Ilia Gruev CM,12 - 16,Fulham v Leeds
James Justin CM,11 - 15,Fulham v Leeds
Pascal Struijk CM,10 - 14,Fulham v Leeds
Joe Rodon CM,8 - 12,Fulham v Leeds
Dominic Calvert-Lewin CM,8 - 12,Fulham v Leeds
Sean Longstaff CM,7 - 11,Fulham v Leeds
Daniel James CM,7 - 11,Fulham v Leeds
Gabriel Gudmundsson CM,7 - 11,Fulham v Leeds
Lukas Nmecha CM,7 - 11,Fulham v Leeds
Jack Harrison CM,6 - 9,Fulham v Leeds
Joel Piroe CM,5 - 8,Fulham v Leeds
Brenden Aaronson CM,3 - 6,Fulham v Leeds
Karl Darlow CM,6 - 9,Fulham v Leeds
Bruno Guimaraes CM,15 - 19,Newcastle v Wolves
Fabian Schar CM,12 - 16,Newcastle v Wolves
Dan Burn CM,11 - 15,Newcastle v Wolves
Nick Woltemade CM,10 - 14,Newcastle v Wolves
Yoane Wissa CM,10 - 14,Newcastle v Wolves
Jacob Ramsey CM,9 - 13,Newcastle v Wolves
Sandro Tonali CM,8 - 12,Newcastle v Wolves
Lewis Hall CM,7 - 11,Newcastle v Wolves
William Osula CM,7 - 10,Newcastle v Wolves
Tino Livramento CM,7 - 10,Newcastle v Wolves
Sven Botman CM,7 - 10,Newcastle v Wolves
Nick Pope CM,7 - 10,Newcastle v Wolves
Jacob Murphy CM,4 - 7,Newcastle v Wolves
Anthony Elanga CM,4 - 7,Newcastle v Wolves
Lewis Miley CM,4 - 7,Newcastle v Wolves
Kieran Trippier CM,4 - 7,Newcastle v Wolves
Harvey Barnes CM,4 - 7,Newcastle v Wolves
Joao Gomes CM,23 - 27,Newcastle v Wolves
Toti Gomes CM,20 - 24,Newcastle v Wolves
Andre CM,19 - 23,Newcastle v Wolves
Emmanuel Agbadou CM,16 - 20,Newcastle v Wolves
Matt Doherty CM,14 - 18,Newcastle v Wolves
Yerson Mosquera CM,14 - 18,Newcastle v Wolves
David Moller Wolfe CM,13 - 17,Newcastle v Wolves
Fer Lopez CM,11 - 15,Newcastle v Wolves
Marshall Munetsi CM,11 - 15,Newcastle v Wolves
Jackson Tchatchoua CM,11 - 15,Newcastle v Wolves
Santiago Bueno CM,9 - 13,Newcastle v Wolves
Jhon Arias CM,8 - 12,Newcastle v Wolves
Jean-Ricner Bellegarde CM,7 - 10,Newcastle v Wolves
Hwang Hee-chan CM,7 - 10,Newcastle v Wolves
Jorgen Strand Larsen CM,7 - 10,Newcastle v Wolves
Rodrigo Gomes CM,7 - 10,Newcastle v Wolves
Hugo Bueno CM,7 - 10,Newcastle v Wolves
Jose Sa CM,5 - 8,Newcastle v Wolves
Lucas Paqueta CM,18 - 22,West Ham v Tottenham
Tomas Soucek CM,15 - 19,West Ham v Tottenham
Konstantinos Mavropanos CM,13 - 17,West Ham v Tottenham
Igor CM,12 - 16,West Ham v Tottenham
Mateus Fernandes CM,11 - 15,West Ham v Tottenham
Max Kilman CM,10 - 14,West Ham v Tottenham
El Hadji Malick Diouf CM,13 - 17,West Ham v Tottenham
James Ward Prowse CM,10 - 14,West Ham v Tottenham
Callum Wilson CM,8 - 12,West Ham v Tottenham
Kyle Walker-Peters CM,8 - 12,West Ham v Tottenham
Crysencio Summerville CM,8 - 12,West Ham v Tottenham
Jean-Clair Todibo CM,9 - 13,West Ham v Tottenham
Aaron Wan-Bissaka CM,5 - 8,West Ham v Tottenham
Jarrod Bowen CM,3 - 6,West Ham v Tottenham
Mads Hermansen CM,5 - 8,West Ham v Tottenham
Niclas Fullkrug CM,5 - 8,West Ham v Tottenham
Soungoutou Magassa CM,15 - 19,West Ham v Tottenham
Rodrigo Bentancur CM,18 - 22,West Ham v Tottenham
Joao Palhinha CM,16 - 20,West Ham v Tottenham
Cristian Romero CM,16 - 20,West Ham v Tottenham
Kevin Danso CM,10 - 14,West Ham v Tottenham
Pape Matar Sarr CM,10 - 14,West Ham v Tottenham
Richarlison CM,9 - 13,West Ham v Tottenham
Lucas Bergvall CM,8 - 12,West Ham v Tottenham
Pedro Porro CM,8 - 12,West Ham v Tottenham
Brennan Johnson CM,8 - 12,West Ham v Tottenham
Xavi Simons CM,8 - 12,West Ham v Tottenham
Micky van de Ven CM,8 - 12,West Ham v Tottenham
Destiny Udogie CM,8 - 12,West Ham v Tottenham
Mohammed Kudus CM,7 - 11,West Ham v Tottenham
Djed Spence CM,7 - 11,West Ham v Tottenham
Archie Gray CM,6 - 9,West Ham v Tottenham
Mathys Tel CM,5 - 8,West Ham v Tottenham
Randal Kolo Muani CM,5 - 8,West Ham v Tottenham
Guglielmo Vicario CM,6 - 9,West Ham v Tottenham
Aaron Hickey CM,16 - 20,Brentford v Chelsea
Frank Onyeka CM,16 - 20,Brentford v Chelsea
Igor Thiago CM,14 - 18,Brentford v Chelsea
Jordan Henderson CM,14 - 18,Brentford v Chelsea
Keane Lewis-Potter CM,12 - 16,Brentford v Chelsea
Dango Ouattara CM,11 - 15,Brentford v Chelsea
Fabio Carvalho CM,11 - 15,Brentford v Chelsea
Michael Kayode CM,11 - 15,Brentford v Chelsea
Kristoffer Ajer CM,11 - 15,Brentford v Chelsea
Sepp van den Berg CM,11 - 15,Brentford v Chelsea
Yehor Yarmolyuk CM,11 - 15,Brentford v Chelsea
Nathan Collins CM,10 - 14,Brentford v Chelsea
Mathias Jensen CM,10 - 14,Brentford v Chelsea
Rico Henry CM,7 - 11,Brentford v Chelsea
Kevin Schade CM,7 - 11,Brentford v Chelsea
Mikkel Damsgaard CM,7 - 10,Brentford v Chelsea
Ethan Pinnock CM,7 - 10,Brentford v Chelsea
Antoni Milambo CM,5 - 8,Brentford v Chelsea
Caoimhin Kelleher CM,6 - 9,Brentford v Chelsea
Moises Caicedo CM,20 - 24,Brentford v Chelsea
Wesley Fofana CM,18 - 22,Brentford v Chelsea
Enzo Fernandez CM,17 - 21,Brentford v Chelsea
Marc Cucurella CM,14 - 18,Brentford v Chelsea
Jorrel Hato CM,14 - 18,Brentford v Chelsea
Andrey Santos CM,14 - 18,Brentford v Chelsea
Pedro Neto CM,12 - 16,Brentford v Chelsea
Estevao CM,11 - 15,Brentford v Chelsea
Reece James CM,11 - 15,Brentford v Chelsea
Tosin Adarabioyo CM,11 - 15,Brentford v Chelsea
Malo Gusto CM,10 - 14,Brentford v Chelsea
Joao Pedro CM,10 - 14,Brentford v Chelsea
Alejandro Garnacho CM,10 - 14,Brentford v Chelsea
Trevoh Chalobah CM,8 - 12,Brentford v Chelsea
Cole Palmer CM,8 - 12,Brentford v Chelsea
Jamie Gittens CM,7 - 10,Brentford v Chelsea
Josh Acheampong CM,7 - 10,Brentford v Chelsea
Tyrique George CM,6 - 9,Brentford v Chelsea
Robert Sanchez CM,8 - 12,Brentford v Chelsea
Florentino Luis CM,18 - 22,Burnley v Liverpool
Hannibal Mejbri CM,18 - 22,Burnley v Liverpool
Lesley Ugochukwu CM,18 - 22,Burnley v Liverpool
Josh Cullen CM,15 - 19,Burnley v Liverpool
Hjalmar Ekdal CM,11 - 15,Burnley v Liverpool
Axel Tuanzebe CM,10 - 14,Burnley v Liverpool
Loum Tchaouna CM,10 - 14,Burnley v Liverpool
Josh Laurent CM,10 - 14,Burnley v Liverpool
Kyle Walker CM,8 - 12,Burnley v Liverpool
Quilindschy Hartman CM,8 - 12,Burnley v Liverpool
Bashir Humphreys CM,7 - 11,Burnley v Liverpool
Maxime Esteve CM,7 - 11,Burnley v Liverpool
Zian Flemming CM,6 - 9,Burnley v Liverpool
Jaidon Anthony CM,6 - 9,Burnley v Liverpool
Armando Broja CM,5 - 8,Burnley v Liverpool
Lyle Foster CM,7 - 11,Burnley v Liverpool
Jacob Bruun Larsen CM,3 - 6,Burnley v Liverpool
Marcus Edwards CM,3 - 6,Burnley v Liverpool
Martin Dubravka CM,4 - 7,Burnley v Liverpool
Wataru Endo CM,13 - 17,Burnley v Liverpool
Alexis Mac Allister CM,12 - 16,Burnley v Liverpool
Ibrahima Konate CM,11 - 15,Burnley v Liverpool
Conor Bradley CM,9 - 13,Burnley v Liverpool
Florian Wirtz CM,9 - 13,Burnley v Liverpool
Jeremie Frimpong CM,9 - 13,Burnley v Liverpool
Ryan Gravenberch CM,9 - 13,Burnley v Liverpool
Milos Kerkez CM,7 - 11,Burnley v Liverpool
Andrew Robertson CM,7 - 11,Burnley v Liverpool
Cody Gakpo CM,6 - 9,Burnley v Liverpool
Rio Ngumoha CM,6 - 9,Burnley v Liverpool
Federico Chiesa CM,6 - 9,Burnley v Liverpool
Dominik Szoboszlai CM,6 - 9,Burnley v Liverpool
Virgil van Dijk CM,6 - 9,Burnley v Liverpool
