card_names,card_odds,contest
Manuel Ugarte CM,13 - 17,Man Utd v Burnley
Casemiro CM,11 - 15,Man Utd v Burnley
Tyler Fredricson CM,11 - 15,Man Utd v Burnley
Luke Shaw CM,10 - 14,Man Utd v Burnley
Ayden Heaven CM,9 - 13,Man Utd v Burnley
Patrick Dorgu CM,9 - 13,Man Utd v Burnley
Amad Diallo CM,8 - 12,Man Utd v Burnley
Matheus Cunha CM,8 - 12,Man Utd v Burnley
Harry Maguire CM,8 - 12,Man Utd v Burnley
Leny Yoro CM,8 - 12,Man Utd v Burnley
Matthijs de Ligt CM,7 - 11,Man Utd v Burnley
Mason Mount CM,7 - 10,Man Utd v Burnley
Chido Obi CM,6 - 9,Man Utd v Burnley
Bruno Fernandes CM,6 - 9,Man Utd v Burnley
Kobbie Mainoo CM,6 - 9,Man Utd v Burnley
Diego Leon CM,6 - 9,Man Utd v Burnley
Diogo Dalot CM,6 - 9,Man Utd v Burnley
Bryan Mbeumo CM,5 - 8,Man Utd v Burnley
Noussair Mazraoui CM,4 - 7,Man Utd v Burnley
Joshua Zirkzee CM,3 - 6,Man Utd v Burnley
Benjamin Sesko CM,2 - 4,Man Utd v Burnley
Rasmus Hojlund CM,2 - 4,Man Utd v Burnley
Altay Bayindir CM,2.5 - 5,Man Utd v Burnley
Andre Onana CM,1 - 3,Man Utd v Burnley
Tom Heaton CM,1 - 3,Man Utd v Burnley
Josh Cullen CM,18 - 22,Man Utd v Burnley
Axel Tuanzebe CM,17 - 21,Man Utd v Burnley
Lesley Ugochukwu CM,17 - 21,Man Utd v Burnley
Hannibal Mejbri CM,15 - 19,Man Utd v Burnley
Josh Laurent CM,15 - 19,Man Utd v Burnley
Lucas Pires CM,13 - 17,Man Utd v Burnley
Ashley Barnes CM,13 - 17,Man Utd v Burnley
Hannes Delcroix CM,11 - 15,Man Utd v Burnley
Quilindschy Hartman CM,10 - 14,Man Utd v Burnley
Lyle Foster CM,10 - 14,Man Utd v Burnley
