card_names,card_odds,contest
Wesley Fofana CM,13 - 17,Chelsea v Everton
Enzo Fernandez CM,12 - 16,Chelsea v Everton
Marc Cucurella CM,11 - 15,Chelsea v Everton
Jorrel Hato CM,10 - 14,Chelsea v Everton
Tosin Adarabioyo CM,9 - 13,Chelsea v Everton
Estevao CM,9 - 13,Chelsea v Everton
Benoit Badiashile CM,9 - 13,Chelsea v Everton
Pedro Neto CM,9 - 13,Chelsea v Everton
Malo Gusto CM,9 - 13,Chelsea v Everton
Reece James CM,8 - 12,Chelsea v Everton
Josh Acheampong CM,8 - 12,Chelsea v Everton
Andrey Santos CM,8 - 12,Chelsea v Everton
Trevoh Chalobah CM,8 - 12,Chelsea v Everton
Robert Sanchez CM,8 - 12,Chelsea v Everton
Cole Palmer CM,7 - 10,Chelsea v Everton
Alejandro Garnacho CM,7 - 10,Chelsea v Everton
Joao Pedro CM,7 - 10,Chelsea v Everton
Marc Guiu CM,7 - 10,Chelsea v Everton
Jamie Gittens CM,5 - 8,Chelsea v Everton
Tim Iroegbunam CM,21 - 25,Chelsea v Everton
James Garner CM,18 - 22,Chelsea v Everton
Jack Grealish CM,16 - 20,Chelsea v Everton
Idrissa Gueye CM,16 - 20,Chelsea v Everton
Adam Aznou CM,15 - 19,Chelsea v Everton
Kiernan Dewsbury-Hall CM,13 - 17,Chelsea v Everton
Carlos Alcaraz CM,13 - 17,Chelsea v Everton
Nathan Patterson CM,13 - 17,Chelsea v Everton
James Tarkowski CM,13 - 17,Chelsea v Everton
Michael Keane CM,11 - 15,Chelsea v Everton
Jake O'Brien CM,11 - 15,Chelsea v Everton
Vitaliy Mykolenko CM,10 - 14,Chelsea v Everton
Tyler Dibling CM,10 - 14,Chelsea v Everton
Jordan Pickford CM,10 - 14,Chelsea v Everton
Thierno Barry CM,9 - 13,Chelsea v Everton
Iliman Ndiaye CM,8 - 12,Chelsea v Everton
Dwight McNeil CM,6 - 9,Chelsea v Everton
Beto CM,6 - 9,Chelsea v Everton
Ryan Gravenberch CM,13 - 17,Liverpool v Brighton
Alexis MacAllister CM,12 - 16,Liverpool v Brighton
Ibrahima Konate CM,11 - 15,Liverpool v Brighton
Joe Gomez CM,10 - 14,Liverpool v Brighton
Milos Kerkez CM,10 - 14,Liverpool v Brighton
Andrew Robertson CM,9 - 13,Liverpool v Brighton
Dominik Szoboszlai CM,8 - 12,Liverpool v Brighton
Virgil van Dijk CM,8 - 12,Liverpool v Brighton
Curtis Jones CM,7 - 11,Liverpool v Brighton
Florian Wirtz CM,7 - 10,Liverpool v Brighton
Alexander Isak CM,5 - 8,Liverpool v Brighton
Hugo Ekitike CM,5 - 8,Liverpool v Brighton
Federico Chiesa CM,3 - 6,Liverpool v Brighton
Mohamed Salah CM,3 - 6,Liverpool v Brighton
Alisson CM,3 - 6,Liverpool v Brighton
Carlos Baleba CM,21 - 25,Liverpool v Brighton
Mats Wieffer CM,15 - 19,Liverpool v Brighton
Jan Paul van Hecke CM,15 - 19,Liverpool v Brighton
James Milner CM,13 - 17,Liverpool v Brighton
Lewis Dunk CM,13 - 17,Liverpool v Brighton
Yankuba Minteh CM,11 - 15,Liverpool v Brighton
Diego Gomez CM,10 - 14,Liverpool v Brighton
Yasin Ayari CM,10 - 14,Liverpool v Brighton
Georginio Rutter CM,8 - 12,Liverpool v Brighton
Maxime De Cuyper CM,8 - 12,Liverpool v Brighton
Ferdi Kadioglu CM,7 - 10,Liverpool v Brighton
Danny Welbeck CM,6 - 9,Liverpool v Brighton
Bart Verbruggen CM,7 - 10,Liverpool v Brighton
Kaoru Mitoma CM,4 - 7,Liverpool v Brighton
Florentino Luis CM,15 - 19,Burnley v Fulham
Josh Cullen CM,14 - 18,Burnley v Fulham
Lesley Ugochukwu CM,13 - 17,Burnley v Fulham
Hjalmar Ekdal CM,9 - 13,Burnley v Fulham
Josh Laurent CM,9 - 13,Burnley v Fulham
Zian Flemming CM,8 - 12,Burnley v Fulham
Lyle Foster CM,8 - 12,Burnley v Fulham
Quilindschy Hartman CM,7 - 11,Burnley v Fulham
Loum Tchaouna CM,7 - 10,Burnley v Fulham
Jaidon Anthony CM,7 - 10,Burnley v Fulham
Mike Tresor CM,6 - 9,Burnley v Fulham
Joe Worrall CM,6 - 9,Burnley v Fulham
Oliver Sonne CM,6 - 9,Burnley v Fulham
Maxime Esteve CM,6 - 9,Burnley v Fulham
Marcus Edwards CM,6 - 9,Burnley v Fulham
Jacob Bruun Larsen CM,3 - 6,Burnley v Fulham
Armando Broja CM,3 - 6,Burnley v Fulham
Martin Dubravka CM,4 - 7,Burnley v Fulham
Sasa Lukic CM,18 - 22,Burnley v Fulham
Joachim Andersen CM,10 - 14,Burnley v Fulham
Sander Berge CM,10 - 14,Burnley v Fulham
Kenny Tete CM,10 - 14,Burnley v Fulham
Calvin Bassey CM,10 - 14,Burnley v Fulham
Raul Jimenez CM,9 - 13,Burnley v Fulham
Harry Wilson CM,9 - 13,Burnley v Fulham
Joshua King CM,8 - 12,Burnley v Fulham
Kevin CM,8 - 12,Burnley v Fulham
Jorge Cuenca CM,8 - 12,Burnley v Fulham
Issa Diop CM,8 - 12,Burnley v Fulham
Timothy Castagne CM,6 - 9,Burnley v Fulham
Bernd Leno CM,8 - 12,Burnley v Fulham
Alex Iwobi CM,6 - 9,Burnley v Fulham
Tom Cairney CM,6 - 9,Burnley v Fulham
Ryan Sessegnon CM,6 - 9,Burnley v Fulham
Samuel Chukwueze CM,5 - 8,Burnley v Fulham
Adama Traore CM,5 - 8,Burnley v Fulham
Emile Smith Rowe CM,4 - 7,Burnley v Fulham
Jonah Kusi-Asare CM,3 - 6,Burnley v Fulham
Christian Norgaard CM,8 - 12,Arsenal v Wolves
Myles Lewis-Skelly CM,7 - 10,Arsenal v Wolves
Piero Hincapie CM,7 - 10,Arsenal v Wolves
Martin Zubimendi CM,7 - 10,Arsenal v Wolves
Mikel Merino CM,6 - 9,Arsenal v Wolves
Declan Rice CM,6 - 9,Arsenal v Wolves
Viktor Gyokeres CM,5 - 8,Arsenal v Wolves
Bukayo Saka CM,5 - 8,Arsenal v Wolves
Jurrien Timber CM,5 - 8,Arsenal v Wolves
Martin Odegaard CM,3 - 6,Arsenal v Wolves
Leandro Trossard CM,3 - 6,Arsenal v Wolves
Ben White CM,3 - 6,Arsenal v Wolves
Ethan Nwaneri CM,3 - 6,Arsenal v Wolves
Noni Madueke CM,3 - 6,Arsenal v Wolves
Eberechi Eze CM,3 - 6,Arsenal v Wolves
David Raya CM,3 - 6,Arsenal v Wolves
Gabriel Martinelli CM,2 - 4,Arsenal v Wolves
Joao Gomes CM,22 - 26,Arsenal v Wolves
Yerson Mosquera CM,18 - 22,Arsenal v Wolves
Ladislav Krejci CM,17 - 21,Arsenal v Wolves
Toti Gomes CM,12 - 16,Arsenal v Wolves
Andre CM,12 - 16,Arsenal v Wolves
Emmanuel Agbadou CM,10 - 14,Arsenal v Wolves
Jorgen Strand Larsen CM,9 - 13,Arsenal v Wolves
Ki-Jana Hoever CM,9 - 13,Arsenal v Wolves
David Moller Wolfe CM,9 - 13,Arsenal v Wolves
Fernando Lopez CM,9 - 13,Arsenal v Wolves
Jean-Ricner Bellegarde CM,7 - 11,Arsenal v Wolves
Tolu Arokodare CM,5 - 8,Arsenal v Wolves
Hwang Hee-chan CM,7 - 10,Arsenal v Wolves
Jhon Arias CM,5 - 8,Arsenal v Wolves
Hugo Bueno CM,7 - 10,Arsenal v Wolves
Sam Johnstone CM,7 - 10,Arsenal v Wolves
Will Hughes CM,21 - 25,Crystal Palace v Man City
Daniel Munoz CM,17 - 21,Crystal Palace v Man City
Jefferson Lerma CM,17 - 21,Crystal Palace v Man City
Yeremy Pino CM,16 - 20,Crystal Palace v Man City
Eddie Nketiah CM,12 - 16,Crystal Palace v Man City
Marc Guehi CM,12 - 16,Crystal Palace v Man City
Daichi Kamada CM,10 - 14,Crystal Palace v Man City
Chris Richards CM,10 - 14,Crystal Palace v Man City
Maxence Lacroix CM,10 - 14,Crystal Palace v Man City
Adam Wharton CM,9 - 13,Crystal Palace v Man City
Nathaniel Clyne CM,9 - 13,Crystal Palace v Man City
Tyrick Mitchell CM,7 - 11,Crystal Palace v Man City
Jean-Philippe Mateta CM,7 - 10,Crystal Palace v Man City
Dean Henderson CM,7 - 10,Crystal Palace v Man City
Bernardo Silva CM,16 - 20,Crystal Palace v Man City
Nico Gonzalez CM,16 - 20,Crystal Palace v Man City
Abdukodir Khusanov CM,16 - 20,Crystal Palace v Man City
Rayan Ait-Nouri CM,13 - 17,Crystal Palace v Man City
Matheus Nunes CM,13 - 17,Crystal Palace v Man City
Ruben Dias CM,11 - 15,Crystal Palace v Man City
Nico O'Reilly CM,11 - 15,Crystal Palace v Man City
Rico Lewis CM,10 - 14,Crystal Palace v Man City
Savinho CM,9 - 13,Crystal Palace v Man City
Tijjani Reijnders CM,9 - 13,Crystal Palace v Man City
Josko Gvardiol CM,9 - 13,Crystal Palace v Man City
Omar Marmoush CM,7 - 11,Crystal Palace v Man City
Phil Foden CM,7 - 10,Crystal Palace v Man City
Nathan Ake CM,7 - 10,Crystal Palace v Man City
Rayan Cherki CM,6 - 9,Crystal Palace v Man City
Erling Haaland CM,6 - 9,Crystal Palace v Man City
Oscar Bobb CM,6 - 9,Crystal Palace v Man City
Jeremy Doku CM,6 - 9,Crystal Palace v Man City
Gianluigi Donnarumma CM,7 - 10,Crystal Palace v Man City
Morato CM,16 - 20,Nottingham Forest v Tottenham
Nicolas Dominguez CM,15 - 19,Nottingham Forest v Tottenham
Elliot Anderson CM,13 - 17,Nottingham Forest v Tottenham
Ibrahim Sangare CM,12 - 16,Nottingham Forest v Tottenham
Zach Abbott CM,12 - 16,Nottingham Forest v Tottenham
Morgan Gibbs-White CM,11 - 15,Nottingham Forest v Tottenham
Neco Williams CM,11 - 15,Nottingham Forest v Tottenham
Nicolo Savona CM,10 - 14,Nottingham Forest v Tottenham
Murillo CM,8 - 12,Nottingham Forest v Tottenham
Nikola Milenkovic CM,8 - 12,Nottingham Forest v Tottenham
Igor Jesus CM,7 - 10,Nottingham Forest v Tottenham
James McAtee CM,7 - 10,Nottingham Forest v Tottenham
Dan Ndoye CM,7 - 10,Nottingham Forest v Tottenham
Omari Hutchinson CM,5 - 8,Nottingham Forest v Tottenham
Arnaud Kalimuendo CM,4 - 7,Nottingham Forest v Tottenham
Matz Sels CM,5 - 8,Nottingham Forest v Tottenham
Callum Hudson-Odoi CM,2 - 4,Nottingham Forest v Tottenham
Douglas Luiz CM,12 - 16,Nottingham Forest v Tottenham
Oleksandr Zinchenko CM,6 - 9,Nottingham Forest v Tottenham
Rodrigo Bentancur CM,19 - 23,Nottingham Forest v Tottenham
Joao Palhinha CM,19 - 23,Nottingham Forest v Tottenham
