card_names,card_odds,contest
Lesley Ugochukwu CM,11 - 15,Burnley v Newcastle
Florentino Luis CM,12 - 16,Burnley v Newcastle
Kyle Walker CM,10 - 14,Burnley v Newcastle
Lucas Pires CM,10 - 14,Burnley v Newcastle
Josh Laurent CM,9 - 13,Burnley v Newcastle
Marcus Edwards CM,7 - 10,Burnley v Newcastle
Loum Tchaouna CM,7 - 10,Burnley v Newcastle
Hjalmar Ekdal CM,8 - 12,Burnley v Newcastle
Armando Broja CM,3 - 6,Burnley v Newcastle
Martin Dubravka CM,4 - 7,Burnley v Newcastle
Maxime Esteve CM,9 - 13,Burnley v Newcastle
Card Hotshots,19 - 23,Burnley v Newcastle
Card Hotshots (Bur),18 - 22,Burnley v Newcastle
Bruno Guimaraes CM,12 - 16,Burnley v Newcastle
Fabian Schar CM,11 - 15,Burnley v Newcastle
Joelinton CM,10 - 14,Burnley v Newcastle
Yoane Wissa CM,8 - 12,Burnley v Newcastle
Anthony Gordon CM,8 - 12,Burnley v Newcastle
Sandro Tonali CM,7 - 10,Burnley v Newcastle
Lewis Miley CM,6 - 9,Burnley v Newcastle
Malick Thiaw CM,6 - 9,Burnley v Newcastle
Lewis Hall CM,6 - 9,Burnley v Newcastle
Nick Pope CM,3 - 6,Burnley v Newcastle
Harvey Barnes CM,2.5 - 5,Burnley v Newcastle
Card Hotshots,19 - 23,Burnley v Newcastle
Card Hotshots (New),17 - 21,Burnley v Newcastle
Moises Caicedo CM,18 - 22,Chelsea v Bournemouth
Enzo Fernandez CM,13 - 17,Chelsea v Bournemouth
Wesley Fofana CM,13 - 17,Chelsea v Bournemouth
Trevoh Chalobah CM,9 - 13,Chelsea v Bournemouth
Estevao CM,8 - 12,Chelsea v Bournemouth
Cole Palmer CM,6 - 9,Chelsea v Bournemouth
Alejandro Garnacho CM,6 - 9,Chelsea v Bournemouth
Robert Sanchez CM,8 - 12,Chelsea v Bournemouth
Liam Delap CM,13 - 17,Chelsea v Bournemouth
Malo Gusto CM,10 - 14,Chelsea v Bournemouth
Josh Acheampong CM,7 - 10,Chelsea v Bournemouth
Card Hotshots,27 - 31,Chelsea v Bournemouth
Card Hotshots (Che),23 - 27,Chelsea v Bournemouth
Marcos Senesi CM,23 - 27,Chelsea v Bournemouth
Justin Kluivert CM,13 - 17,Chelsea v Bournemouth
David Brooks CM,13 - 17,Chelsea v Bournemouth
Alejandro Jimenez CM,13 - 17,Chelsea v Bournemouth
Antoine Semenyo CM,12 - 16,Chelsea v Bournemouth
Adrien Truffert CM,12 - 16,Chelsea v Bournemouth
Evanilson CM,9 - 13,Chelsea v Bournemouth
Marcus Tavernier CM,9 - 13,Chelsea v Bournemouth
Djordje Petrovic CM,5 - 8,Chelsea v Bournemouth
Alex Scott CM,15 - 19,Chelsea v Bournemouth
James Hill CM,12 - 16,Chelsea v Bournemouth
Card Hotshots,27 - 31,Chelsea v Bournemouth
Card Hotshots (Bou),26 - 30,Chelsea v Bournemouth
Morgan Gibbs-White CM,10 - 14,Nottingham Forest v Everton
Nikola Milenkovic CM,10 - 14,Nottingham Forest v Everton
Nicolas Dominguez CM,10 - 14,Nottingham Forest v Everton
Elliot Anderson CM,8 - 12,Nottingham Forest v Everton
Neco Williams CM,8 - 12,Nottingham Forest v Everton
Murillo CM,8 - 12,Nottingham Forest v Everton
Oleksandr Zinchenko CM,7 - 10,Nottingham Forest v Everton
Igor Jesus CM,6 - 9,Nottingham Forest v Everton
Omari Hutchinson CM,3 - 6,Nottingham Forest v Everton
John Victor CM,4 - 7,Nottingham Forest v Everton
Callum Hudson-Odoi CM,1 - 3,Nottingham Forest v Everton
Card Hotshots,21 - 25,Nottingham Forest v Everton
Card Hotshots (NFo),16 - 20,Nottingham Forest v Everton
Tim Iroegbunam CM,19 - 23,Nottingham Forest v Everton
Nathan Patterson CM,15 - 19,Nottingham Forest v Everton
James Garner CM,15 - 19,Nottingham Forest v Everton
Merlin Rohl CM,12 - 16,Nottingham Forest v Everton
James Tarkowski CM,9 - 13,Nottingham Forest v Everton
Thierno Barry CM,9 - 13,Nottingham Forest v Everton
Vitaliy Mykolenko CM,8 - 12,Nottingham Forest v Everton
Jake O'Brien CM,7 - 10,Nottingham Forest v Everton
Tyler Dibling CM,7 - 10,Nottingham Forest v Everton
Jordan Pickford CM,5 - 8,Nottingham Forest v Everton
Dwight McNeil CM,3 - 6,Nottingham Forest v Everton
Card Hotshots,21 - 25,Nottingham Forest v Everton
Card Hotshots (Eve),24 - 28,Nottingham Forest v Everton
Lucas Paqueta CM,15 - 19,West Ham v Brighton
Soungoutou Magassa CM,12 - 16,West Ham v Brighton
Mateus Fernandes CM,10 - 14,West Ham v Brighton
Freddie Potts CM,9 - 13,West Ham v Brighton
Jean-Clair Todibo CM,9 - 13,West Ham v Brighton
Max Kilman CM,7 - 11,West Ham v Brighton
Oliver Scarles CM,7 - 11,West Ham v Brighton
Kyle Walker-Peters CM,7 - 10,West Ham v Brighton
Callum Wilson CM,5 - 8,West Ham v Brighton
Jarrod Bowen CM,2 - 4,West Ham v Brighton
Alphonse Areola CM,2.5 - 5,West Ham v Brighton
Card Hotshots,21 - 25,West Ham v Brighton
Card Hotshots (WHU),19 - 23,West Ham v Brighton
Lewis Dunk CM,12 - 16,West Ham v Brighton
Jan Paul van Hecke CM,11 - 15,West Ham v Brighton
Yankuba Minteh CM,10 - 14,West Ham v Brighton
Diego Gomez CM,9 - 13,West Ham v Brighton
Danny Welbeck CM,7 - 11,West Ham v Brighton
Maxime De Cuyper CM,7 - 11,West Ham v Brighton
Ferdi Kadioglu CM,6 - 9,West Ham v Brighton
Bart Verbruggen CM,9 - 13,West Ham v Brighton
Yasin Ayari CM,6 - 9,West Ham v Brighton
Joel Veltman CM,12 - 16,West Ham v Brighton
Card Hotshots,21 - 25,West Ham v Brighton
Card Hotshots (Bri),19 - 23,West Ham v Brighton
Gabriel Jesus CM,18 - 22,Arsenal v Aston Villa
Piero Hincapie CM,15 - 19,Arsenal v Aston Villa
Christian Norgaard CM,15 - 19,Arsenal v Aston Villa
Myles Lewis-Skelly CM,15 - 19,Arsenal v Aston Villa
Riccardo Calafiori CM,13 - 17,Arsenal v Aston Villa
Martin Zubimendi CM,13 - 17,Arsenal v Aston Villa
Kai Havertz CM,11 - 15,Arsenal v Aston Villa
Mikel Merino CM,11 - 15,Arsenal v Aston Villa
Declan Rice CM,10 - 14,Arsenal v Aston Villa
Gabriel Magalhaes CM,9 - 13,Arsenal v Aston Villa
Jurrien Timber CM,8 - 12,Arsenal v Aston Villa
Bukayo Saka CM,7 - 10,Arsenal v Aston Villa
Viktor Gyokeres CM,6 - 9,Arsenal v Aston Villa
Leandro Trossard CM,6 - 9,Arsenal v Aston Villa
William Saliba CM,6 - 9,Arsenal v Aston Villa
Martin Odegaard CM,6 - 9,Arsenal v Aston Villa
Gabriel Martinelli CM,5 - 8,Arsenal v Aston Villa
Noni Madueke CM,4 - 7,Arsenal v Aston Villa
Ethan Nwaneri CM,4 - 7,Arsenal v Aston Villa
Eberechi Eze CM,3 - 6,Arsenal v Aston Villa
David Raya CM,5 - 8,Arsenal v Aston Villa
Lamare Bogarde CM,16 - 20,Arsenal v Aston Villa
Morgan Rogers CM,15 - 19,Arsenal v Aston Villa
