card_names,card_odds,contest
Morgan Rogers CM,15 - 19,Aston Villa v Arsenal
Boubacar Kamara CM,15 - 19,Aston Villa v Arsenal
Lamare Bogarde CM,15 - 19,Aston Villa v Arsenal
Amadou Onana CM,14 - 18,Aston Villa v Arsenal
Matty Cash CM,14 - 18,Aston Villa v Arsenal
Ian Maatsen CM,14 - 18,Aston Villa v Arsenal
John McGinn CM,12 - 16,Aston Villa v Arsenal
Lucas Digne CM,11 - 15,Aston Villa v Arsenal
Youri Tielemans CM,11 - 15,Aston Villa v Arsenal
Ezri Konsa CM,9 - 13,Aston Villa v Arsenal
Pau Torres CM,9 - 13,Aston Villa v Arsenal
Emiliano Buendia CM,7 - 11,Aston Villa v Arsenal
Ollie Watkins CM,7 - 10,Aston Villa v Arsenal
Donyell Malen CM,7 - 10,Aston Villa v Arsenal
Evann Guessand CM,7 - 10,Aston Villa v Arsenal
Emiliano Martinez CM,9 - 13,Aston Villa v Arsenal
Jadon Sancho CM,6 - 9,Aston Villa v Arsenal
Marco Bizot CM,7 - 10,Aston Villa v Arsenal
Myles Lewis-Skelly CM,18 - 22,Aston Villa v Arsenal
Piero Hincapie CM,18 - 22,Aston Villa v Arsenal
Martin Zubimendi CM,18 - 22,Aston Villa v Arsenal
Christian Norgaard CM,18 - 22,Aston Villa v Arsenal
Riccardo Calafiori CM,17 - 21,Aston Villa v Arsenal
Declan Rice CM,15 - 19,Aston Villa v Arsenal
Mikel Merino CM,13 - 17,Aston Villa v Arsenal
Jurrien Timber CM,12 - 16,Aston Villa v Arsenal
Bukayo Saka CM,9 - 13,Aston Villa v Arsenal
Cristhian Mosquera CM,9 - 13,Aston Villa v Arsenal
Viktor Gyokeres CM,8 - 12,Aston Villa v Arsenal
William Saliba CM,8 - 12,Aston Villa v Arsenal
Leandro Trossard CM,7 - 11,Aston Villa v Arsenal
Ethan Nwaneri CM,6 - 9,Aston Villa v Arsenal
Gabriel Martinelli CM,6 - 9,Aston Villa v Arsenal
Martin Odegaard CM,6 - 9,Aston Villa v Arsenal
Noni Madueke CM,6 - 9,Aston Villa v Arsenal
Eberechi Eze CM,4 - 7,Aston Villa v Arsenal
David Raya CM,6 - 9,Aston Villa v Arsenal
Marcos Senesi CM,20 - 24,Bournemouth v Chelsea
Alex Jimenez CM,17 - 21,Bournemouth v Chelsea
Adam Smith CM,17 - 21,Bournemouth v Chelsea
Alex Scott CM,13 - 17,Bournemouth v Chelsea
Bafode Diakite CM,12 - 16,Bournemouth v Chelsea
Veljko Milosavljevic CM,12 - 16,Bournemouth v Chelsea
Justin Kluivert CM,12 - 16,Bournemouth v Chelsea
Amine Adli CM,12 - 16,Bournemouth v Chelsea
Antoine Semenyo CM,11 - 15,Bournemouth v Chelsea
David Brooks CM,10 - 14,Bournemouth v Chelsea
Adrien Truffert CM,7 - 11,Bournemouth v Chelsea
Enes Unal CM,7 - 10,Bournemouth v Chelsea
Evanilson CM,7 - 10,Bournemouth v Chelsea
Marcus Tavernier CM,7 - 10,Bournemouth v Chelsea
Eli Junior Kroupi CM,6 - 9,Bournemouth v Chelsea
Djordje Petrovic CM,6 - 9,Bournemouth v Chelsea
Julio Soler CM,2 - 4,Bournemouth v Chelsea
Liam Delap CM,21 - 25,Bournemouth v Chelsea
Wesley Fofana CM,19 - 23,Bournemouth v Chelsea
Enzo Fernandez CM,17 - 21,Bournemouth v Chelsea
Marc Cucurella CM,16 - 20,Bournemouth v Chelsea
Andrey Santos CM,12 - 16,Bournemouth v Chelsea
Estevao CM,12 - 16,Bournemouth v Chelsea
Joao Pedro CM,12 - 16,Bournemouth v Chelsea
Trevoh Chalobah CM,12 - 16,Bournemouth v Chelsea
Tosin Adarabioyo CM,12 - 16,Bournemouth v Chelsea
Malo Gusto CM,11 - 15,Bournemouth v Chelsea
Jamie Gittens CM,10 - 14,Bournemouth v Chelsea
Jorrel Hato CM,10 - 14,Bournemouth v Chelsea
Benoit Badiashile CM,9 - 13,Bournemouth v Chelsea
Alejandro Garnacho CM,9 - 13,Bournemouth v Chelsea
Pedro Neto CM,9 - 13,Bournemouth v Chelsea
Reece James CM,9 - 13,Bournemouth v Chelsea
Cole Palmer CM,8 - 12,Bournemouth v Chelsea
Josh Acheampong CM,8 - 12,Bournemouth v Chelsea
Robert Sanchez CM,11 - 15,Bournemouth v Chelsea
Marc Guiu CM,3 - 6,Bournemouth v Chelsea
James Garner CM,16 - 20,Everton v Nottingham Forest
Carlos Alcaraz CM,12 - 16,Everton v Nottingham Forest
James Tarkowski CM,12 - 16,Everton v Nottingham Forest
Jack Grealish CM,11 - 15,Everton v Nottingham Forest
Kiernan Dewsbury-Hall CM,11 - 15,Everton v Nottingham Forest
Nathan Patterson CM,10 - 14,Everton v Nottingham Forest
Adam Aznou CM,10 - 14,Everton v Nottingham Forest
Thierno Barry CM,7 - 11,Everton v Nottingham Forest
Tyler Dibling CM,7 - 11,Everton v Nottingham Forest
Jake O'Brien CM,7 - 11,Everton v Nottingham Forest
Vitaliy Mykolenko CM,7 - 11,Everton v Nottingham Forest
