card_names,card_odds,contest
Stefanos Tzimas CM,13 - 17,Brighton v Leeds
Carlos Baleba CM,13 - 17,Brighton v Leeds
Mats Wieffer CM,12 - 16,Brighton v Leeds
Jan Paul van Hecke CM,11 - 15,Brighton v Leeds
Joel Veltman CM,11 - 15,Brighton v Leeds
James Milner CM,9 - 13,Brighton v Leeds
Lewis Dunk CM,8 - 12,Brighton v Leeds
Danny Welbeck CM,7 - 10,Brighton v Leeds
Diego Coppola CM,7 - 10,Brighton v Leeds
Maxime De Cuyper CM,7 - 10,Brighton v Leeds
Yasin Ayari CM,6 - 9,Brighton v Leeds
Diego Gomez CM,6 - 9,Brighton v Leeds
Yankuba Minteh CM,6 - 9,Brighton v Leeds
Georginio Rutter CM,6 - 9,Brighton v Leeds
Ferdi Kadioglu CM,6 - 9,Brighton v Leeds
Charalampos Kostoulas CM,6 - 9,Brighton v Leeds
Olivier Boscagli CM,5 - 8,Brighton v Leeds
Tom Watson CM,2.5 - 5,Brighton v Leeds
Kaoru Mitoma CM,2.5 - 5,Brighton v Leeds
Bart Verbruggen CM,4 - 7,Brighton v Leeds
Jayden Bogle CM,19 - 23,Brighton v Leeds
Ethan Ampadu CM,18 - 22,Brighton v Leeds
Anton Stach CM,14 - 18,Brighton v Leeds
Jaka Bijol CM,14 - 18,Brighton v Leeds
Wilfried Gnonto CM,12 - 16,Brighton v Leeds
Ilia Gruev CM,12 - 16,Brighton v Leeds
James Justin CM,11 - 15,Brighton v Leeds
Pascal Struijk CM,11 - 15,Brighton v Leeds
Joe Rodon CM,10 - 14,Brighton v Leeds
Gabriel Gudmondsson CM,10 - 14,Brighton v Leeds
Ao Tanaka CM,10 - 14,Brighton v Leeds
Sean Longstaff CM,9 - 13,Brighton v Leeds
Lukas Nmecha CM,9 - 13,Brighton v Leeds
Noah Okafor CM,7 - 11,Brighton v Leeds
Daniel James CM,7 - 11,Brighton v Leeds
Dominic Calvert-Lewin CM,7 - 11,Brighton v Leeds
Joel Piroe CM,7 - 10,Brighton v Leeds
Brenden Aaronson CM,4 - 7,Brighton v Leeds
Jack Harrison CM,4 - 7,Brighton v Leeds
Lucas Perri CM,4 - 7,Brighton v Leeds
Lesley Ugochukwu CM,18 - 22,Burnley v Arsenal
Josh Cullen CM,13 - 17,Burnley v Arsenal
Axel Tuanzebe CM,12 - 16,Burnley v Arsenal
Lucas Pires CM,12 - 16,Burnley v Arsenal
Joe Worrall CM,11 - 15,Burnley v Arsenal
Ashley Barnes CM,11 - 15,Burnley v Arsenal
Florentino Luis CM,11 - 15,Burnley v Arsenal
Oliver Sonne CM,10 - 14,Burnley v Arsenal
Hannibal Mejbri CM,10 - 14,Burnley v Arsenal
Josh Laurent CM,10 - 14,Burnley v Arsenal
Hannes Delcroix CM,9 - 13,Burnley v Arsenal
Lyle Foster CM,8 - 12,Burnley v Arsenal
Jaydon Banel CM,8 - 12,Burnley v Arsenal
Quilindschy Hartman CM,8 - 12,Burnley v Arsenal
Jaidon Anthony CM,8 - 12,Burnley v Arsenal
Bashir Humphreys CM,7 - 10,Burnley v Arsenal
Kyle Walker CM,7 - 10,Burnley v Arsenal
Zian Flemming CM,7 - 10,Burnley v Arsenal
Hjalmar Ekdal CM,6 - 9,Burnley v Arsenal
Marcus Edwards CM,6 - 9,Burnley v Arsenal
Loum Tchaouna CM,5 - 8,Burnley v Arsenal
Mike Tresor CM,3 - 6,Burnley v Arsenal
Maxime Esteve CM,3 - 6,Burnley v Arsenal
Max Weiss CM,3 - 6,Burnley v Arsenal
Armando Broja CM,2 - 4,Burnley v Arsenal
Vaclav Hladky CM,2.5 - 5,Burnley v Arsenal
Martin Dubravka CM,2.5 - 5,Burnley v Arsenal
Jacob Bruun Larsen CM,1 - 3,Burnley v Arsenal
Christian Norgaard CM,13 - 17,Burnley v Arsenal
Piero Hincapie CM,12 - 16,Burnley v Arsenal
Mikel Merino CM,9 - 13,Burnley v Arsenal
Martin Zubimendi CM,8 - 12,Burnley v Arsenal
Myles Lewis-Skelly CM,8 - 12,Burnley v Arsenal
Jurrien Timber CM,8 - 12,Burnley v Arsenal
Declan Rice CM,8 - 12,Burnley v Arsenal
Riccardo Calafiori CM,7 - 11,Burnley v Arsenal
Gabriel Magalhaes CM,7 - 10,Burnley v Arsenal
Ben White CM,7 - 10,Burnley v Arsenal
Bukayo Saka CM,6 - 9,Burnley v Arsenal
Max Dowman CM,6 - 9,Burnley v Arsenal
William Saliba CM,5 - 8,Burnley v Arsenal
Leandro Trossard CM,4 - 7,Burnley v Arsenal
Viktor Gyokeres CM,4 - 7,Burnley v Arsenal
Gabriel Martinelli CM,3 - 6,Burnley v Arsenal
Ethan Nwaneri CM,3 - 6,Burnley v Arsenal
Cristhian Mosquera CM,2.5 - 5,Burnley v Arsenal
Eberechi Eze CM,2.5 - 5,Burnley v Arsenal
Kepa Arrizabalaga CM,3 - 6,Burnley v Arsenal
David Raya CM,3 - 6,Burnley v Arsenal
Will Hughes CM,18 - 22,Crystal Palace v Brentford
Daniel Munoz CM,16 - 20,Crystal Palace v Brentford
Yeremy Pino CM,14 - 18,Crystal Palace v Brentford
Jefferson Lerma CM,14 - 18,Crystal Palace v Brentford
Marc Guehi CM,11 - 15,Crystal Palace v Brentford
Daichi Kamada CM,10 - 14,Crystal Palace v Brentford
Maxence Lacroix CM,10 - 14,Crystal Palace v Brentford
Jaydee Canvot CM,9 - 13,Crystal Palace v Brentford
Chris Richards CM,9 - 13,Crystal Palace v Brentford
Borna Sosa CM,8 - 12,Crystal Palace v Brentford
Tyrick Mitchell CM,7 - 11,Crystal Palace v Brentford
Adam Wharton CM,7 - 10,Crystal Palace v Brentford
Jean-Philippe Mateta CM,7 - 10,Crystal Palace v Brentford
Justin Devenny CM,6 - 9,Crystal Palace v Brentford
Ismaila Sarr CM,6 - 9,Crystal Palace v Brentford
Nathaniel Clyne CM,6 - 9,Crystal Palace v Brentford
Romaine Esse CM,5 - 8,Crystal Palace v Brentford
Dean Henderson CM,6 - 9,Crystal Palace v Brentford
Walter Benitez CM,3 - 6,Crystal Palace v Brentford
Frank Onyeka CM,17 - 21,Crystal Palace v Brentford
Igor Thiago CM,15 - 19,Crystal Palace v Brentford
Jordan Henderson CM,15 - 19,Crystal Palace v Brentford
Kristoffer Ajer CM,15 - 19,Crystal Palace v Brentford
Keane Lewis-Potter CM,13 - 17,Crystal Palace v Brentford
Vitaly Janelt CM,13 - 17,Crystal Palace v Brentford
Yehor Yarmolyuk CM,12 - 16,Crystal Palace v Brentford
Nathan Collins CM,11 - 15,Crystal Palace v Brentford
Kevin Schade CM,10 - 14,Crystal Palace v Brentford
Michael Kayode CM,10 - 14,Crystal Palace v Brentford
Mathias Jensen CM,10 - 14,Crystal Palace v Brentford
Sepp van den Berg CM,9 - 13,Crystal Palace v Brentford
Rico Henry CM,9 - 13,Crystal Palace v Brentford
Dango Ouattara CM,8 - 12,Crystal Palace v Brentford
