card_names,card_odds,contest
Bruno Guimaraes CM,15 - 19,Newcastle v Chelsea
Anthony Gordon CM,15 - 19,Newcastle v Chelsea
Joelinton CM,15 - 19,Newcastle v Chelsea
Fabian Schar CM,9 - 13,Newcastle v Chelsea
Sandro Tonali CM,8 - 12,Newcastle v Chelsea
Jacob Ramsey CM,8 - 12,Newcastle v Chelsea
Lewis Miley CM,7 - 11,Newcastle v Chelsea
Malick Thiaw CM,7 - 10,Newcastle v Chelsea
Yoane Wissa CM,7 - 10,Newcastle v Chelsea
Joe Willock CM,6 - 9,Newcastle v Chelsea
Nick Woltemade CM,6 - 9,Newcastle v Chelsea
Lewis Hall CM,6 - 9,Newcastle v Chelsea
Sven Botman CM,4 - 7,Newcastle v Chelsea
Anthony Elanga CM,2.5 - 5,Newcastle v Chelsea
Aaron Ramsdale CM,3 - 6,Newcastle v Chelsea
Jacob Murphy CM,2 - 4,Newcastle v Chelsea
Harvey Barnes CM,2 - 4,Newcastle v Chelsea
Moises Caicedo CM,23 - 27,Newcastle v Chelsea
Wesley Fofana CM,19 - 23,Newcastle v Chelsea
Enzo Fernandez CM,16 - 20,Newcastle v Chelsea
Malo Gusto CM,16 - 20,Newcastle v Chelsea
Marc Cucurella CM,16 - 20,Newcastle v Chelsea
Pedro Neto CM,12 - 16,Newcastle v Chelsea
Reece James CM,11 - 15,Newcastle v Chelsea
Estevao CM,11 - 15,Newcastle v Chelsea
Tosin Adarabioyo CM,11 - 15,Newcastle v Chelsea
Andrey Santos CM,11 - 15,Newcastle v Chelsea
Trevoh Chalobah CM,11 - 15,Newcastle v Chelsea
Jorrel Hato CM,9 - 13,Newcastle v Chelsea
Benoit Badiashile CM,9 - 13,Newcastle v Chelsea
Cole Palmer CM,9 - 13,Newcastle v Chelsea
Alejandro Garnacho CM,9 - 13,Newcastle v Chelsea
Joao Pedro CM,9 - 13,Newcastle v Chelsea
Josh Acheampong CM,8 - 12,Newcastle v Chelsea
Robert Sanchez CM,11 - 15,Newcastle v Chelsea
Marc Guiu CM,7 - 10,Newcastle v Chelsea
Jamie Gittens CM,5 - 8,Newcastle v Chelsea
Marcos Senesi CM,15 - 19,Bournemouth v Burnley
Julian Araujo CM,13 - 17,Bournemouth v Burnley
Tyler Adams CM,13 - 17,Bournemouth v Burnley
David Brooks CM,12 - 16,Bournemouth v Burnley
Alex Scott CM,12 - 16,Bournemouth v Burnley
Justin Kluivert CM,11 - 15,Bournemouth v Burnley
Adam Smith CM,11 - 15,Bournemouth v Burnley
Amine Adli CM,10 - 14,Bournemouth v Burnley
Bafode Diakite CM,9 - 13,Bournemouth v Burnley
Antoine Semenyo CM,8 - 12,Bournemouth v Burnley
James Hill CM,7 - 10,Bournemouth v Burnley
Alejandro Jimenez CM,7 - 10,Bournemouth v Burnley
Evanilson CM,6 - 9,Bournemouth v Burnley
Enes Unal CM,6 - 9,Bournemouth v Burnley
Adrien Truffert CM,6 - 9,Bournemouth v Burnley
Marcus Tavernier CM,5 - 8,Bournemouth v Burnley
Julio Soler CM,5 - 8,Bournemouth v Burnley
Eli Junior Kroupi CM,4 - 7,Bournemouth v Burnley
Djordje Petrovic CM,3 - 6,Bournemouth v Burnley
Lesley Ugochukwu CM,23 - 27,Bournemouth v Burnley
Josh Cullen CM,18 - 22,Bournemouth v Burnley
Florentino Luis CM,16 - 20,Bournemouth v Burnley
Josh Laurent CM,15 - 19,Bournemouth v Burnley
Joe Worrall CM,15 - 19,Bournemouth v Burnley
Jaidon Anthony CM,12 - 16,Bournemouth v Burnley
Oliver Sonne CM,12 - 16,Bournemouth v Burnley
Quilindschy Hartman CM,12 - 16,Bournemouth v Burnley
Zian Flemming CM,9 - 13,Bournemouth v Burnley
Marcus Edwards CM,9 - 13,Bournemouth v Burnley
Hjalmar Ekdal CM,9 - 13,Bournemouth v Burnley
