card_names,card_odds,contest
Alexis MacAllister CM,16 - 20,Liverpool v Everton
Conor Bradley CM,16 - 20,Liverpool v Everton
Ibrahima Konate CM,14 - 18,Liverpool v Everton
Ryan Gravenberch CM,12 - 16,Liverpool v Everton
Florian Wirtz CM,11 - 15,Liverpool v Everton
Milos Kerkez CM,10 - 14,Liverpool v Everton
Dominik Szoboszlai CM,10 - 14,Liverpool v Everton
Joe Gomez CM,10 - 14,Liverpool v Everton
Wataru Endo CM,8 - 12,Liverpool v Everton
Andrew Robertson CM,7 - 10,Liverpool v Everton
Virgil van Dijk CM,7 - 10,Liverpool v Everton
Cody Gakpo CM,7 - 10,Liverpool v Everton
Jeremie Frimpong CM,7 - 10,Liverpool v Everton
Rio Ngumoha CM,5 - 8,Liverpool v Everton
Hugo Ekitike CM,5 - 8,Liverpool v Everton
Federico Chiesa CM,5 - 8,Liverpool v Everton
Alexander Isak CM,3 - 6,Liverpool v Everton
Mohamed Salah CM,2.5 - 5,Liverpool v Everton
Alisson CM,2.5 - 5,Liverpool v Everton
Tim Iroegbunam CM,25 - 29,Liverpool v Everton
Idrissa Gueye CM,21 - 25,Liverpool v Everton
Nathan Patterson CM,17 - 21,Liverpool v Everton
Jack Grealish CM,17 - 21,Liverpool v Everton
James Garner CM,17 - 21,Liverpool v Everton
Jake O'Brien CM,17 - 21,Liverpool v Everton
James Tarkowski CM,17 - 21,Liverpool v Everton
Michael Keane CM,14 - 18,Liverpool v Everton
Carlos Alcaraz CM,14 - 18,Liverpool v Everton
Kiernan Dewsbury-Hall CM,14 - 18,Liverpool v Everton
Tyler Dibling CM,14 - 18,Liverpool v Everton
Seamus Coleman CM,11 - 15,Liverpool v Everton
Vitaliy Mykolenko CM,11 - 15,Liverpool v Everton
Thierno Barry CM,9 - 13,Liverpool v Everton
Jordan Pickford CM,12 - 16,Liverpool v Everton
Iliman Ndiaye CM,9 - 13,Liverpool v Everton
Adam Aznou CM,7 - 10,Liverpool v Everton
Dwight McNeil CM,6 - 9,Liverpool v Everton
Beto CM,5 - 8,Liverpool v Everton
Merlin Röhl CM,14 - 18,Liverpool v Everton
Jarrad Branthwaite CM,12 - 16,Liverpool v Everton
Carlos Baleba CM,22 - 26,Brighton v Tottenham
James Milner CM,16 - 20,Brighton v Tottenham
Jan Paul van Hecke CM,15 - 19,Brighton v Tottenham
Joel Veltman CM,15 - 19,Brighton v Tottenham
Yankuba Minteh CM,13 - 17,Brighton v Tottenham
Yasin Ayari CM,12 - 16,Brighton v Tottenham
