card_names,card_odds,contest
Neco Williams CM,12 - 16,Nottingham Forest v Man City
Murillo CM,10 - 14,Nottingham Forest v Man City
Morgan Gibbs-White CM,10 - 14,Nottingham Forest v Man City
Nicolo Savona CM,10 - 14,Nottingham Forest v Man City
Igor Jesus CM,7 - 10,Nottingham Forest v Man City
Omari Hutchinson CM,6 - 9,Nottingham Forest v Man City
James McAtee CM,6 - 9,Nottingham Forest v Man City
Arnaud Kalimuendo CM,5 - 8,Nottingham Forest v Man City
John CM,7 - 10,Nottingham Forest v Man City
Matz Sels CM,5 - 8,Nottingham Forest v Man City
Taiwo Awoniyi CM,3 - 6,Nottingham Forest v Man City
Callum Hudson-Odoi CM,2.5 - 5,Nottingham Forest v Man City
Bernardo Silva CM,15 - 19,Nottingham Forest v Man City
Nico Gonzalez CM,15 - 19,Nottingham Forest v Man City
Nico O'Reilly CM,9 - 13,Nottingham Forest v Man City
Matheus Nunes CM,9 - 13,Nottingham Forest v Man City
Savinho CM,8 - 12,Nottingham Forest v Man City
Josko Gvardiol CM,7 - 11,Nottingham Forest v Man City
Ruben Dias CM,7 - 11,Nottingham Forest v Man City
Gianluigi Donnarumma CM,10 - 14,Nottingham Forest v Man City
Tijjani Reijnders CM,7 - 10,Nottingham Forest v Man City
Rico Lewis CM,7 - 10,Nottingham Forest v Man City
Phil Foden CM,7 - 10,Nottingham Forest v Man City
Rayan Cherki CM,4 - 7,Nottingham Forest v Man City
James Trafford CM,6 - 9,Nottingham Forest v Man City
Erling Haaland CM,3 - 6,Nottingham Forest v Man City
Gabriel Jesus CM,13 - 17,Arsenal v Brighton
Christian Norgaard CM,13 - 17,Arsenal v Brighton
Piero Hincapie CM,11 - 15,Arsenal v Brighton
Riccardo Calafiori CM,11 - 15,Arsenal v Brighton
Kai Havertz CM,9 - 13,Arsenal v Brighton
Martin Zubimendi CM,9 - 13,Arsenal v Brighton
Mikel Merino CM,8 - 12,Arsenal v Brighton
Myles Lewis-Skelly CM,7 - 11,Arsenal v Brighton
Declan Rice CM,7 - 10,Arsenal v Brighton
