assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,8,0,0.8,594,0.0,0.03,0.03,0.96,1,2,0,3.0,8.6,2023-08-11,60,13,0,0,0,0,1,0,11392,1,3,0,21.0,2,0,0,0,55,True,0,594,,,0,1,0.0612575747072696,66,FW,Burnley,Manchester City,0,3,22275,2023,603613,0.0,0,0,0,0.0612575747072696,0.2169287949800491,0.1556712239980697,11701,Burnley,Zeki Amdouni,Zeki Amdouni,5,2,1,0.4,FWD
0,0,3,0,2.6,594,0.02,0.07,0.05,2.49,25,3,0,1.6,3.6,2023-08-27,80,2,0,0,0,0,3,0,12888,1,3,1,10.0,2,-634,1296,1930,55,True,0,594,,,0,2,0.0496373809874057,84,FW,Burnley,Aston Villa,1,3,22302,2023,607447,0.0,0,0,0,0.0496373809874057,0.0496373809874057,0.0,11701,Burnley,Zeki Amdouni,Zeki Amdouni,3,2,3,1.5,FWD
0,0,7,0,15.8,594,0.18,0.21,0.03,1.35,34,3,0,3.5,14.0,2023-09-02,59,18,0,0,0,0,4,0,12509,1,5,2,5.0,1,-784,1086,1870,55,True,0,594,,,0,1,0.0226836558431386,65,FW,Burnley,Tottenham,2,5,21929,2023,608684,0.4399324953556061,0,1,0,0.0226836558431386,1.0354710817337036,0.5728549361228943,11701,Burnley,Zeki Amdouni,Zeki Amdouni,3,2,4,1.2,FWD
0,2,28,0,1.4,594,0.01,0.17,0.16,0.52,47,1,1,5.5,35.4,2023-09-18,63,16,0,0,0,0,5,0,11600,1,1,1,18.0,8,-1272,942,2214,54,False,0,594,,,1,3,0.1234044358134269,66,AMC,Nottingham Forest,Burnley,1,1,21944,2023,611605,0.0,0,0,1,0.1234044358134269,0.1234044358134269,0.0,11701,Burnley,Zeki Amdouni,Zeki Amdouni,2,2,5,3.2,FWD
0,0,2,0,11.8,594,0.01,0.47,0.46,0.49,54,1,0,3.6,3.2,2023-09-23,72,14,0,0,0,0,6,0,14727,1,1,0,21.0,2,2777,4208,1431,54,True,0,594,,,0,2,0.4378433525562286,76,FW,Burnley,Manchester United,0,1,21950,2023,612523,0.0485338270664215,0,1,0,0.4378433525562286,0.5191059112548828,0.0327287204563617,11701,Burnley,Zeki Amdouni,Zeki Amdouni,3,2,6,2.2,FWD
0,0,-3,0,0.0,594,0.0,0.3,0.3,1.91,66,1,0,2.1,2.4,2023-09-30,57,15,0,0,0,0,7,0,49441,1,0,2,19.0,0,30154,34182,4028,54,False,1,594,,,0,2,0.4473260045051574,60,FW,Newcastle United,Burnley,2,0,21958,2023,614682,0.0,0,0,0,0.4473260045051574,0.4473260045051574,0.0,11701,Burnley,Zeki Amdouni,Zeki Amdouni,2,4,7,5.0,FWD
0,0,4,1,22.8,594,0.03,0.32,0.29,1.0,15,0,0,8.5,15.8,2023-10-03,73,12,0,0,0,0,7,0,49441,1,2,1,46.0,2,30154,34182,4028,54,False,0,594,,,0,2,0.2008216083049774,78,FWL,Luton,Burnley,1,2,22289,2023,615892,0.0430491305887699,0,2,0,0.2008216083049774,0.110928863286972,0.0,11701,Burnley,Zeki Amdouni,Zeki Amdouni,2,2,7,5.0,FWD
0,0,5,0,3.9,594,0.16,0.29,0.13,2.99,83,2,0,2.5,9.8,2023-10-21,75,4,0,0,0,0,9,0,26465,1,0,3,11.0,2,-6439,929,7368,54,False,0,594,,,0,2,0.0729261711239814,80,AMC,Brentford,Burnley,3,0,21977,2023,618115,0.0,0,0,0,0.0729261711239814,0.1158733516931533,0.0710967555642128,11701,Burnley,Zeki Amdouni,Zeki Amdouni,2,2,9,0.5,FWD
0,0,2,0,0.8,594,0.0,0.22,0.22,0.9,93,1,0,1.0,2.0,2023-10-28,45,3,0,0,0,0,10,0,23350,1,1,2,7.0,1,-3299,1422,4721,54,False,0,594,,,0,1,0.1325671970844268,49,FW,Bournemouth,Burnley,2,1,21985,2023,619889,0.0,0,0,0,0.1325671970844268,0.0,0.0,11701,Burnley,Zeki Amdouni,Zeki Amdouni,2,2,10,0.7,FWD
0,0,3,0,3.6,594,0.02,0.17,0.15,0.97,102,1,0,2.5,1.2,2023-11-04,77,8,0,0,0,0,11,0,20764,1,2,0,20.0,2,-2848,1638,4486,54,True,0,594,,,0,2,0.2410291582345962,80,FW,Burnley,Crystal Palace,0,2,21996,2023,621559,0.0,0,0,0,0.2410291582345962,0.1555967181921005,0.1555967181921005,11701,Burnley,Zeki Amdouni,Zeki Amdouni,2,2,11,1.2,FWD
