assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,4,0,0.3,330,0.0,0.0,0.0,1.97,92,2,0,0.7,7.0,2023-10-29,56,2,0,0,0,0,10,0,1031,1,1,3,0.0,0,13,58,45,44,False,0,330,,,0,0,0.0,58,DC,Aston Villa,Luton,3,1,21987,2023,620458,0.0,0,0,0,0.0,0.0,0.0,12151,Luton,Gabriel Osho,Gabriel Osho,2,4,10,-0.5,DEF
0,0,11,0,0.0,330,0.0,0.0,0.0,3.04,105,1,0,2.1,20.8,2023-11-05,90,11,0,0,0,0,11,0,1055,1,1,1,0.0,2,-5,63,68,44,True,0,330,,,0,0,0.0,90,DC,Luton,Liverpool,1,1,21999,2023,622350,0.0,0,0,0,0.0,0.0,0.0,12151,Luton,Gabriel Osho,Gabriel Osho,4,2,11,-0.3,DEF
0,0,10,0,1.3,330,0.0,0.0,0.0,2.12,118,1,0,2.0,16.8,2023-11-11,90,14,0,0,0,0,12,0,1188,1,0,1,2.0,2,97,148,51,44,False,0,330,,,0,0,0.0,90,DC,Manchester United,Luton,1,0,22012,2023,623244,0.0,0,0,0,0.0,0.0,0.0,12151,Luton,Gabriel Osho,Gabriel Osho,2,4,12,0.3,DEF
0,0,12,0,0.6,330,0.0,0.0,0.0,1.68,125,1,0,2.2,21.0,2023-11-25,90,8,0,0,0,0,13,0,1571,1,1,2,0.0,1,284,383,99,44,True,1,330,,,0,0,0.0,90,DC,Luton,Crystal Palace,2,1,22019,2023,624866,0.0,0,0,0,0.0,0.0,0.0,12151,Luton,Gabriel Osho,Gabriel Osho,2,2,13,1.2,DEF
0,0,12,0,0.5,330,0.01,0.01,0.0,3.47,133,3,0,4.1,36.8,2023-12-02,90,4,0,0,0,0,14,0,1587,1,1,3,4.0,1,22,209,187,44,False,0,330,,,0,0,0.0,90,DC,Brentford,Luton,3,1,22027,2023,626514,0.0,0,0,0,0.0,0.020296711474657,0.020296711474657,12151,Luton,Gabriel Osho,Gabriel Osho,2,2,14,1.0,DEF
0,0,29,0,0.2,330,0.0,0.16,0.16,2.44,146,4,1,7.8,60.8,2023-12-05,90,1,0,0,0,0,15,0,1849,1,4,3,17.0,6,213,350,137,44,True,0,330,,,1,1,0.3188660442829132,90,DC,Luton,Arsenal,3,4,22039,2023,627903,0.0,0,0,1,0.3188660442829132,0.0946392193436622,0.0946392193436622,12151,Luton,Gabriel Osho,Gabriel Osho,5,2,15,1.5,DEF
0,0,23,1,0.2,330,0.0,0.0,0.0,1.68,175,0,0,2.7,26.6,2023-12-23,90,15,0,0,0,0,18,0,2135,1,0,1,0.0,6,-167,111,278,44,True,0,330,,,0,0,0.0,90,DC,Luton,Newcastle United,1,0,22069,2023,632637,0.0,0,0,0,0.0,0.0735124126076698,0.0735124126076698,12151,Luton,Gabriel Osho,Gabriel Osho,3,2,18,1.8,DEF
0,0,12,0,0.3,330,0.0,0.0,0.0,2.59,190,2,0,1.5,15.0,2023-12-26,90,17,0,0,0,0,19,0,3336,1,3,2,0.0,1,1070,1216,146,44,False,0,330,,,0,0,0.0,90,DC,Sheffield United,Luton,2,3,22084,2023,632960,0.0,0,0,0,0.0,0.048685859888792,0.048685859888792,12151,Luton,Gabriel Osho,Gabriel Osho,2,2,19,2.8,DEF
0,0,11,0,0.2,330,0.0,0.0,0.0,1.5,195,3,0,1.2,9.6,2023-12-30,90,7,0,0,0,0,20,0,3471,1,3,2,2.0,1,71,724,653,44,True,0,330,,,0,0,0.0,90,DC,Luton,Chelsea,2,3,22089,2023,633366,0.0,0,0,0,0.0,0.7148272395133972,0.7148272395133972,12151,Luton,Gabriel Osho,Gabriel Osho,3,2,20,2.3,DEF
0,0,22,0,1.3,330,0.01,0.01,0.0,0.99,205,1,0,1.9,17.8,2024-01-12,90,6,0,0,0,0,21,0,4085,1,1,1,0.0,2,421,1231,810,44,False,0,330,,,0,0,0.0,90,DC,Burnley,Luton,1,1,22096,2023,634545,0.0,0,0,0,0.0,0.1382357776165008,0.1382357776165008,12151,Luton,Gabriel Osho,Gabriel Osho,2,2,21,0.8,DEF
