assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,3,27,0,1.8,611,0.01,0.48,0.47,1.28,9,1,1,8.6,47.0,2023-08-13,90,11,0,0,0,0,1,0,19786,1,1,1,37.0,11,0,0,0,50,True,0,611,,,1,2,0.6732882261276245,90,DC,Chelsea,Liverpool,1,1,22283,2023,604407,0.0,0,0,1,0.6732882261276245,0.9005272388458252,0.9005272388458252,6885,Chelsea,Axel Disasi,Axel Disasi,4,3,1,1.8,DEF
0,0,6,0,2.8,611,0.03,0.03,0.0,1.8,19,3,0,1.7,12.6,2023-08-20,90,19,0,0,0,0,2,0,430533,1,1,3,2.0,0,271640,285594,13954,50,False,1,611,,,0,0,0.0,90,DC,West Ham,Chelsea,3,1,22293,2023,605912,0.0,0,0,0,0.0,0.0955910235643386,0.0955910235643386,6885,Chelsea,Axel Disasi,Axel Disasi,3,3,2,5.5,DEF
0,0,29,1,1.3,611,0.01,0.06,0.05,0.43,26,0,0,3.9,20.6,2023-08-25,90,12,0,0,0,0,3,0,554386,1,0,3,17.0,6,101489,175366,73877,51,True,0,611,,,0,1,0.0296668726950883,90,DC,Chelsea,Luton,3,0,22295,2023,606584,0.0,0,0,0,0.0296668726950883,1.129324436187744,1.129324436187744,6885,Chelsea,Axel Disasi,Axel Disasi,2,3,3,6.2,DEF
0,0,13,0,13.9,611,0.74,0.89,0.15,0.71,35,1,0,3.5,13.2,2023-09-02,90,16,0,0,0,0,4,0,716414,1,1,0,8.0,2,134786,182765,47979,51,True,0,611,,,0,2,0.0769055187702179,90,DC,Chelsea,Nottingham Forest,0,1,21930,2023,608740,0.0646416172385215,0,1,0,0.0769055187702179,0.8175824284553528,0.8027409315109253,6885,Chelsea,Axel Disasi,Axel Disasi,2,3,4,4.8,DEF
0,0,23,1,1.0,611,0.0,0.0,0.0,1.19,42,0,0,2.8,26.6,2023-09-17,90,3,0,0,0,0,5,0,706232,1,0,0,0.0,5,-18376,53066,71442,51,False,1,611,,,0,0,0.0,90,DC,Bournemouth,Chelsea,0,0,21942,2023,610976,0.0,0,0,0,0.0,0.0257323179394006,0.0257323179394006,6885,Chelsea,Axel Disasi,Axel Disasi,3,2,5,4.3,DEF
0,0,11,0,12.7,611,0.13,0.15,0.02,1.04,55,1,0,3.4,15.4,2023-09-24,90,2,0,0,0,0,6,0,708800,1,1,0,6.0,2,-3091,38929,42020,51,True,0,611,,,0,1,0.0303229261189699,90,DC,Chelsea,Aston Villa,0,1,21947,2023,612737,0.092720091342926,0,1,0,0.0303229261189699,1.129451870918274,1.0991289615631104,6885,Chelsea,Axel Disasi,Axel Disasi,3,3,6,3.0,DEF
0,0,25,1,0.1,611,0.0,0.08,0.08,1.08,64,0,0,1.7,13.0,2023-10-02,90,10,0,0,0,0,7,0,674154,1,2,0,4.0,6,-36921,34032,70953,51,False,0,611,,,0,1,0.0437047891318798,90,DC,Fulham,Chelsea,0,2,21964,2023,615825,0.0,0,0,0,0.0437047891318798,0.0811678692698478,0.0811678692698478,6885,Chelsea,Axel Disasi,Axel Disasi,3,3,7,4.3,DEF
0,0,13,0,4.0,611,0.19,0.19,0.0,0.75,73,1,0,2.5,21.4,2023-10-07,90,6,0,0,0,0,8,0,725530,1,4,1,0.0,2,33034,79804,46770,51,False,0,611,,,0,0,0.0,90,DC,Burnley,Chelsea,1,4,21967,2023,616389,0.0,0,0,0,0.0,0.0991616025567054,0.0991616025567054,6885,Chelsea,Axel Disasi,Axel Disasi,3,2,8,3.8,DEF
0,0,12,0,10.9,611,0.06,0.06,0.0,0.53,95,1,0,1.8,6.6,2023-10-28,66,4,0,0,0,0,10,0,534342,1,2,0,0.0,2,-53453,5201,58654,51,True,0,611,,,0,0,0.0,70,DR,Chelsea,Brentford,0,2,21989,2023,619556,0.0,0,0,0,0.0,0.6622148752212524,0.6622148752212524,6885,Chelsea,Axel Disasi,Axel Disasi,2,3,10,1.3,DEF
0,0,9,0,0.4,611,0.0,0.01,0.01,0.94,110,1,0,1.4,9.6,2023-11-06,90,18,0,0,0,0,11,0,483740,1,4,1,4.0,2,-51874,2801,54675,51,False,0,611,,,0,1,0.0218452326953411,90,DC,Tottenham,Chelsea,1,4,22004,2023,622766,0.0,0,0,0,0.0218452326953411,0.6060768365859985,0.6060768365859985,6885,Chelsea,Axel Disasi,Axel Disasi,3,4,11,1.3,DEF
