assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,2,0,0.1,626,0.0,0.0,0.0,0.4,29,0,0,0.2,2.2,2023-08-27,13,15,0,0,0,0,3,0,4054,0,2,1,0.0,1,-251,251,502,40,False,0,626,,,Jarell Quansah,0,0,0.0,9,Sub,Newcastle United,Liverpool,1,2,22304,2023,607710,0.0,0,0,0,0.0,0.0,0.0,10187,Liverpool,Jarell Quansah,Jarell Quansah,4,4,3,0.3,DEF
0,0,3,0,0.1,626,0.0,0.0,0.0,0.08,37,0,0,0.4,3.8,2023-09-03,19,2,0,0,0,0,4,0,5460,0,0,3,0.0,1,632,1139,507,40,True,0,626,,,Jarell Quansah,0,0,0.0,14,Sub,Liverpool,Aston Villa,3,0,21933,2023,609379,0.0,0,0,0,0.0,0.0,0.0,10187,Liverpool,Jarell Quansah,Jarell Quansah,3,5,4,1.0,DEF
0,0,22,0,1.9,626,0.01,0.01,0.0,0.51,50,1,0,2.6,23.6,2023-09-16,82,20,0,0,0,0,5,0,7418,1,3,1,0.0,2,1058,1807,749,40,False,0,626,,,Jarell Quansah,0,0,0.0,85,DC,Wolverhampton Wanderers,Liverpool,1,3,21935,2023,610072,0.0,0,0,0,0.0,0.1605861485004425,0.1605861485004425,10187,Liverpool,Jarell Quansah,Jarell Quansah,4,2,5,1.8,DEF
0,0,5,0,0.3,626,0.0,0.0,0.0,0.01,117,0,0,0.5,4.4,2023-11-12,1,4,0,0,0,0,12,0,11391,0,0,3,0.0,1,-65,549,614,40,True,0,626,,,Jarell Quansah,0,0,0.0,1,Sub,Liverpool,Brentford,3,0,22011,2023,623849,0.0,0,0,0,0.0,0.0,0.0,10187,Liverpool,Jarell Quansah,Jarell Quansah,2,5,12,0.8,DEF
0,0,4,0,1.4,626,0.01,0.01,0.0,0.53,153,0,0,0.2,1.0,2023-12-09,56,8,0,0,0,0,16,0,11792,1,2,1,0.0,1,236,725,489,40,False,0,626,,,Jarell Quansah,0,0,0.0,62,DC,Crystal Palace,Liverpool,1,2,22047,2023,628429,0.0,0,0,0,0.0,0.0853547230362892,0.0853547230362892,10187,Liverpool,Jarell Quansah,Jarell Quansah,4,2,16,0.9,DEF
0,0,21,1,1.9,626,0.01,0.07,0.06,0.76,185,0,0,1.4,8.2,2023-12-26,90,6,0,0,0,0,19,0,12464,1,2,0,4.0,6,196,627,431,40,False,0,626,,,Jarell Quansah,0,1,0.035428375005722,90,DC,Burnley,Liverpool,0,2,22079,2023,633021,0.0,0,0,0,0.035428375005722,0.4084608554840088,0.4084608554840088,10187,Liverpool,Jarell Quansah,Jarell Quansah,4,2,19,2.2,DEF
0,0,13,0,1.3,626,0.01,0.05,0.04,1.33,234,1,0,2.5,19.6,2024-02-10,90,6,0,0,0,0,24,0,16898,1,1,3,4.0,1,2281,3432,1151,40,True,1,626,,,Jarell Quansah,0,1,0.0633465275168418,90,DC,Liverpool,Burnley,3,1,22128,2023,640089,0.0,0,0,0,0.0633465275168418,0.6812161207199097,0.6812161207199097,10187,Liverpool,Jarell Quansah,Jarell Quansah,2,5,24,0.7,DEF
0,0,12,0,0.8,626,0.01,0.01,0.0,1.03,257,1,0,1.3,12.4,2024-02-21,90,12,0,0,0,0,25,0,19473,1,1,4,0.0,2,2416,5288,2872,40,True,0,626,,,Jarell Quansah,0,0,0.0,90,DC,Liverpool,Luton,4,1,22151,2023,642837,0.0,0,0,0,0.0,0.575888991355896,0.575888991355896,10187,Liverpool,Jarell Quansah,Jarell Quansah,2,5,25,2.7,DEF
0,0,15,0,1.3,626,0.01,0.03,0.02,1.61,277,1,0,2.8,19.8,2024-03-10,90,13,0,0,0,0,28,0,17273,1,1,1,7.0,2,-810,490,1300,40,True,0,626,,,Jarell Quansah,0,1,0.0244447272270917,90,DC,Liverpool,Manchester City,1,1,22171,2023,647460,0.0,0,0,0,0.0244447272270917,0.576430082321167,0.5519853830337524,10187,Liverpool,Jarell Quansah,Jarell Quansah,5,5,28,0.5,DEF
0,0,14,0,13.8,626,0.02,0.02,0.0,0.44,295,1,0,3.9,23.0,2024-03-31,90,5,0,0,0,0,30,0,20795,1,1,2,2.0,2,2877,4161,1284,40,True,0,626,,,Jarell Quansah,0,0,0.0,90,DC,Liverpool,Brighton,2,1,22189,2023,650329,0.0271047931164503,0,1,0,0.0,0.8145934343338013,0.8145934343338013,10187,Liverpool,Jarell Quansah,Jarell Quansah,2,5,30,1.8,DEF
