assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,fpl_id,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,24,0,21.5,663,0.12,0.14,0.02,1.36,17,2,1,7.7,42.8,2023-08-18,90,16,0,0,0,0,2,0,1826,1,1,2,13.0,6,1419,1474,55,50,False,1,1,1,0.0205855797976255,90,Nottingham Forest,Sheffield United,2,1,22285,2023,604797,0.0527561269700527,0,1,1,0.0205855797976255,0.0,0.0,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,2,2,2,1.2,MID
0,0,9,0,10.6,663,0.02,0.16,0.14,3.52,30,2,0,2.3,6.0,2023-08-27,90,13,0,0,0,0,3,0,10260,1,2,1,6.0,2,5450,6568,1118,50,True,0,0,1,0.0165246948599815,90,Sheffield United,Manchester City,1,2,22303,2023,607475,0.0455817766487598,0,1,0,0.0165246948599815,0.0621064715087413,0.0,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,5,2,3,2.5,MID
0,0,15,0,27.8,663,0.09,0.35,0.26,2.59,40,2,0,6.6,14.6,2023-09-02,90,9,0,0,0,0,4,0,14791,1,2,2,24.0,2,3715,5413,1698,50,True,0,0,2,0.1430710703134536,90,Sheffield United,Everton,2,2,21926,2023,608342,0.1044207289814949,0,2,0,0.1430710703134536,0.3363532125949859,0.0888614133000373,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,2,2,4,2.8,MID
0,2,31,1,40.7,663,0.19,0.27,0.08,1.32,48,0,1,10.7,49.4,2023-09-16,80,18,0,0,0,0,5,0,12805,1,1,2,17.0,10,-2168,1359,3527,50,False,0,1,1,0.0831794068217277,84,Tottenham,Sheffield United,2,1,21936,2023,611543,0.5043005347251892,0,3,1,0.0831794068217277,0.1649759262800216,0.0817965194582939,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,2,4,5,4.2,MID
0,0,5,0,10.8,663,0.0,0.1,0.1,2.45,60,5,0,2.2,2.0,2023-09-24,65,15,0,0,0,0,6,0,27285,1,8,0,9.0,2,12875,15181,2306,50,True,0,0,2,0.1248991265892982,72,Sheffield United,Newcastle United,0,8,21954,2023,613083,0.018942529335618,0,1,0,0.1248991265892982,0.1555341482162475,0.0548073947429657,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,3,2,6,3.0,MID
0,0,15,0,47.8,663,0.25,0.3,0.05,1.67,69,2,0,6.8,11.4,2023-09-30,78,19,0,0,0,0,7,0,26848,1,0,2,9.0,2,20,4733,4713,50,False,0,0,2,0.076852448284626,82,West Ham,Sheffield United,2,0,21960,2023,614742,0.1337267756462097,0,3,0,0.076852448284626,0.2851259410381317,0.1691572070121765,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,2,3,7,3.2,MID
0,0,8,0,5.3,663,0.03,0.05,0.02,1.75,76,1,0,1.5,6.2,2023-10-07,65,10,0,0,0,0,8,0,32306,1,1,3,3.0,2,4358,8412,4054,50,False,0,0,1,0.0227297097444534,81,Fulham,Sheffield United,3,1,21970,2023,616453,0.0,0,0,0,0.0227297097444534,0.0127752674743533,0.0127752674743533,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,2,3,8,1.5,MID
0,0,1,0,2.5,663,0.1,0.14,0.04,0.98,89,2,0,1.0,2.6,2023-10-21,83,14,0,0,0,0,9,0,29942,1,2,1,5.0,2,-2280,2320,4600,50,True,0,0,3,0.035319123417139,90,Sheffield United,Manchester United,1,2,21983,2023,618470,0.0,0,0,0,0.035319123417139,0.0769860446453094,0.0416669249534606,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,3,2,9,1.0,MID
0,0,4,0,10.6,663,0.0,0.01,0.01,1.5,91,3,0,2.5,10.6,2023-10-28,82,1,0,0,0,0,10,0,26777,1,0,5,4.0,2,-3202,862,4064,50,False,0,0,1,0.0147468512877821,86,Arsenal,Sheffield United,5,0,21986,2023,619921,0.0134085398167371,0,1,0,0.0147468512877821,0.0281553920358419,0.0134085398167371,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,2,5,10,1.0,MID
0,0,6,0,13.1,663,0.05,0.08,0.03,1.33,109,1,0,1.6,0.0,2023-11-04,89,20,0,0,0,0,11,0,25305,1,1,2,3.0,1,-1617,1148,2765,50,True,1,0,1,0.0263269674032926,90,Sheffield United,Wolverhampton Wanderers,2,1,22003,2023,621470,0.0230037793517112,0,1,0,0.0263269674032926,0.0359836369752883,0.0129798585548996,663,11839,Sheffield United,Gustavo Hamer,Gustavo Hamer,2,2,11,1.2,MID
