assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2023-10-21,0,16,0,0,0,0,9,0,0,0,2,2,0.0,0,0,0,0,45,False,0,729,,,Jayden Luker,0,0,0.0,90,DR,Sheffield United,Manchester United,1,2,21983,2023,618463,0.0,0,0,0,0.0,0.0171293094754219,0.0171293094754219,21983,Manchester United,Jayden Luker,Jayden Bogle,2,2,9,0.7,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2023-11-25,0,8,0,0,0,0,13,0,329,0,1,2,0.0,0,34,97,63,45,True,0,729,,,Jayden Luker,0,0,0.0,50,DMR,Sheffield United,Bournemouth,1,3,22023,2023,624962,0.0,0,0,0,0.0,0.0,0.0,22023,Manchester United,Jayden Luker,Jayden Bogle,2,2,13,-0.5,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2023-12-02,0,4,0,0,0,0,14,0,368,0,1,3,0.0,0,21,67,46,45,False,0,729,,,Jayden Luker,0,0,0.0,66,Sub,Burnley,Sheffield United,5,0,22028,2023,626495,0.0,0,0,0,0.0,0.0,0.0,22028,Manchester United,Jayden Luker,Jayden Bogle,2,2,14,-0.5,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,195,0,0,0.0,0.0,2023-12-30,0,7,0,0,0,0,20,0,399,0,3,2,0.0,0,-16,27,43,45,True,0,729,,,Jayden Luker,0,2,0.1136912330985069,90,DMR,Manchester City,Sheffield United,2,0,22090,2023,633506,0.0929811745882034,0,1,0,0.1136912330985069,0.1780642569065094,0.0929811745882034,22090,Manchester United,Jayden Luker,Jayden Bogle,3,2,20,-0.5,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,214,0,0,0.0,0.0,2024-01-30,0,5,0,0,0,0,22,0,369,0,0,4,0.0,0,-29,15,44,45,True,0,729,,,Jayden Luker,0,0,0.0,90,DR,Crystal Palace,Sheffield United,3,2,22112,2023,637851,0.1086621209979057,0,1,0,0.0,0.1643316447734832,0.0556695312261581,22112,Manchester United,Jayden Luker,Jayden Bogle,2,2,22,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,229,0,0,0.0,0.0,2024-02-03,0,15,0,0,0,0,23,0,351,0,4,4,0.0,0,-20,0,20,45,False,0,729,,,Jayden Luker,0,1,0.0266537331044673,90,DR,Sheffield United,Aston Villa,0,5,22124,2023,638728,0.0,0,0,0,0.0266537331044673,0.0266537331044673,0.0,22124,Manchester United,Jayden Luker,Jayden Bogle,2,4,23,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,235,0,0,0.0,0.0,2024-02-10,0,17,0,0,0,0,24,0,331,0,3,1,0.0,0,-20,0,20,45,True,0,729,,,Jayden Luker,0,0,0.0,90,DR,Luton,Sheffield United,1,3,22129,2023,640164,0.0,0,0,0,0.0,0.0566565617918968,0.0566565617918968,22129,Manchester United,Jayden Luker,Jayden Bogle,2,2,24,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2024-02-18,0,14,0,0,0,0,25,0,308,0,2,1,0.0,0,-21,0,21,45,True,0,729,,,Jayden Luker,0,2,0.0604854896664619,90,DMR,Sheffield United,Brighton,0,5,22143,2023,642320,0.1041208133101463,0,1,0,0.0604854896664619,0.1457002162933349,0.0,22143,Manchester United,Jayden Luker,Jayden Bogle,3,2,25,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,276,0,0,0.0,0.0,2024-03-09,0,8,0,0,0,0,28,0,269,0,1,1,0.0,0,-10,0,10,45,False,0,729,,,Jayden Luker,0,2,0.1350374370813369,73,DMR,Bournemouth,Sheffield United,2,2,22165,2023,646643,0.0,0,0,0,0.1350374370813369,0.1350374370813369,0.0,22165,Manchester United,Jayden Luker,Jayden Bogle,2,2,28,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,300,0,0,0.0,0.0,2024-03-30,0,18,0,0,0,0,30,0,262,0,1,2,0.0,0,-4,0,4,45,False,0,729,,,Jayden Luker,0,2,0.1002291291952133,90,DMR,Sheffield United,Fulham,3,3,22193,2023,649827,0.0,0,0,0,0.1002291291952133,0.1002291291952133,0.0,22193,Manchester United,Jayden Luker,Jayden Bogle,2,4,30,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,327,0,0,0.0,0.0,2024-04-13,0,13,0,0,0,0,33,0,257,0,1,5,0.0,0,-2,0,2,45,False,0,729,,,Jayden Luker,0,2,0.1439913064241409,77,DMR,Brentford,Sheffield United,2,0,22217,2023,653219,0.0,0,0,0,0.1439913064241409,0.2146901786327362,0.0706988722085952,22217,Manchester United,Jayden Luker,Jayden Bogle,2,5,33,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,336,0,0,0.0,0.0,2024-04-20,0,4,0,0,0,0,34,0,251,0,5,1,0.0,0,-6,0,6,45,True,0,729,,,Jayden Luker,0,2,0.1450632810592651,90,DR,Sheffield United,Burnley,1,4,22232,2023,654864,0.0,0,0,0,0.1450632810592651,0.7220591306686401,0.6090980172157288,22232,Manchester United,Jayden Luker,Jayden Bogle,2,2,34,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,350,0,0,0.0,0.0,2024-04-27,0,20,0,0,0,0,35,0,249,0,1,2,0.0,0,-2,0,2,45,False,0,729,,,Jayden Luker,0,0,0.0,90,DMR,Newcastle United,Sheffield United,5,1,22240,2023,657024,0.0,0,0,0,0.0,0.0380299724638462,0.0380299724638462,22240,Manchester United,Jayden Luker,Jayden Bogle,2,2,35,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,369,0,0,0.0,0.0,2024-05-11,0,19,0,0,0,0,37,0,245,0,1,3,0.0,0,-2,0,2,45,False,0,729,,,Jayden Luker,0,1,0.0177711863070726,90,DMR,Everton,Sheffield United,1,0,22257,2023,660553,0.0243620853871107,0,1,0,0.0177711863070726,0.1732416003942489,0.1488795131444931,22257,Manchester United,Jayden Luker,Jayden Bogle,2,3,37,0.0,MID,0
0,0,0,0,0.0,729,0.0,0.0,0.0,0.0,378,0,0,0.0,0.0,2024-05-19,0,10,0,0,0,0,38,0,245,0,4,2,0.0,0,0,0,0,45,True,0,729,,,Jayden Luker,0,0,0.0,90,DR,Sheffield United,Tottenham,0,3,22274,2023,663112,0.0,0,0,0,0.0,0.0,0.0,22274,Manchester United,Jayden Luker,Jayden Bogle,2,2,38,0.0,MID,0
