assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,-2,0,0.3,582,0.0,0.26,0.26,2.88,4,3,0,1.0,0.0,2023-08-12,87,5,0,0,0,0,1,0,4946,1,1,4,12.0,2,0,0,0,50,False,0,582,,,0,2,0.9032046794891356,89,MC,Brighton,Luton,4,1,22278,2023,603778,0.0,0,0,0,0.9032046794891356,0.9032046794891356,0.0,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,3,1,1.1,MID
0,0,4,0,0.3,582,0.0,0.01,0.01,0.08,26,0,0,0.4,1.2,2023-08-25,13,7,0,0,0,0,3,0,4952,0,0,3,2.0,1,-338,352,690,50,False,0,582,,,0,1,0.0517932847142219,11,Sub,Chelsea,Luton,3,0,22295,2023,606607,0.0,0,0,0,0.0517932847142219,0.0,0.0,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,3,3,1.0,MID
0,0,2,0,1.4,582,0.56,0.56,0.0,0.2,38,1,0,0.8,1.0,2023-09-01,19,19,0,0,0,0,4,0,4494,0,2,1,6.0,1,-635,163,798,49,True,0,582,,,0,0,0.0,17,Sub,Luton,West Ham,1,2,21925,2023,608286,0.0,0,0,0,0.0,0.0,0.0,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,2,4,0.8,MID
0,0,3,0,0.3,582,0.02,0.02,0.0,0.05,44,0,0,0.2,1.4,2023-09-16,15,10,0,0,0,0,5,0,4170,0,0,1,0.0,1,-479,106,585,49,False,0,582,,,0,0,0.0,14,Sub,Fulham,Luton,1,0,21939,2023,610425,0.0,0,0,0,0.0,0.0,0.0,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,3,5,0.5,MID
0,0,4,0,13.4,582,0.35,0.45,0.1,0.45,58,0,0,2.5,2.0,2023-09-23,33,20,0,0,0,0,6,0,4093,0,1,1,10.0,1,-137,216,353,49,True,0,582,,,0,2,0.0948953926563263,28,Sub,Luton,Wolverhampton Wanderers,1,1,21945,2023,612188,0.1181363314390182,0,1,0,0.0948953926563263,0.2429849654436111,0.2252347469329834,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,2,6,0.5,MID
0,0,5,0,1.5,582,0.02,0.02,0.0,2.9,63,1,0,1.0,8.2,2023-09-30,90,9,0,0,0,0,7,0,4579,1,2,1,0.0,2,340,744,404,49,False,0,582,,,0,0,0.0,90,MC,Everton,Luton,1,2,21956,2023,614590,0.0,0,0,0,0.0,0.0265557169914245,0.0265557169914245,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,2,7,2.5,MID
0,0,3,0,17.5,582,0.19,0.24,0.05,1.04,15,2,0,3.0,5.2,2023-10-03,90,6,0,0,0,0,7,0,4579,1,2,1,7.0,2,340,744,404,49,True,0,582,,,0,2,0.0439801923930645,90,MC,Luton,Burnley,1,2,22289,2023,615874,0.0697392299771308,0,1,0,0.0439801923930645,0.1439563333988189,0.0999761372804641,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,2,7,2.5,MID
0,0,15,0,25.1,582,0.16,0.16,0.0,1.99,77,1,0,4.3,18.2,2023-10-07,66,18,0,0,0,0,8,0,4382,1,1,0,0.0,2,-208,428,636,49,True,0,582,,,0,0,0.0,71,MC,Luton,Tottenham,0,1,21971,2023,616122,0.3044523298740387,0,2,0,0.0,0.3817496299743652,0.0772972926497459,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,3,2,8,1.3,MID
0,0,8,0,0.9,582,0.0,0.02,0.02,2.87,88,1,0,0.6,3.8,2023-10-21,71,16,0,0,0,0,9,0,4030,1,2,2,1.0,2,-370,117,487,48,False,0,582,,,0,1,0.0135555500164628,75,MC,Nottingham Forest,Luton,2,2,21982,2023,618082,0.0,0,0,0,0.0135555500164628,0.3006133735179901,0.3006133735179901,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,2,9,1.5,MID
0,0,3,0,0.3,582,0.01,0.01,0.0,0.42,92,0,0,0.1,0.2,2023-10-29,14,2,0,0,0,0,10,0,3871,0,1,3,0.0,1,-191,86,277,48,False,0,582,,,0,0,0.0,13,Sub,Aston Villa,Luton,3,1,21987,2023,620467,0.0,0,0,0,0.0,0.0,0.0,11716,Luton,Pelly Ruddock Mpanzu,Pelly Ruddock Mpanzu,2,4,10,1.3,MID
