assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,fpl_id,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,3,0,0.1,803,0.0,0.16,0.16,0.15,230,0,0,0.3,0.0,2024-02-03,9,17,0,0,0,0,23,0,184,0,5,0,4.0,1,178,183,5,50,False,0,0,1,0.1315088123083114,5,Sheffield United,Aston Villa,0,5,22124,2023,638756,0.0,0,0,0,0.1315088123083114,0.1315088123083114,0.0,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,3,2,23,2.4,MID
0,0,4,0,0.0,803,0.0,0.12,0.12,0.0,252,0,0,0.6,1.2,2024-02-24,1,16,0,0,0,0,26,0,517,0,2,4,5.0,1,23,140,117,50,True,0,0,1,0.1284843683242797,1,Aston Villa,Nottingham Forest,4,2,22147,2023,643188,0.0,0,0,0,0.1284843683242797,0.1284843683242797,0.0,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,2,4,26,0.0,MID
0,0,2,0,22.2,803,0.07,0.1,0.03,2.15,265,2,0,4.7,8.2,2024-03-02,49,12,0,0,0,0,27,0,518,0,3,2,17.0,0,-26,74,100,50,False,1,0,1,0.0695747509598732,59,Luton,Aston Villa,2,3,22159,2023,645172,0.2292220294475555,0,2,0,0.0695747509598732,0.3601596653461456,0.1738989353179931,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,3,2,27,1.2,MID
0,0,3,0,2.9,803,0.06,0.12,0.06,1.25,289,1,0,2.1,7.0,2024-03-17,62,19,0,0,0,0,29,0,853,1,1,1,11.0,2,51,94,43,50,False,0,0,1,0.0396758243441581,66,West Ham,Aston Villa,1,1,22183,2023,648761,0.0,0,0,0,0.0396758243441581,0.0560970604419708,0.0164212342351675,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,3,3,29,1.3,MID
0,0,10,1,0.7,803,0.0,0.0,0.0,1.31,291,0,0,1.0,7.6,2024-03-30,62,20,0,0,0,0,30,0,690,1,0,2,2.0,3,-10,52,62,50,True,0,0,0,0.0,65,Aston Villa,Wolverhampton Wanderers,2,0,22186,2023,650019,0.0,0,0,0,0.0,0.0,0.0,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,2,4,30,1.7,MID
1,0,22,0,26.9,803,0.03,0.03,0.0,3.28,309,4,0,5.8,27.0,2024-04-03,90,13,0,0,0,0,31,0,743,1,1,4,4.0,5,22,76,54,50,False,0,0,0,0.0,90,Manchester City,Aston Villa,4,1,22204,2023,651201,0.4278061389923095,1,2,0,0.0,0.5436486005783081,0.4569716155529022,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,3,5,31,2.0,MID
0,0,21,0,4.8,803,0.01,0.63,0.62,1.56,311,3,1,7.4,38.2,2024-04-06,68,4,0,0,0,0,32,0,1084,1,3,3,31.0,7,298,397,99,50,True,0,1,3,0.336581826210022,71,Aston Villa,Brentford,3,3,22205,2023,651687,0.0,0,0,1,0.336581826210022,0.1994222551584243,0.0,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,2,4,32,3.9,MID
0,0,3,1,7.6,803,0.03,0.08,0.05,1.62,321,0,0,1.7,7.0,2024-04-14,90,1,0,0,0,0,33,0,1488,1,2,0,2.0,2,317,529,212,50,False,1,0,1,0.0339214652776718,90,Arsenal,Aston Villa,0,2,22216,2023,654050,0.0,0,0,0,0.0339214652776718,0.0339214652776718,0.0,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,3,5,33,3.3,MID
0,0,24,0,11.9,803,0.07,0.32,0.25,1.69,331,1,1,10.0,37.4,2024-04-21,90,3,0,0,0,0,34,0,1781,1,1,3,51.0,7,238,462,224,50,True,0,1,2,0.2712324857711792,90,Aston Villa,Bournemouth,3,1,22225,2023,655480,0.018130337819457,0,1,1,0.2712324857711792,1.7476915121078491,1.4583287239074707,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,2,4,34,5.3,MID
0,0,18,0,31.0,803,0.05,0.11,0.06,1.37,341,2,1,9.4,41.8,2024-04-27,90,7,0,0,0,0,35,0,2615,1,2,2,21.0,6,727,964,237,50,True,1,1,1,0.0755947157740593,90,Aston Villa,Chelsea,2,2,22236,2023,657251,0.1793122440576553,0,3,1,0.0755947157740593,0.4272873699665069,0.1723804026842117,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,3,4,35,5.9,MID
0,0,4,0,10.3,803,0.01,0.01,0.0,0.17,353,0,0,1.5,2.4,2024-05-05,25,5,0,0,0,0,36,0,5192,1,0,1,2.0,1,2423,2731,308,50,False,0,0,0,0.0,25,Brighton,Aston Villa,1,0,22247,2023,659410,0.0502806417644023,0,1,0,0.0,0.0502806417644023,0.0,803,12412,Aston Villa,Morgan Rogers,Morgan Rogers,3,3,36,4.5,MID
