assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
1,0,10,0,0.8,267,0.0,0.0,0.0,0.6,5,0,0,0.3,0.6,2023-08-12,32,9,0,0,0,0,1,0,93427,0,1,0,2.0,4,0,0,0,55,False,0,267,,,Andreas Hoelgebaum Pereira,0,0,0.0,31,Sub,Everton,Fulham,0,1,22279,2023,603812,0.0,0,0,0,0.0,0.0662107020616531,0.0662107020616531,22279,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,2,1,1.5,MID,4
0,0,8,0,11.3,267,0.01,0.03,0.02,1.94,13,2,0,2.0,2.6,2023-08-19,67,4,0,0,0,0,2,0,105836,1,3,0,6.0,2,4046,13051,9005,55,True,0,267,,,Andreas Hoelgebaum Pereira,0,1,0.0103937834501266,70,MC,Fulham,Brentford,0,3,22287,2023,605090,0.0170274246484041,0,1,0,0.0103937834501266,0.0594777166843414,0.0320565104484558,22287,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,3,2,3.0,MID,2
0,0,25,1,10.3,267,0.0,0.02,0.02,1.53,21,0,1,5.2,35.0,2023-08-26,62,1,0,0,0,0,3,0,90370,1,2,2,7.0,8,-16255,3081,19336,55,False,0,267,,,Andreas Hoelgebaum Pereira,1,1,0.0133548574522137,65,MC,Arsenal,Fulham,2,2,22297,2023,606938,0.0229491759091615,0,1,1,0.0133548574522137,0.257680207490921,0.2213761806488037,22297,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,5,3,4.2,MID,8
0,0,1,0,19.4,267,0.03,0.03,0.0,2.26,39,5,0,2.3,1.4,2023-09-02,90,13,0,0,0,0,4,0,84928,1,1,5,2.0,1,-6779,6122,12901,55,False,1,267,,,Andreas Hoelgebaum Pereira,0,0,0.0,90,MC,Manchester City,Fulham,5,1,21927,2023,608727,0.0485595241189003,0,1,0,0.0,0.0134675800800323,0.0134675800800323,21927,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,5,4,2.8,MID,1
0,0,14,1,59.7,267,0.36,0.36,0.0,0.86,44,0,0,7.4,10.2,2023-09-16,80,12,0,0,0,0,5,0,134032,1,0,1,4.0,3,42490,55511,13021,55,True,0,267,,,Andreas Hoelgebaum Pereira,0,0,0.0,82,MC,Fulham,Luton,1,0,21939,2023,610403,0.6202740669250488,0,4,0,0.0,0.1536118239164352,0.0400543138384819,21939,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,3,5,4.5,MID,3
0,0,3,1,12.3,267,0.04,0.21,0.17,0.18,56,0,0,4.5,12.0,2023-09-23,74,8,0,0,0,0,6,0,122677,1,0,0,21.0,3,-9517,9202,18719,55,False,0,267,,,Andreas Hoelgebaum Pereira,0,2,0.1629024744033813,79,MC,Crystal Palace,Fulham,0,0,21948,2023,612138,0.068928837776184,0,1,0,0.1629024744033813,0.2009744644165039,0.046229500323534,21948,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,2,6,3.8,MID,3
0,0,3,0,29.3,267,0.07,0.07,0.0,1.69,64,2,0,3.6,2.2,2023-10-02,74,7,0,0,0,0,7,0,109299,1,2,0,4.0,1,-13684,5801,19485,55,True,1,267,,,Andreas Hoelgebaum Pereira,0,0,0.0,77,MC,Fulham,Chelsea,0,2,21964,2023,615812,0.056220032274723,0,2,0,0.0,0.0838808491826057,0.0838808491826057,21964,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,3,3,7,2.3,MID,1
1,0,13,0,20.4,267,0.21,0.5,0.29,0.55,76,1,0,5.1,16.6,2023-10-07,70,17,0,0,0,0,8,0,127555,1,1,3,14.0,5,12163,26443,14280,55,True,0,267,,,Andreas Hoelgebaum Pereira,0,3,0.5851292610168457,86,MC,Fulham,Sheffield United,3,1,21970,2023,616435,0.5233655571937561,1,1,0,0.5851292610168457,1.2536810636520386,0.1451862305402755,21970,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,3,8,3.5,MID,5
0,0,4,0,28.8,267,0.05,0.05,0.0,0.83,90,1,0,3.4,3.6,2023-10-23,45,18,0,0,0,0,9,0,107342,1,0,2,2.0,1,-16270,3369,19639,55,False,0,267,,,Andreas Hoelgebaum Pereira,0,0,0.0,48,AMC,Tottenham,Fulham,2,0,21984,2023,619299,0.0621341057121753,0,2,0,0.0,0.0112180924043059,0.0112180924043059,21984,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,4,9,2.3,MID,1
0,0,2,0,12.6,267,0.02,0.32,0.3,0.71,94,0,0,4.4,5.6,2023-10-29,32,5,0,0,0,0,10,0,91887,0,1,1,26.0,1,-15659,1065,16724,55,False,0,267,,,Andreas Hoelgebaum Pereira,0,3,0.2397787570953369,30,Sub,Brighton,Fulham,1,1,21988,2023,620652,0.0191308092325925,0,1,0,0.2397787570953369,0.3754961192607879,0.135717362165451,21988,Fulham,Andreas Hoelgebaum Pereira,Andreas Pereira,2,3,10,2.3,MID,1
