h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.57303,2.33007,1.57303,2.33007,"{'att': 278, 'def': 24}","{'att': 149, 'def': 17}",8,9,2,4,0.8954,l,2025-08-15 19:00:00,0,0,1,0,-0.7570400000000002
h,1.78462,0.373367,1.78462,0.373367,"{'att': 147, 'def': 25}","{'att': 219, 'def': 21}",6,3,1,0,2.5305999999999997,w,2025-08-23 14:00:00,1,0,0,3,1.411253
a,2.1201,0.17067,2.1201,0.17067,"{'att': 293, 'def': 41}","{'att': 130, 'def': 25}",11,4,1,0,2.7342000000000004,w,2025-08-30 14:00:00,1,0,0,3,1.94943
h,1.44187,0.624923,0.680706,0.624923,"{'att': 195, 'def': 18}","{'att': 200, 'def': 23}",5,3,2,1,2.1195,w,2025-09-13 14:00:00,1,0,0,3,0.05578300000000003
