h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.7555,1.32516,1.7555,0.563994,"{'att': 234, 'def': 21}","{'att': 167, 'def': 17}",6,3,3,1,1.6997,w,2025-08-17 13:00:00,1,0,0,3,1.191506
a,1.32987,1.10188,1.32987,1.10188,"{'att': 197, 'def': 19}","{'att': 294, 'def': 23}",4,6,1,1,1.5392,d,2025-08-24 13:00:00,0,1,0,1,0.22799000000000014
h,0.716018,2.236,0.716018,1.47483,"{'att': 256, 'def': 26}","{'att': 279, 'def': 13}",6,5,0,3,0.33340000000000003,l,2025-08-31 13:00:00,0,0,1,0,-0.758812
a,0.293681,2.8817,0.293681,2.8817,"{'att': 291, 'def': 20}","{'att': 219, 'def': 20}",1,10,0,3,0.07830000000000001,l,2025-09-13 11:30:00,0,0,1,0,-2.588019
