h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.3812,0.674338,1.62003,0.674338,"{'att': 251, 'def': 16}","{'att': 275, 'def': 10}",5,2,1,0,2.5742000000000003,w,2025-08-18 19:00:00,1,0,0,3,0.9456920000000001
a,0.156761,2.73761,0.156761,1.97644,"{'att': 418, 'def': 15}","{'att': 175, 'def': 22}",1,5,0,5,0.0513,l,2025-08-23 16:30:00,0,0,1,0,-1.819679
h,0.6773,0.303635,0.6773,0.303635,"{'att': 327, 'def': 22}","{'att': 236, 'def': 21}",5,5,0,0,1.6758,d,2025-08-30 16:30:00,0,1,0,1,0.373665
a,0.830398,1.13979,0.830398,1.13979,"{'att': 242, 'def': 18}","{'att': 218, 'def': 23}",5,4,0,1,1.0121,l,2025-09-13 14:00:00,0,0,1,0,-0.3093920000000001
