h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.318601,1.40098,0.318601,1.40098,"{'att': 227, 'def': 12}","{'att': 146, 'def': 24}",2,6,0,0,0.42579999999999996,d,2025-08-16 11:30:00,0,1,0,1,-1.082379
a,0.976852,1.12964,0.976852,1.12964,"{'att': 92, 'def': 17}","{'att': 302, 'def': 28}",14,2,0,1,1.1286999999999998,l,2025-08-23 14:00:00,0,0,1,0,-0.15278799999999992
h,1.20586,2.59713,1.20586,1.83596,"{'att': 222, 'def': 21}","{'att': 288, 'def': 15}",6,5,0,3,0.3812,l,2025-08-31 18:00:00,0,0,1,0,-0.6301000000000001
a,0.354327,1.8927,0.354327,1.8927,"{'att': 159, 'def': 19}","{'att': 191, 'def': 27}",3,10,0,0,0.3143,d,2025-09-13 14:00:00,0,1,0,1,-1.538373
