assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,fpl_id,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,3,0,0.0,693,0.0,0.16,0.16,0.1,40,0,0,4.1,7.8,2023-09-02,22,9,0,0,0,0,4,0,586,0,2,2,33.0,1,368,422,54,4.0,True,0,0,1,0.4424034655094147,18,Sheffield United,Everton,2,2,21926,2023,608347,0.0,0,0,0,0.4424034655094147,0.4424034655094147,0.0,693,8562,Sheffield United,Luke Thomas,Luke Thomas,2,2,4,0.7,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.773109243697479,1.0,0.328,0.292,0.38
0,0,8,0,0.7,693,0.0,0.0,0.0,1.87,48,2,0,1.7,16.2,2023-09-16,90,18,0,0,0,0,5,0,4145,1,1,2,0.0,1,1826,2269,443,4.0,False,0,0,0,0.0,90,Tottenham Hotspur,Sheffield United,2,1,21936,2023,611541,0.0,0,0,0,0.0,0.0817965194582939,0.0817965194582939,693,8562,Sheffield United,Luke Thomas,Luke Thomas,2,4,5,0.5,DEF,0.0,0.0,0.16,0.16,0.1,0.0,0.0,4.1,7.8,0.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.44,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.7,0.0,0.0,0.05,0.05,0.03,0.0,0.0,1.37,2.6,0.0,11.0,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.33,0.0,0.33,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.23,0.0,0.0,0.03,0.03,0.02,0.0,0.0,0.82,1.56,0.0,6.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.2,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.14,3559.0,0.6733038348082596,1.0,0.74,0.174,0.087
0,0,13,0,2.0,693,0.01,0.28,0.27,3.94,60,8,0,1.8,7.0,2023-09-24,90,15,0,0,0,0,6,0,4931,1,8,0,9.0,-2,584,947,363,4.0,True,0,0,2,0.1337843388319015,90,Sheffield United,Newcastle United,0,8,21954,2023,613080,0.0,0,0,0,0.1337843388319015,0.2289177030324936,0.0951333716511726,693,8562,Sheffield United,Luke Thomas,Luke Thomas,3,2,6,-1.0,DEF,0.0,0.0,0.0,0.0,1.87,2.0,0.0,1.7,16.2,0.7,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.5,0.0,0.0,0.05,0.05,0.66,0.67,0.0,1.93,8.0,0.23,11.0,37.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.33,0.67,0.0,0.33,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.17,0.03,0.4,0.0,0.0,0.03,0.03,0.39,0.4,0.0,1.16,4.8,0.14,6.6,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.8,0.4,0.0,0.2,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.02,0.24,786.0,0.4458015267175572,-2.0,0.136,0.201,0.663
0,0,18,0,26.3,693,0.05,0.11,0.06,2.14,69,2,0,5.7,23.6,2023-09-30,90,19,0,0,0,0,7,0,5154,1,0,2,7.0,1,99,589,490,4.0,False,0,0,1,0.0480884574353694,90,West Ham United,Sheffield United,2,0,21960,2023,614740,0.0436691865324974,0,1,0,0.0480884574353694,0.3369750082492828,0.288886547088623,693,8562,Sheffield United,Luke Thomas,Luke Thomas,2,3,7,-0.5,DEF,0.0,0.01,0.28,0.27,3.94,8.0,0.0,1.8,7.0,2.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,-2.0,0.0,2.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.23,0.1,-1.0,0.0,0.0,0.15,0.14,1.97,3.33,0.0,2.53,10.33,0.9,14.0,67.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,3.67,1.33,0.0,0.0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.19,0.25,0.06,0.07,0.0,0.0,0.09,0.09,1.18,2.0,0.0,1.52,6.2,0.54,8.4,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,0.8,0.0,0.0,0.6,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.04,0.04,223.0,0.0917516218721038,1.0,0.654,0.211,0.135
0,0,6,0,1.3,693,0.01,0.01,0.0,1.75,76,1,0,1.4,12.4,2023-10-07,65,10,0,0,0,0,8,0,5814,1,1,3,0.0,2,380,884,504,4.0,False,0,0,0,0.0,81,Fulham,Sheffield United,3,1,21970,2023,616451,0.0,0,0,0,0.0,0.0127752674743533,0.0127752674743533,693,8562,Sheffield United,Luke Thomas,Luke Thomas,2,3,8,-0.2,DEF,0.0,0.05,0.11,0.06,2.14,2.0,0.0,5.7,23.6,26.3,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.05,0.04,0.0,0.0,1.0,0.0,0.05,0.34,0.29,-0.5,0.0,0.02,0.13,0.11,2.65,4.0,0.0,3.07,15.6,9.67,5.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.33,0.0,0.0,1.0,0.06,0.01,0.0,0.0,0.33,0.0,0.06,0.22,0.16,-0.33,0.0,0.01,0.11,0.1,1.61,2.4,0.0,2.66,10.92,5.8,9.8,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.2,1.2,0.2,0.0,0.8,0.12,0.01,0.0,0.0,0.2,0.0,0.12,0.22,0.09,-0.06,660.0,0.2737752161383285,2.0,0.59,0.251,0.159
0,0,5,0,1.7,693,0.02,0.02,0.0,1.05,89,2,0,1.4,6.4,2023-10-21,90,14,0,0,0,0,9,0,6756,1,2,1,6.0,0,508,996,488,4.0,True,1,0,0,0.0,90,Sheffield United,Manchester United,1,2,21983,2023,618466,0.0,0,0,0,0.0,0.134330615401268,0.134330615401268,693,8562,Sheffield United,Luke Thomas,Luke Thomas,3,2,9,0.0,DEF,0.0,0.01,0.01,0.0,1.75,1.0,0.0,1.4,12.4,1.3,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.2,0.0,0.02,0.13,0.11,2.61,3.67,0.0,2.97,14.33,9.87,5.33,81.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.67,0.33,0.0,1.0,0.06,0.01,0.0,0.0,0.33,0.0,0.06,0.19,0.13,-0.57,0.0,0.01,0.11,0.1,1.96,2.6,0.0,2.94,13.4,6.06,9.8,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.4,1.8,0.6,0.0,0.8,0.12,0.01,0.0,0.0,0.2,0.0,0.12,0.22,0.1,-0.1,942.0,0.3423180592991914,0.0,0.145,0.18,0.675
0,0,6,0,0.6,693,0.01,0.01,0.0,2.78,91,5,0,1.1,10.2,2023-10-28,90,1,0,0,0,0,10,0,7500,1,0,5,0.0,0,582,1061,479,4.0,False,0,0,0,0.0,90,Arsenal,Sheffield United,5,0,21986,2023,619916,0.0,0,0,0,0.0,0.0,0.0,693,8562,Sheffield United,Luke Thomas,Luke Thomas,2,5,10,-0.3,DEF,0.0,0.02,0.02,0.0,1.05,2.0,0.0,1.4,6.4,1.7,6.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.03,0.05,0.02,1.65,1.67,0.0,2.83,14.13,9.77,4.33,81.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,2.0,1.0,0.0,0.33,0.02,0.01,0.0,0.0,0.33,0.0,0.02,0.16,0.15,-0.23,0.0,0.02,0.08,0.07,2.15,3.0,0.0,2.4,13.12,6.4,4.4,85.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,2.4,1.6,0.4,0.0,0.6,0.04,0.01,0.0,0.0,0.2,0.0,0.04,0.16,0.12,-0.24,744.0,0.3779220779220779,0.0,0.839,0.111,0.05
0,0,10,0,16.1,693,0.04,0.04,0.0,1.33,109,1,0,2.9,12.6,2023-11-04,90,20,0,0,0,0,11,0,7798,1,1,2,0.0,2,100,600,500,4.0,True,0,0,0,0.0,90,Sheffield United,Wolverhampton Wanderers,2,1,22003,2023,621469,0.0263269674032926,0,1,0,0.0,0.0121400179341435,0.0121400179341435,693,8562,Sheffield United,Luke Thomas,Luke Thomas,2,2,11,0.2,DEF,0.0,0.01,0.01,0.0,2.78,5.0,0.0,1.1,10.2,0.6,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.01,0.01,0.0,1.86,2.67,0.0,1.3,9.67,1.2,2.0,81.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,-0.17,0.0,0.02,0.09,0.07,2.33,3.6,0.0,2.28,11.92,6.38,4.4,85.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,2.2,2.2,0.2,0.0,0.6,0.04,0.01,0.0,0.0,0.2,0.0,0.04,0.14,0.11,-0.4,298.0,0.0909090909090909,2.0,0.251,0.272,0.477
0,0,4,0,1.8,693,0.03,0.05,0.02,1.54,114,1,0,1.7,10.4,2023-11-12,90,5,0,0,0,0,12,0,7997,1,1,1,5.0,2,69,455,386,4.0,False,0,0,1,0.0218441225588321,90,Brighton and Hove Albion,Sheffield United,1,1,22008,2023,623887,0.0,0,0,0,0.0218441225588321,0.057523813098669,0.0356796905398368,693,8562,Sheffield United,Luke Thomas,Luke Thomas,2,3,12,0.8,DEF,0.0,0.04,0.04,0.0,1.33,1.0,0.0,2.9,12.6,16.1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.01,0.01,0.2,0.0,0.02,0.02,0.0,1.72,2.67,0.0,1.8,9.73,6.13,2.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,2.67,0.67,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.0,0.0,0.05,0.05,-0.03,0.0,0.03,0.04,0.01,1.81,2.2,0.0,2.5,13.04,9.2,2.6,85.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,2.6,1.0,0.0,0.2,0.01,0.01,0.0,0.0,0.4,0.0,0.01,0.1,0.09,-0.16,199.0,0.0820451843043995,2.0,0.761,0.165,0.073
0,0,1,0,2.4,693,0.01,0.03,0.02,2.24,129,3,0,1.4,7.2,2023-11-25,65,3,0,0,0,0,13,0,8957,1,3,1,4.0,0,645,1025,380,4.0,True,1,0,1,0.0395804196596145,70,Sheffield United,Bournemouth,1,3,22023,2023,624963,0.0,0,0,0,0.0395804196596145,0.0572338066995143,0.0176533889025449,693,8562,Sheffield United,Luke Thomas,Luke Thomas,2,2,13,0.8,DEF,0.0,0.03,0.05,0.02,1.54,1.0,0.0,1.7,10.4,1.8,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.04,0.8,0.0,0.03,0.03,0.01,1.88,2.33,0.0,1.9,11.07,6.17,1.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,2.67,1.33,0.0,0.33,0.01,0.01,0.0,0.0,0.33,0.0,0.01,0.02,0.02,0.23,0.0,0.02,0.03,0.0,1.69,2.0,0.0,1.7,10.4,4.3,2.2,85.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,2.4,1.2,0.0,0.2,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.04,0.04,0.1,960.0,0.4590747330960854,0.0,0.297,0.271,0.432
