assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name
0,0,0,3,0,10.9,731,0.01,0.03,0.02,0.64,212,1,0,3.1,7.4,2023-02-04,45,4,0,0,0,0,22,0,490,0,0,3,13.0,1,440,466,26,50,False,0,731,0,1,0.0125772003084421,41,MID,Brentford,Southampton,3,0,18413,2022,573240,0.0199346002191305,0,1,0,0.0125772003084421,0.0696156024932861,0.0371037982404232,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
1,0,0,7,0,14.3,731,0.16,0.39,0.23,0.78,229,2,0,3.9,1.8,2023-02-11,90,20,0,0,0,0,23,0,819,1,2,1,23.0,2,300,391,91,50,True,0,731,0,6,0.2383999973535537,90,MID,Southampton,Wolverhampton Wanderers,1,2,18430,2022,574819,0.0747833028435707,0,1,0,0.2383999973535537,0.3131830096244812,0.0182670000940561,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
2,0,0,-4,0,12.2,731,0.01,0.19,0.18,0.51,234,0,0,4.2,7.0,2023-02-18,58,6,0,0,0,0,24,0,1288,1,1,0,23.0,1,419,516,97,50,False,0,731,0,1,0.2993749976158142,63,MID,Chelsea,Southampton,0,1,18435,2022,576408,0.0241254996508359,0,1,0,0.2993749976158142,0.2993749976158142,0.0,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
3,0,0,7,1,20.8,731,0.04,0.08,0.04,0.52,245,0,0,3.0,5.6,2023-02-25,62,11,0,0,0,0,25,0,2000,1,0,1,4.0,3,518,719,201,50,False,0,731,0,1,0.0253698006272315,63,MID,Leeds,Southampton,1,0,18446,2022,577849,0.1247460022568702,0,2,0,0.0253698006272315,0.200213998556137,0.0500981993973255,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
4,0,0,0,1,2.6,731,0.01,0.11,0.1,1.26,259,0,0,3.3,8.8,2023-03-04,79,10,0,0,0,0,26,0,1647,1,0,1,22.0,3,-237,144,381,50,True,0,731,0,2,0.1186510026454925,84,MID,Southampton,Leicester,1,0,18460,2022,579763,0.0,0,0,0,0.1186510026454925,0.1947309970855713,0.0760800018906593,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
5,0,0,0,1,16.2,731,0.02,0.07,0.05,0.81,267,0,0,3.0,0.4,2023-03-12,75,14,0,0,0,0,27,0,1755,1,0,0,13.0,3,38,295,257,50,False,0,731,0,1,0.068884901702404,77,MID,Manchester United,Southampton,0,0,18468,2022,581801,0.0294003002345561,0,1,0,0.068884901702404,0.1672340035438537,0.0983491986989975,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
6,0,0,10,0,19.5,731,0.06,0.13,0.07,2.01,69,2,0,4.3,7.6,2023-03-15,90,4,0,0,0,0,27,0,1755,1,2,0,16.0,2,38,295,257,50,True,0,731,0,1,0.0502751991152763,90,MID,Southampton,Brentford,0,2,18265,2022,582494,0.0294934008270502,0,1,0,0.0502751991152763,0.0502751991152763,0.0,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
7,0,0,5,0,22.5,731,0.03,0.03,0.0,0.17,279,1,0,3.4,7.6,2023-03-18,20,18,0,0,0,0,28,0,1924,0,3,3,4.0,0,124,307,183,50,True,1,731,0,0,0.0,13,MID,Southampton,Tottenham,3,3,18480,2022,583086,0.0922691002488136,0,2,0,0.0,0.1060089990496635,0.0137403002008795,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
8,0,0,3,0,1.4,731,0.01,0.05,0.04,1.14,290,0,0,1.2,4.4,2023-04-02,36,19,0,0,0,0,29,0,1506,0,0,1,6.0,1,-399,74,473,50,False,0,731,0,1,0.0666218027472496,32,MID,West Ham,Southampton,1,0,18491,2022,585285,0.0,0,0,0,0.0666218027472496,0.0905274972319603,0.0905274972319603,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
9,0,0,5,0,14.3,731,0.01,0.06,0.05,1.65,298,3,0,2.6,3.2,2023-04-08,68,13,0,0,0,0,30,0,1406,1,4,1,8.0,2,-150,37,187,50,True,0,731,0,1,0.042466901242733,71,MID,Southampton,Manchester City,1,4,18499,2022,586966,0.01455910038203,0,1,0,0.042466901242733,0.0570259988307952,0.0,9630,Southampton,Kamaldeen Sulemana,Kamaldeen Sulemana
