contest,spread
Bournemouth v Everton, 0.2 - 0.4 
Fulham v Man City, 0.8 - 1 
Newcastle v Tottenham, 0.6 - 0.8 
Arsenal v Brentford, 1.35 - 1.55 
Brighton v Aston Villa, 0.3 - 0.5 
Burnley v Crystal Palace, 0.7 - 0.9 
Wolves v Nottingham Forest, 0.15 - 0.35 
Leeds v Chelsea, 0.65 - 0.85 
Liverpool v Sunderland, 1.45 - 1.65 
Man Utd v West Ham, 1.25 - 1.45 
Aston Villa v Arsenal, 0.5 - 0.7 
Bournemouth v Chelsea, 0.2 - 0.4 
Everton v Nottingham Forest, 0.25 - 0.45 
Man City v Sunderland, 1.8 - 2 
Newcastle v Burnley, 1.55 - 1.75 
Tottenham v Brentford, 0.15 - 0.35 
Leeds v Liverpool, 0.65 - 0.85 
Brighton v West Ham, 0.95 - 1.15 
Fulham v Crystal Palace, -0.1 - 0.1 
Wolves v Man Utd, 0.6 - 0.8 
