contest,spread
Arsenal v Nottingham Forest, 1.35 - 1.55 
Bournemouth v Brighton, 0.05 - 0.25 
Crystal Palace v Sunderland, 0.65 - 0.85 
Everton v Aston Villa, 0 - 0.2 
Fulham v Leeds, 0.45 - 0.65 
Newcastle v Wolves, 1.3 - 1.5 
West Ham v Tottenham, 0.3 - 0.5 
Brentford v Chelsea, 0.5 - 0.7 
Burnley v Liverpool, 1.6 - 1.8 
Man City v Man Utd, 0.65 - 0.85 
Liverpool v Everton, 1.2 - 1.4 
Bournemouth v Newcastle, -0.1 - 0.1 
Brighton v Tottenham, 0.3 - 0.5 
Burnley v Nottingham Forest, 0.25 - 0.45 
West Ham v Crystal Palace, 0 - 0.2 
Wolves v Leeds, 0.05 - 0.25 
Man Utd v Chelsea, 0 - 0.2 
Fulham v Brentford, 0.35 - 0.55 
Sunderland v Aston Villa, 0.45 - 0.65 
Arsenal v Man City, 0.4 - 0.6 
