contest,spread
Liverpool v Everton, 1.15 - 1.35 
Brighton v Tottenham, 0.1 - 0.3 
Burnley v Nottingham Forest, 0.25 - 0.45 
West Ham v Crystal Palace, 0.1 - 0.3 
Wolves v Leeds, -0.1 - 0.1 
Man Utd v Chelsea, -0.1 - 0.1 
Fulham v Brentford, 0.35 - 0.55 
Bournemouth v Newcastle, 0.05 - 0.25 
Sunderland v Aston Villa, 0.3 - 0.5 
Arsenal v Man City, 0.5 - 0.7 
Brentford v Man Utd, 0.15 - 0.35 
Chelsea v Brighton, 0.65 - 0.85 
Crystal Palace v Liverpool, 0.6 - 0.8 
Leeds v Bournemouth, 0 - 0.2 
Man City v Burnley, 2 - 2.2 
Nottingham Forest v Sunderland, 0.65 - 0.85 
Tottenham v Wolves, 1.1 - 1.3 
Aston Villa v Fulham, 0.35 - 0.55 
Newcastle v Arsenal, 0.2 - 0.4 
Everton v West Ham, 0.6 - 0.8 
