contest,spread
Aston Villa v Nottingham Forest, 0.65 - 0.85 
Brighton v Burnley, 1.15 - 1.35 
Wolves v West Ham, 0 - 0.2 
Bournemouth v Arsenal, 1.15 - 1.35 
Leeds v Man Utd, -0.1 - 0.1 
Everton v Brentford, 0.1 - 0.3 
Fulham v Liverpool, 0.45 - 0.65 
Newcastle v Crystal Palace, 0.75 - 0.95 
Tottenham v Sunderland, 0.6 - 0.8 
Man City v Chelsea, 0.85 - 1.05 
West Ham v Nottingham Forest, 0.1 - 0.3 
Bournemouth v Tottenham, 0.35 - 0.55 
Brentford v Sunderland, 0.5 - 0.7 
Crystal Palace v Aston Villa, -0.1 - 0.1 
Everton v Wolves, 0.75 - 0.95 
Fulham v Chelsea, 0.3 - 0.5 
Man City v Brighton, 1.35 - 1.55 
Burnley v Man Utd, 0.7 - 0.9 
Newcastle v Leeds, 0.75 - 0.95 
Arsenal v Liverpool, 0.85 - 1.05 
