contest,spread
Leeds v Tottenham, 0 - 0.2 
Arsenal v West Ham, 1.95 - 2.15 
Man Utd v Sunderland, 1.1 - 1.3 
Chelsea v Liverpool, 0.15 - 0.35 
Aston Villa v Burnley, 0.85 - 1.05 
Everton v Crystal Palace, 0 - 0.2 
Newcastle v Nottingham Forest, 0.95 - 1.15 
Wolves v Brighton, 0.3 - 0.5 
Brentford v Man City, 0.85 - 1.05 
Nottingham Forest v Chelsea, 0.25 - 0.45 
Brighton v Newcastle, 0 - 0.2 
Burnley v Leeds, 0.2 - 0.4 
Crystal Palace v Bournemouth, 0.3 - 0.5 
Man City v Everton, 1.25 - 1.45 
Sunderland v Wolves, 0.1 - 0.3 
Fulham v Arsenal, 0.85 - 1.05 
Tottenham v Aston Villa, 0.2 - 0.4 
Liverpool v Man Utd, 1.05 - 1.25 
West Ham v Brentford, 0 - 0.2 
