contest,spread
Chelsea v Everton, 0.7 - 0.9 
Liverpool v Brighton, 0.75 - 0.95 
Burnley v Fulham, 0.4 - 0.6 
Arsenal v Wolves, 2.25 - 2.45 
Crystal Palace v Man City, 0.55 - 0.75 
Nottingham Forest v Tottenham, 0 - 0.2 
Sunderland v Newcastle, 0.2 - 0.4 
West Ham v Aston Villa, 0.4 - 0.6 
Brentford v Leeds, 0.4 - 0.6 
Man Utd v Bournemouth, 0.6 - 0.8 
Newcastle v Chelsea, 0 - 0.2 
Bournemouth v Burnley, 1.15 - 1.35 
Brighton v Sunderland, 0.9 - 1.1 
Man City v West Ham, 2.05 - 2.25 
Wolves v Brentford, 0.4 - 0.6 
Tottenham v Liverpool, 0.35 - 0.55 
Everton v Arsenal, 0.7 - 0.9 
Leeds v Crystal Palace, 0 - 0.2 
Aston Villa v Man Utd, 0.3 - 0.5 
Fulham v Nottingham Forest, 0.2 - 0.4 
