contest,spread
Brentford v Burnley, 1.2 - 1.4 
Man City v Leeds, 1.7 - 1.9 
Sunderland v Bournemouth, 0.1 - 0.3 
Everton v Newcastle, -0.1 - 0.1 
Tottenham v Fulham, 0.15 - 0.35 
Crystal Palace v Man Utd, 0.2 - 0.4 
Aston Villa v Wolves, 1.1 - 1.3 
Nottingham Forest v Brighton, -0.1 - 0.1 
West Ham v Liverpool, 0.8 - 1 
Chelsea v Arsenal, 0.2 - 0.4 
Bournemouth v Everton, 0.3 - 0.5 
Fulham v Man City, 0.9 - 1.1 
Newcastle v Tottenham, 0.6 - 0.8 
Arsenal v Brentford, 1.65 - 1.85 
Brighton v Aston Villa, 0.25 - 0.45 
Burnley v Crystal Palace, 0.7 - 0.9 
Wolves v Nottingham Forest, 0.15 - 0.35 
Leeds v Chelsea, 0.65 - 0.85 
Liverpool v Sunderland, 1.5 - 1.7 
Man Utd v West Ham, 1.35 - 1.55 
