contest,spread
Chelsea v Sunderland, 1.25 - 1.45 
Newcastle v Fulham, 0.9 - 1.1 
Man Utd v Brighton, 0.35 - 0.55 
Brentford v Liverpool, 0.6 - 0.8 
Arsenal v Crystal Palace, 1.3 - 1.5 
Aston Villa v Man City, 0.65 - 0.85 
Bournemouth v Nottingham Forest, 0.6 - 0.8 
Wolves v Burnley, 0.45 - 0.65 
Everton v Tottenham, 0.1 - 0.3 
Brighton v Leeds, 0.65 - 0.85 
Burnley v Arsenal, 1.6 - 1.8 
Crystal Palace v Brentford, 0.5 - 0.7 
Fulham v Wolves, 0.6 - 0.8 
Nottingham Forest v Man Utd, 0.15 - 0.35 
Tottenham v Chelsea, 0.05 - 0.25 
Liverpool v Aston Villa, 1.1 - 1.3 
West Ham v Newcastle, 0.85 - 1.05 
Man City v Bournemouth, 1.2 - 1.4 
Sunderland v Everton, 0.1 - 0.3 
