contest,spread
Bournemouth v Fulham, 0.4 - 0.6 
Leeds v Tottenham, 0 - 0.2 
Arsenal v West Ham, 1.95 - 2.15 
Man Utd v Sunderland, 1.05 - 1.25 
Chelsea v Liverpool, 0.1 - 0.3 
Aston Villa v Burnley, 0.9 - 1.1 
Everton v Crystal Palace, 0 - 0.2 
Newcastle v Nottingham Forest, 0.9 - 1.1 
Wolves v Brighton, 0.4 - 0.6 
Brentford v Man City, 0.85 - 1.05 
Nottingham Forest v Chelsea, 0.4 - 0.6 
Brighton v Newcastle, -0.1 - 0.1 
Burnley v Leeds, 0.1 - 0.3 
Crystal Palace v Bournemouth, 0.1 - 0.3 
Man City v Everton, 1.5 - 1.7 
Sunderland v Wolves, 0.3 - 0.5 
Fulham v Arsenal, 0.75 - 0.95 
Tottenham v Aston Villa, 0.3 - 0.5 
Liverpool v Man Utd, 1.1 - 1.3 
West Ham v Brentford, 0.15 - 0.35 
