contest,spread
Wolves v Newcastle, 0.7 - 0.9 
Aston Villa v Everton, 0.85 - 1.05 
Brighton v Bournemouth, 0.55 - 0.75 
West Ham v Sunderland, 0.05 - 0.25 
Burnley v Tottenham, 0.45 - 0.65 
Fulham v Brighton, -0.1 - 0.1 
Man City v Wolves, 2.15 - 2.35 
Bournemouth v Liverpool, 0.5 - 0.7 
Brentford v Nottingham Forest, 0.25 - 0.45 
Crystal Palace v Chelsea, 0.35 - 0.55 
Newcastle v Aston Villa, 0.35 - 0.55 
Arsenal v Man Utd, 0.9 - 1.1 
Everton v Leeds, 0 - 0.2 
