contest,spread
Chelsea v Fulham, 0.95 - 1.15 
Man Utd v Burnley, 1.4 - 1.6 
Sunderland v Brentford, 0.1 - 0.3 
Tottenham v Bournemouth, 0.65 - 0.85 
Wolves v Everton, -0.1 - 0.1 
Leeds v Newcastle, 0.3 - 0.5 
Brighton v Man City, 0.5 - 0.7 
Nottingham Forest v West Ham, 0.75 - 0.95 
Liverpool v Arsenal, 0.2 - 0.4 
Aston Villa v Crystal Palace, 0.5 - 0.7 
Arsenal v Nottingham Forest, 1.15 - 1.35 
Bournemouth v Brighton, -0.1 - 0.1 
Crystal Palace v Sunderland, 0.75 - 0.95 
Everton v Aston Villa, 0 - 0.2 
Fulham v Leeds, 0.45 - 0.65 
Newcastle v Wolves, 1.15 - 1.35 
West Ham v Tottenham, 0.5 - 0.7 
Brentford v Chelsea, 0.6 - 0.8 
Burnley v Liverpool, 1.5 - 1.7 
Man City v Man Utd, 0.7 - 0.9 
